"Room" "Item" "Order" "SubjectNo"
"Bedroom" "MilkCarton" 1 "P01"
"Bedroom" "HTCViveController" 2 "P01"
"Bedroom" "HandDrill" 3 "P01"
"Bedroom" "Mouse" 4 "P01"
"Bedroom" "PiggyBank" 5 "P01"
"Bedroom" "Padella" 6 "P01"
"LivingRoom" "PencilSharpener" 1 "P01"
"LivingRoom" "Toaster" 2 "P01"
"LivingRoom" "Squeezer" 3 "P01"
"LivingRoom" "Teacup" 4 "P01"
"LivingRoom" "Paprika" 5 "P01"
"LivingRoom" "Pineapple" 6 "P01"
"Library" "Mushroom" 1 "P01"
"Library" "BaseballBat" 2 "P01"
"Library" "Spoons" 3 "P01"
"Library" "MokaEspress" 4 "P01"
"Library" "Muffin" 5 "P01"
"Library" "Openner" 6 "P01"
"Classroom" "MechanicalGloves" 1 "P01"
"Classroom" "SaltSub" 2 "P01"
"Classroom" "OfficeBin" 3 "P01"
"Classroom" "Apple" 4 "P01"
"Classroom" "Calculator" 5 "P01"
"Classroom" "JBLSpeaker" 6 "P01"
"StorageRoom" "NikonCamera" 1 "P01"
"StorageRoom" "Controller" 2 "P01"
"StorageRoom" "Cabbage" 3 "P01"
"StorageRoom" "EggBeater" 4 "P01"
"StorageRoom" "Headphones" 5 "P01"
"StorageRoom" "Typewriter" 6 "P01"
"Gym" "Avocado" 1 "P01"
"Gym" "CleaningBucket" 2 "P01"
"Gym" "Grape" 3 "P01"
"Gym" "RugbyBall" 4 "P01"
"Gym" "Kettle" 5 "P01"
"Gym" "Stapler" 6 "P01"
"Bedroom" "MilkCarton" 1 "P02"
"Bedroom" "HTCViveController" 2 "P02"
"Bedroom" "HandDrill" 3 "P02"
"Bedroom" "Mouse" 4 "P02"
"Bedroom" "PiggyBank" 5 "P02"
"Bedroom" "Padella" 6 "P02"
"LivingRoom" "PencilSharpener" 1 "P02"
"LivingRoom" "Toaster" 2 "P02"
"LivingRoom" "Squeezer" 3 "P02"
"LivingRoom" "Teacup" 4 "P02"
"LivingRoom" "Paprika" 5 "P02"
"LivingRoom" "Pineapple" 6 "P02"
"Library" "Mushroom" 1 "P02"
"Library" "BaseballBat" 2 "P02"
"Library" "Spoons" 3 "P02"
"Library" "MokaEspress" 4 "P02"
"Library" "Muffin" 5 "P02"
"Library" "Openner" 6 "P02"
"Classroom" "MechanicalGloves" 1 "P02"
"Classroom" "SaltSub" 2 "P02"
"Classroom" "OfficeBin" 3 "P02"
"Classroom" "Apple" 4 "P02"
"Classroom" "Calculator" 5 "P02"
"Classroom" "JBLSpeaker" 6 "P02"
"StorageRoom" "NikonCamera" 1 "P02"
"StorageRoom" "Controller" 2 "P02"
"StorageRoom" "Cabbage" 3 "P02"
"StorageRoom" "EggBeater" 4 "P02"
"StorageRoom" "Headphones" 5 "P02"
"StorageRoom" "Typewriter" 6 "P02"
"Gym" "Avocado" 1 "P02"
"Gym" "CleaningBucket" 2 "P02"
"Gym" "Grape" 3 "P02"
"Gym" "RugbyBall" 4 "P02"
"Gym" "Kettle" 5 "P02"
"Gym" "Stapler" 6 "P02"
"Bedroom" "MilkCarton" 1 "P03"
"Bedroom" "HTCViveController" 2 "P03"
"Bedroom" "HandDrill" 3 "P03"
"Bedroom" "Mouse" 4 "P03"
"Bedroom" "PiggyBank" 5 "P03"
"Bedroom" "Padella" 6 "P03"
"LivingRoom" "PencilSharpener" 1 "P03"
"LivingRoom" "Toaster" 2 "P03"
"LivingRoom" "Squeezer" 3 "P03"
"LivingRoom" "Teacup" 4 "P03"
"LivingRoom" "Paprika" 5 "P03"
"LivingRoom" "Pineapple" 6 "P03"
"Library" "Mushroom" 1 "P03"
"Library" "BaseballBat" 2 "P03"
"Library" "Spoons" 3 "P03"
"Library" "MokaEspress" 4 "P03"
"Library" "Muffin" 5 "P03"
"Library" "Openner" 6 "P03"
"Classroom" "MechanicalGloves" 1 "P03"
"Classroom" "SaltSub" 2 "P03"
"Classroom" "OfficeBin" 3 "P03"
