TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03144012,0,4.476456,-39,0,0,0
0.04945349,0,4.452912,-39,0,0,0
0.08286157,0,4.42152,-39,0,0,0
0.1171446,0,4.335192,-39,0,0,0
0.1504069,0,4.217472,-39,0,0,0
0.183756,0,4.14684,-39,0,0,0
0.2349219,0,3.887856,-39,0.2,0.2,2.605526E-11
0.2694286,0,3.67596,-39,0.6999999,0.3,-2.084564E-10
0.3012536,0,3.55824,-39,1.3,0.4,0
0.3341285,0,3.299256,-39,1.800001,0.5,0
0.3671949,0,3.105,-39,2.400001,0.5,-8.344951E-10
0.4014081,0,3.105,-39,2.900001,0.6,1.669665E-09
0.435065,0,3.078467,-39,3.600001,0.7,-1.670823E-09
0.4851692,0,3.048467,-39,4.7,0.7000001,0
0.5179631,0,3.038467,-39,5.300002,0.9,0
0.5507497,0,3.018467,-39,5.6,0.9,0
0.5846694,0,3.005,-39,5.6,0.9,0
0.6173339,0,3.015,-39,5.6,0.9,0
0.6678753,0,3.045,-39,5.8,0.9,-3.352214E-09
0.7009293,0,3.055,-39,6.1,0.8000001,0
0.735082,0,3.075,-39,6.1,0.8000001,0
0.7674366,0,3.095,-39,6.1,0.8000001,0
0.8008627,0,3.105,-39,6.1,0.8000001,0
0.851149,0,3.105,-39,6.1,0.8000001,0
0.8846397,0.008209893,3.12442,-38.80009,6.1,0.8000001,0
0.9174172,0.01670135,3.146398,-38.7002,6.1,0.8000001,0
0.9500253,0.03949411,3.190746,-38.50039,5.900001,0.6,3.352814E-09
0.984201,0.05221916,3.203287,-38.40021,5.200001,0.2,0
1.018772,0.07654968,3.190222,-38.20017,4.700001,0.1,0
1.086383,0.1084255,3.108824,-37.79937,3.600001,359.6,0
1.11428,0.1085897,3.104476,-37.69919,3.5,359.5,0
1.135504,0.1049851,3.094369,-37.59922,3.5,359.5,0
1.167208,0.08920065,3.051643,-37.3992,3.4,359.4,0
1.200479,0.07807679,3.028854,-37.29931,3.4,359.4,0
1.234489,0.05278463,3.005002,-37.09956,3.4,359.4,0
1.283979,0.02752872,3.02948,-36.89977,3.4,359.3,0
1.3183,0.006875787,3.075782,-36.69996,3.300001,359,-3.340592E-09
1.350673,-0.004956627,3.104586,-36.50014,3,358.4,3.33963E-09
1.384859,-0.01606067,3.12442,-36.3004,2.9,358.1,-3.33933E-09
1.417341,-0.02646665,3.146397,-36.20073,2.8,357.9,0
1.450328,-0.05377867,3.190746,-36.00171,2.800001,357.7,0
1.500818,-0.08542842,3.203075,-35.80302,2.700001,357.5,6.67752E-09
1.535034,-0.1165101,3.169455,-35.60432,2.700001,357.4,-6.67752E-09
1.568168,-0.1417701,3.123841,-35.40527,2.700001,357.4,-6.67752E-09
1.600349,-0.1505342,3.108824,-35.30591,2.400001,357.2,0
1.634413,-0.1584119,3.094369,-35.10656,2,356.9,0
1.668021,-0.1552021,3.051643,-34.90624,1.9,356.8,0
1.717121,-0.145013,3.011669,-34.70557,1.7,356.6,0
1.751027,-0.133121,3.012055,-34.50452,1.2,356.6,0
1.783913,-0.1278465,3.02948,-34.40207,4.135762E-08,0.8,0
1.817547,-0.1067761,3.07552,-34.20137,359.6,7.4,1.667567E-09
1.850687,-0.07274286,3.104586,-34.00411,359.3,8.999999,3.335302E-09
1.884242,-0.05593156,3.109128,-33.90553,359.3,8.999999,3.335302E-09
1.916818,-0.01334929,3.146397,-33.70978,359.3,8.999999,3.335302E-09
1.986561,0.09230782,3.203075,-33.32172,359.3,9.2,0
2.012906,0.1196868,3.190222,-33.22557,359.3,9.800001,0
2.034119,0.1471831,3.169455,-33.1294,359.3,10.2,0
2.066977,0.1982731,3.123841,-32.93689,358.9,11.1,0
2.136599,0.2581984,3.094369,-32.6438,358.3,11.6,-1.334609E-08
2.16085,0.2726296,3.07512,-32.54467,358.1,11.6,0
2.183444,0.2846915,3.051643,-32.44492,358,11.5,1.334834E-08
2.217099,0.3036413,3.011669,-32.24456,357.9,11.4,-1.334918E-08
2.251252,0.319936,3.012055,-32.04335,357.6,10.7,-2.670385E-08
2.284129,0.327527,3.02948,-31.94245,357.3,9.499999,0
2.317485,0.3426178,3.075782,-31.74191,357.1,7.599999,0
2.351279,0.3607994,3.104586,-31.54256,356.8,6.899998,0
2.400824,0.3793385,3.12442,-31.34339,355.9,6.399998,0
2.434307,0.3853846,3.170145,-31.14297,355.5,5.999999,0
2.467944,0.3838282,3.203287,-30.94341,355.9,3.799998,0
2.500666,0.3783925,3.203075,-30.84558,356.9,0.9999981,0
2.53429,0.3594953,3.169455,-30.64755,357.4,359.3,1.669245E-09
2.567229,0.3409548,3.123841,-30.45123,358,357.2,3.337086E-09
2.616934,0.3261058,3.104476,-30.25224,358.1,356.9,-3.336888E-09
2.651647,0.3238413,3.07512,-30.05271,358.1,356.5,0
2.684364,0.3300171,3.028854,-29.85336,358.1,355.4,0
2.717166,0.3333641,3.011669,-29.75396,358.8,354.3,0
2.75071,0.3373145,3.012055,-29.55377,359,352.5,6.671123E-09
2.783573,0.3355497,3.02948,-29.45394,359.2,350.8,-6.670757E-09
2.81734,0.3215615,3.075782,-29.25367,359.3,350.3,0
2.851812,0.2960876,3.104586,-29.05513,359.3,349.8,6.670605E-09
2.900515,0.2660673,3.12442,-28.85711,358.9,347.7,-1.334267E-08
2.934324,0.239197,3.170145,-28.6573,358.3,345.2,-1.334609E-08
2.967539,0.2087607,3.203287,-28.45481,357.5,340.6,2.670584E-08
3.001021,0.1859382,3.203075,-28.35413,356.7,338,0
3.034625,0.130419,3.172365,-28.15716,355.8,335.5,-1.070091E-07
3.067145,0.0603903,3.153698,-27.9677,355.1,333.4,1.071132E-07
3.100483,0.0184649,3.15192,-27.8765,354.9,332.7,0
3.134735,-0.07588403,3.163772,-27.70171,354.9,332.5,0
3.167139,-0.1816269,3.147307,-27.53291,354.8,332.3,0
3.199711,-0.2385997,3.137619,-27.44812,354.4,330.4,0
3.233465,-0.3589159,3.139477,-27.28717,354.2,329.2,2.145417E-07
3.266508,-0.4820864,3.189349,-27.1296,354.2,329.1,1.072708E-07
3.335462,-0.6579511,3.292778,-26.88806,354.4,328.8,1.072335E-07
3.358587,-0.7124286,3.314528,-26.80509,354.4,328.8,1.072335E-07
3.38265,-0.7656787,3.332467,-26.72078,354.4,328.8,1.072335E-07
3.415992,-0.8799263,3.395094,-26.55804,354.4,328.8,1.072335E-07
3.450098,-1.001489,3.464725,-26.39973,354.4,328.8,1.072335E-07
3.483181,-1.063607,3.489904,-26.32152,354.5,328.7,0
3.517108,-1.188703,3.502118,-26.16482,354.9,328.9,0
3.550241,-1.310573,3.486027,-26.00566,355.4,329.6,-1.070666E-07
3.584358,-1.423655,3.477818,-25.83992,356.1,330.9,-1.069694E-07
3.617027,-1.474388,3.487986,-25.75293,356.5,331.9,0
3.650403,-1.56353,3.487822,-25.57264,357,333.9,5.343408E-08
3.684029,-1.602251,3.479241,-25.47715,357.8,336.6,2.670011E-08
3.717772,-1.664013,3.469788,-25.28558,358.1,339.1,2.66951E-08
3.750518,-1.714663,3.499808,-25.09209,358.4,341.5,2.669083E-08
