TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02247373,6.026126,12.09991,42.19888,23.40001,15.69997,-2.325714E-07
0.04477657,6.04501,12.13079,42.29607,23.40001,15.69997,-2.325714E-07
0.06722721,6.061995,12.15225,42.39518,23.40001,15.69997,-2.325714E-07
0.08957521,6.077938,12.16673,42.49457,23.40001,15.69997,-2.325714E-07
0.11135,6.093479,12.16923,42.59408,23.40001,15.69997,-2.325714E-07
0.1331469,6.125726,12.13884,42.79276,23.40001,15.69997,-2.325714E-07
0.1556576,6.143614,12.11527,42.89161,23.40001,15.69997,-2.325714E-07
0.1776233,6.163466,12.09267,42.98991,23.40001,15.69997,-2.325714E-07
0.199901,6.185875,12.07596,43.08748,23.40001,15.69997,-2.325714E-07
0.2212288,6.211433,12.06996,43.18417,23.40001,15.69997,-2.325714E-07
0.2438067,6.240487,12.06218,43.27988,23.40001,15.69997,-2.325714E-07
0.2655143,6.272647,12.04429,43.37489,22.50001,15.79997,-2.310295E-07
0.2869725,6.306893,12.02127,43.46712,18.80001,14.49997,0
0.308133,6.340456,11.99796,43.5574,15.80001,11.29997,0
0.3301295,6.370637,11.97931,43.65163,15.50001,9.799969,0
0.3520116,6.399259,11.97024,43.7478,15.30001,9.399968,0
0.3730864,6.454869,11.99054,43.94051,14.60001,7.799969,0
0.3952933,6.478611,12.01276,44.03777,13.40001,6.499968,0
0.417241,6.498456,12.03646,44.13612,12.60001,6.299968,0
0.4391046,6.515627,12.05673,44.23483,12.40001,6.299968,-5.463537E-08
0.4610565,6.529847,12.06866,44.33386,12.20001,6.299967,-1.091876E-07
0.4840141,6.541768,12.07236,44.43316,12.00001,5.899968,0
0.5061004,6.555779,12.08578,44.53239,12.00001,3.899968,0
0.527338,6.569192,12.10687,44.63198,12.30002,2.499968,2.730725E-08
0.5482337,6.582437,12.13066,44.73243,13.10002,359.8,0
0.5692316,6.592519,12.15225,44.83464,13.70002,355.7,0
0.5923658,6.600796,12.16923,45.03771,14.30002,353.7,5.506707E-08
0.6143017,6.601383,12.15847,45.13954,14.80002,352.7,0
0.6371434,6.599524,12.13884,45.24025,14.80002,352.6,-1.103839E-07
0.6613064,6.596055,12.11527,45.34095,14.90001,352.4,0
0.6841655,6.590138,12.09267,45.44186,15.10001,351.9,1.105383E-07
0.7082875,6.580573,12.07596,45.54325,15.50002,350.9,0
0.7315059,6.565721,12.06996,45.6455,15.80002,349,0
0.7552984,6.519661,12.04431,45.84375,16.00002,346.9,0
0.7786384,6.488922,12.02127,45.94124,16.20001,345.6,2.222689E-07
0.8024058,6.45449,11.99796,46.03605,16.30002,345.3,0
0.8265211,6.418368,11.97931,46.12996,16.30002,345.3,0
0.8506318,6.381546,11.97024,46.22368,16.30002,345.3,0
0.8746044,6.308205,11.99055,46.41111,16.30001,345.5,2.22382E-07
0.8976216,6.273256,12.01276,46.50502,16.10002,346.5,2.221566E-07
0.9213197,6.241611,12.03645,46.60006,16.00002,347.7,0
0.9454437,6.214231,12.05673,46.69636,15.70002,348.9,0
0.9694251,6.191769,12.06866,46.79385,15.40002,350.3,-1.106962E-07
0.9934793,6.153432,12.0858,46.99029,15.20001,351.5,0
1.016312,6.132108,12.10687,47.08823,15.20001,351.6,0
1.041242,6.108703,12.13066,47.186,15.10001,352,-1.105383E-07
1.063103,6.084295,12.15225,47.28414,15.10002,353.1,0
1.086625,6.060626,12.16673,47.384,15.20001,355.8,0
1.109871,6.04128,12.16923,47.48435,15.80002,357.4,0
1.132643,6.009478,12.13876,47.68392,16.30001,358,2.779775E-08
1.156975,5.996367,12.11504,47.78426,17.10001,358.5,0
1.178979,5.986159,12.09259,47.88614,18.40001,359.8,0
1.200753,5.980923,12.07514,47.98834,19.50002,1.099968,0
1.22295,5.981381,12.06996,48.09131,21.00001,2.799968,0
1.244771,5.988546,12.06218,48.19433,22.60002,4.699968,0
1.26714,6.002456,12.04432,48.29807,24.60002,7.499968,0
1.289472,6.023918,12.02032,48.40057,26.50001,10.49997,0
1.311577,6.052187,11.99787,48.49931,27.70002,12.19997,0
1.333319,6.117185,11.97024,48.69136,28.90002,13.79997,0
1.35535,6.152739,11.97473,48.78603,29.40002,14.39997,0
1.377752,6.188686,11.99054,48.88005,29.40002,14.39997,0
1.399387,6.223549,12.01275,48.97434,29.40002,14.39997,0
1.421231,6.256732,12.03645,49.06906,29.40002,14.39997,0
1.443277,6.287643,12.05672,49.16437,29.50002,14.49997,-2.45237E-07
1.465173,6.31585,12.06866,49.26037,29.50002,14.49997,-2.45237E-07
1.487416,6.34181,12.07236,49.35695,29.80002,14.49997,-2.45969E-07
1.509617,6.370467,12.0858,49.45282,30.80002,14.49997,0
1.53156,6.401886,12.10687,49.54791,32.50003,14.89997,0
1.55352,6.453556,12.15225,49.69312,34.30003,15.09997,0
1.575495,6.449045,12.16429,49.69635,35.30002,15.19997,-1.046115E-06
1.597533,6.440454,12.16916,49.70152,36.20003,15.39997,0
1.620631,6.429818,12.16954,49.70864,36.50003,15.39997,1.062097E-06
1.642731,6.416387,12.16501,49.71841,36.60003,15.39997,5.317359E-07
1.664469,6.399781,12.15615,49.73161,36.70002,15.39997,5.32427E-07
1.686421,6.379883,12.14369,49.74998,37.10002,14.89997,0
1.709776,6.356143,12.12854,49.7761,37.70003,13.79997,0
1.731619,6.330257,12.11175,49.80177,38.50003,12.89997,5.454671E-07
1.753519,6.271247,12.08179,49.85859,39.70003,12.39997,0
1.77619,6.23949,12.07279,49.88539,40.90004,12.19997,-5.647747E-07
1.798567,6.204204,12.06993,49.91663,43.00003,11.89997,0
1.820548,6.164522,12.06516,49.95826,45.20003,11.79997,1.211656E-06
1.843141,6.124191,12.05345,50.01333,46.80003,11.79997,0
1.864937,6.079587,12.03612,50.06769,47.80003,11.79997,6.355128E-07
1.885413,6.033108,12.01644,50.12217,47.90003,11.79997,0
1.906536,5.985394,11.99726,50.17691,47.90003,11.79997,0
1.926888,5.942111,11.98141,50.24538,47.90003,11.79997,0
1.9463,5.906813,11.97142,50.32803,47.90003,11.79997,0
1.96645,5.865122,11.97169,50.4077,47.90003,11.79997,0
1.98577,5.865122,12.07,50.4077,47.90003,11.79997,0
2.005564,5.865122,12.07,50.4077,48.10003,11.79997,0
2.025972,5.8652,12.07,50.40808,48.70002,11.29997,0
2.046751,5.854785,11.98279,50.41076,49.20004,10.29997,0
2.066748,5.854991,12.07,50.41203,49.50003,8.099968,0
2.086517,5.820238,11.99208,50.49522,49.70003,6.599967,-3.300045E-07
2.106653,5.793382,12.01301,50.58898,49.70004,5.499967,0
2.126985,5.781103,12.036,50.68775,49.70004,5.299967,0
2.147942,5.763671,12.05622,50.78548,49.70004,5.299967,0
2.16779,5.751985,12.0684,50.88382,49.70004,5.299967,0
2.188823,5.760303,12.07199,50.98348,49.70004,5.299967,0
2.208625,5.765973,12.08493,51.08339,49.70004,5.299967,0
2.228944,5.768751,12.10574,51.18356,49.70004,5.299967,0
2.249859,5.769258,12.12951,51.28404,50.00002,5.599967,-3.320592E-07
2.269897,5.768659,12.15132,51.385,50.20002,6.399968,0
2.289704,5.768489,12.16626,51.48666,50.30002,7.799968,0
2.309869,5.770319,12.16944,51.5881,50.30003,8.599968,0
2.329755,5.77372,12.15924,51.6894,50.30002,9.199967,-6.682976E-07
2.349376,5.778885,12.13993,51.79014,50.30002,9.399968,6.682976E-07
2.37042,5.786047,12.11644,51.89214,50.40003,10.59997,6.697065E-07
2.390322,5.797555,12.09368,51.9947,51.30003,12.39997,-6.827541E-07
2.408209,5.815271,12.07656,52.09793,52.00002,15.09997,-6.933796E-07
2.427174,5.842773,12.07,52.20456,53.60004,20.89996,0
2.446104,5.882743,12.06283,52.3033,54.70004,24.69997,-1.477482E-06
2.464716,5.932168,12.04534,52.39795,55.80003,28.79997,-1.518946E-06
2.482778,5.991296,12.02244,52.48872,57.30003,34.19997,1.58036E-06
2.501528,6.057669,11.99903,52.56898,58.40004,36.99997,0
2.519844,6.128354,11.98004,52.64431,59.50004,39.39997,0
2.538193,6.202209,11.97038,52.71556,60.70004,41.49998,0
2.55583,6.277754,11.97422,52.78291,61.30004,42.19997,0
2.573664,6.353774,11.98959,52.84966,62.10004,43.19996,0
2.591657,6.354306,11.98959,52.85021,63.40005,44.69997,-3.813545E-06
2.609841,6.432841,12.0116,52.91475,66.60005,48.09997,4.299532E-06
2.627906,6.513327,12.03534,52.9753,68.90004,49.99997,0
2.645712,6.594142,12.05589,53.0348,71.70004,52.29996,0
2.663546,6.675382,12.06835,53.09325,74.60004,55.39997,0
2.680696,6.758201,12.07199,53.14924,77.20007,58.89997,0
2.698023,6.845332,12.08493,53.19764,79.60007,64.39996,-9.459141E-06
2.715789,6.937504,12.10574,53.23465,80.60006,69.19997,1.045491E-05
2.733713,7.032597,12.12951,53.26146,80.6001,73.89997,1.045491E-05
2.750867,7.031286,12.12951,53.26113,80.40007,77.89996,0
2.768817,7.129516,12.15132,53.27155,79.90007,81.29997,0
2.785761,7.227458,12.16626,53.27498,79.60006,84.99995,0
2.802957,7.226163,12.07,53.27489,79.60009,86.79994,-1.891831E-05
2.820718,7.22501,12.07,53.27484,79.90011,88.39996,9.737078E-06
2.838078,7.22364,12.07,53.27482,80.7001,90.29997,1.056634E-05
2.854706,7.222342,12.07,53.27485,81.50013,92.09996,-1.155245E-05
2.872828,7.22083,12.07,53.27493,82.70012,94.19994,-1.343854E-05
2.889603,7.219896,12.07,53.27501,83.50008,95.49992,-3.016816E-05
2.906824,7.218749,12.07,53.27514,84.30013,97.09994,0
2.923801,7.21725,12.07,53.27535,85.50011,99.19994,-2.17639E-05
2.940736,7.21576,12.07,53.27562,86.70023,101.3,2.966409E-05
2.958976,7.21414,12.07,53.27598,87.70024,103.6,4.254998E-05
2.975851,7.209081,12.16944,53.26495,88.60017,106.1,6.989306E-05
2.993968,7.205111,12.07,53.26627,89.70065,110.5995,-0.0003262087
3.011323,7.202441,12.07,53.26736,90,113.7,0
3.029135,7.199751,12.07,53.26863,90,116.9,0
3.046077,7.197539,12.07,53.26982,89.80022,119.5999,0.0004891849
3.065126,7.194449,12.07,53.27171,88.6003,123.5,6.988918E-05
3.083906,7.192015,12.07,53.27343,87.60012,126.7,0
3.102325,7.189823,12.07,53.27515,86.8001,129.7,0
3.121101,7.187316,12.07,53.27737,85.70012,133.2999,0
3.139781,7.185595,12.07,53.27906,85.00009,135.9,0
3.157858,7.183585,12.07,53.28126,84.49996,139.1,0
3.176826,7.180589,12.07,53.28505,83.60003,144.3,1.531857E-05
3.192872,7.178624,12.07,53.28799,83.10004,148.1,0
3.209963,7.176989,12.07,53.2908,82.50004,151.6,0
3.22559,7.17601,12.07,53.2927,81.70003,153.9,0
3.241837,7.17549,12.07,53.2938,80.80006,155.2,1.068009E-05
3.25774,7.175221,12.07,53.29439,80.20001,155.9,-5.016017E-06
3.273425,7.17507,12.07,53.29473,79.80004,156.3,4.821274E-06
3.288328,7.175033,12.07,53.29481,79.40001,156.4,0
3.30376,7.174922,12.07,53.29507,78.70005,156.7,0
3.318336,7.17474,12.07,53.2955,77.70006,157.2,4.00776E-06
3.333417,7.174562,12.07,53.29593,76.80004,157.7,-7.477747E-06
3.347543,7.174216,12.07,53.29679,75.70004,158.7,0
3.364425,7.17379,12.07,53.29792,74.80003,160,-3.256331E-06
3.380913,7.173156,12.07,53.29977,73.60003,162.0999,0
3.397336,7.172465,12.07,53.30208,72.40001,164.7,0
3.414384,7.17178,12.07,53.30488,70.70001,167.8,0
3.430426,7.171292,12.07,53.30744,68.80003,170.6,-2.36094E-06
3.447739,7.170985,12.07,53.30956,66.8,172.9,0
3.463779,7.170822,12.07,53.31104,64.89999,174.5,0
3.480784,7.1707,12.07,53.31252,62.5,176.1,0
3.497451,7.17066,12.07,53.31317,61.60001,176.8,0
3.514347,7.17065,12.07,53.31335,61.29999,177,0
3.530852,7.17065,12.07,53.31335,61.29999,177,0
3.547476,7.17065,12.07,53.31335,61.29999,177,0
3.564528,7.170645,12.07,53.31345,61.2,177.1,0
3.580997,7.170628,12.07,53.31382,61.39999,177.5,0
3.59755,7.170595,12.07,53.31475,62,178.5,-1.136615E-07
3.614834,7.170582,12.07,53.3154,62.30001,179.2,0
3.630585,7.17058,12.07,53.31559,62.30001,179.4,-5.739673E-08
3.647064,7.170579,12.07,53.31568,62.30001,179.5,0
3.663607,7.170579,12.07,53.31568,62.30001,179.5,0
3.68051,7.170579,12.07,53.31568,62.30001,179.5,0
3.697085,7.170579,12.07,53.31568,62.30001,179.5,0
3.713824,7.170577,12.07,53.31596,62.29999,179.8,0
3.730728,7.170578,12.07,53.31642,62.29999,180.3,0
3.747205,7.170583,12.07,53.31698,62.10001,180.8999,5.701799E-08
3.763667,7.170603,12.07,53.31782,61.70001,181.8,0
3.78077,7.170645,12.07,53.31884,61.39999,182.8999,0
3.797227,7.17072,12.07,53.32005,60.80001,184.2,0
3.813838,7.170796,12.07,53.32097,59.99999,185.2,0
3.830797,7.170888,12.07,53.3219,59.10002,186.2,4.156304E-07
3.847269,7.170963,12.07,53.32254,58.40002,186.9,-4.073455E-07
3.863979,7.170985,12.07,53.32273,57.90001,187.1,-4.016633E-07
3.880849,7.171009,12.07,53.32291,57.60001,187.3,3.983439E-07
3.897375,7.171009,12.07,53.32291,57.60001,187.3,3.983439E-07
3.913853,7.171009,12.07,53.32291,57.60001,187.3,3.983439E-07
3.930639,7.171009,12.07,53.32291,57.60001,187.3,3.983439E-07
3.947315,7.171009,12.07,53.32291,57.60001,187.3,3.983439E-07
3.963983,7.171009,12.07,53.32291,57.60001,187.3,3.983439E-07
3.980489,7.171021,12.07,53.32301,57.49999,187.4,0
3.997656,7.171021,12.07,53.32301,57.49999,187.4,0
4.0138,7.171021,12.07,53.32301,57.49999,187.4,0
4.03063,7.171021,12.07,53.32301,57.49999,187.4,0
4.047382,7.171021,12.07,53.32301,57.49999,187.4,0
4.0639,7.171021,12.07,53.32301,57.49999,187.4,0
4.080421,7.171021,12.07,53.32301,57.49999,187.4,0
4.097377,7.171021,12.07,53.32301,57.49999,187.4,0
4.113925,7.171021,12.07,53.32301,57.49999,187.4,0
4.130714,7.171021,12.07,53.32301,57.49999,187.4,0
4.147386,7.171021,12.07,53.32301,57.49999,187.4,0
4.163639,7.171021,12.07,53.32301,57.49999,187.4,0
4.180542,7.171021,12.07,53.32301,57.49999,187.4,0
4.197497,7.171021,12.07,53.32301,57.49999,187.4,0
4.213892,7.171021,12.07,53.32301,57.49999,187.4,0
4.230587,7.171021,12.07,53.32301,57.49999,187.4,0
4.247445,7.171021,12.07,53.32301,57.49999,187.4,0
4.263844,7.171021,12.07,53.32301,57.49999,187.4,0
4.280739,7.171021,12.07,53.32301,57.49999,187.4,0
4.297379,7.171021,12.07,53.32301,57.49999,187.4,0
4.313808,7.171021,12.07,53.32301,57.49999,187.4,0
4.330523,7.171021,12.07,53.32301,57.49999,187.4,0
4.347438,7.171021,12.07,53.32301,57.49999,187.4,0
4.363862,7.171021,12.07,53.32301,57.49999,187.4,0
4.380459,7.171021,12.07,53.32301,57.49999,187.4,0
4.397357,7.171021,12.07,53.32301,57.49999,187.4,0
4.413883,7.171021,12.07,53.32301,57.49999,187.4,0
4.430521,7.171021,12.07,53.32301,57.49999,187.4,0
4.447371,7.171021,12.07,53.32301,57.49999,187.4,0
4.463845,7.171021,12.07,53.32301,57.30001,187.4,0
4.480778,7.171021,12.07,53.32301,57.1,187.4,0
4.497384,7.171032,12.07,53.3231,56.8,187.5,0
4.514151,7.171032,12.07,53.3231,56.4,187.5,-3.857005E-07
4.530838,7.171057,12.07,53.32328,56,187.7,-3.81699E-07
4.547215,7.171095,12.07,53.32356,55.7,188,-3.787639E-07
4.564163,7.171122,12.07,53.32374,55.49999,188.2,0
4.580502,7.171122,12.07,53.32374,55.49999,188.2,0
4.597264,7.171122,12.07,53.32374,55.49999,188.2,0
4.613862,7.171122,12.07,53.32374,55.49999,188.2,0
4.630784,7.171122,12.07,53.32374,55.49999,188.2,0
4.647234,7.171122,12.07,53.32374,55.49999,188.2,0
4.664042,7.171122,12.07,53.32374,55.49999,188.2,0
4.680627,7.171122,12.07,53.32374,55.49999,188.2,0
4.69736,7.171122,12.07,53.32374,55.49999,188.2,0
4.713879,7.171122,12.07,53.32374,55.49999,188.2,0
4.730508,7.171122,12.07,53.32374,55.49999,188.2,0
4.747417,7.171122,12.07,53.32374,55.49999,188.2,0
4.763891,7.171122,12.07,53.32374,55.49999,188.2,0
4.780467,7.171122,12.07,53.32374,55.49999,188.2,0
4.7976,7.171122,12.07,53.32374,55.49999,188.2,0
4.813945,7.171122,12.07,53.32374,55.49999,188.2,0
4.830663,7.171122,12.07,53.32374,55.49999,188.2,0
4.847407,7.171122,12.07,53.32374,55.49999,188.2,0
4.863866,7.171122,12.07,53.32374,55.49999,188.2,0
4.880602,7.171122,12.07,53.32374,55.49999,188.2,0
4.897371,7.171122,12.07,53.32374,55.49999,188.2,0
4.914182,7.171122,12.07,53.32374,55.49999,188.2,0
