TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03918213,0,4.476456,-39,0,0,0
0.07981496,0,4.42152,-39,0,0,0
0.1260787,0,4.335192,-39,0,0,0
0.1765985,0,4.14684,-39,0,0,0
0.2254398,0,3.982032,-39,0,0,0
0.2752196,0,3.67596,-39,0.2,359.7,0
0.3258847,0,3.432672,-39,0.2,359.6,0
0.3729828,0,3.105,-39,0.2,359.6,0
0.4235468,0,3.081451,-39,0.2,359.6,0
0.4734975,0,3.051451,-39,0.2,359.6,0
0.5395685,0,3.021451,-39,0.2,359.6,0
0.5708091,0,3.005,-39,0.2,359.6,0
0.6212381,0,3.025,-39,0.2,359.6,0
0.6894813,0,3.065,-39,0.2,359.6,0
0.7208183,0,3.075,-39,0.2,359.6,0
0.768507,0,3.105,-39,0.2,359.6,0
0.8379341,0,3.105,-39,0.2,359.6,0
0.8664832,0,3.105,-39,0.2,359.6,0
0.9166073,0,3.105,-39,0.2,359.6,0
0.9842455,0,3.105,-39,0.2,359.6,0
1.015841,0,3.105,-39,0.2,359.6,0
1.064774,0.004020554,3.12442,-38.79989,359.8,358.8,0
1.114246,0.02481614,3.190746,-38.49894,359.2,358,0
1.16382,0.04144433,3.203075,-38.29755,358.7,357.3,3.335912E-09
1.23199,0.06114034,3.123841,-37.89601,358.7,357.2,0
1.263071,0.06049871,3.108824,-37.79592,358.7,357.2,0
1.310497,0.03818971,3.07512,-37.49665,358.7,357.2,0
1.379726,-0.00604732,3.011669,-37.19846,358.7,357.2,0
1.410536,-0.03958387,3.012055,-36.99986,358.7,357.2,0
1.457757,-0.07062925,3.05236,-36.80114,358.7,357.2,0
1.507371,-0.09427372,3.094829,-36.60205,358.7,357.2,0
1.556063,-0.1170726,3.12442,-36.30281,358.7,357.2,0
1.605204,-0.143156,3.170144,-36.10385,358.7,357.2,0
1.655761,-0.1921845,3.203075,-35.80589,358.7,357.2,0
1.70424,-0.2243128,3.169455,-35.60722,358.7,357.2,0
1.772382,-0.2651438,3.104476,-35.20874,358.7,357.2,0
1.804558,-0.2672999,3.094369,-35.10873,358.7,357.2,0
1.851798,-0.257868,3.028854,-34.8079,358.7,357.2,0
1.92096,-0.2374695,3.012055,-34.50661,358.9,357.1,0
1.951437,-0.2263147,3.05236,-34.30579,359.6,357.1,-8.337837E-10
1.999029,-0.22256,3.094829,-34.10535,1.1,357.1,0
2.067711,-0.2295984,3.12442,-33.80525,3.1,356.4,0
