TimeStamp,X,Y,Z,Roll,Pitch,Yaw

TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02101225,0.2303718,12.0921,42.21927,11.5,357.1,0
0.04142771,0.2201422,12.07771,42.31826,11.5,357.1,0
0.06173231,0.2130438,12.07003,42.41803,11.5,357.1,0
0.08296266,0.2095625,12.06398,42.51798,11.5,357.1,0
0.1040134,0.2093436,12.04722,42.61809,11.5,357.1,0
0.124884,0.2117735,12.0246,42.71835,11.5,357.1,0
0.1459024,0.2162388,12.00104,42.8187,11.5,357.1,0
0.1668408,0.2288208,11.97075,43.01959,11.5,357.1,0
0.1879182,0.2357103,11.97332,43.12007,11.5,357.1,0
0.2088171,0.2421804,11.98785,43.22052,11.5,357.1,0
0.2298067,0.247618,12.00947,43.32093,11.5,357.1,0
0.2509016,0.2514091,12.03325,43.42125,11.5,357.1,0
0.2717245,0.2529402,12.0543,43.52146,11.5,357.1,0
0.2917289,0.2515978,12.06768,43.62152,11.5,357.1,0
0.312712,0.2474874,12.07137,43.72144,11.5,357.1,0
0.3338284,0.2457139,12.08336,43.82147,11.5,357.1,0
0.3547939,0.2468961,12.10367,43.92166,11.5,357.1,0
0.3751032,0.2504116,12.12737,44.02213,11.4,356.6,2.72174E-08
0.3958676,0.2546862,12.14956,44.12382,11.9,354.1,1.090656E-07
0.4169891,0.2555795,12.16532,44.22614,12.6,351.7,0
0.4384827,0.2522321,12.16975,44.33076,13.80001,347.3,0
0.458931,0.2403922,12.16061,44.43609,15.00001,342.5,-2.209729E-07
0.47993,0.2195852,12.14192,44.53864,16.00001,339.4,0
0.5009401,0.1915072,12.1186,44.64061,17.2,335.8,0
0.5219488,0.1562582,12.09558,44.73795,18.7,333.8,0
0.5432802,0.1160386,12.07775,44.83152,19.5,332.8,0
0.5637988,0.07158929,12.07003,44.92248,20.4,332.1,0
0.5851498,0.0232387,12.06398,45.01042,20.8,331.9,-4.566485E-07
0.6061348,-0.08185402,12.0246,45.18103,20.8,331.9,-4.566485E-07
0.6267181,-0.1373678,12.00104,45.26475,20.8,331.9,-4.566485E-07
0.6478458,-0.1941375,11.98145,45.3478,20.8,331.9,-4.566485E-07
0.6678795,-0.2516207,11.97075,45.43047,20.8,331.9,-4.566485E-07
0.6887609,-0.3092759,11.97332,45.51305,20.8,331.9,-4.566485E-07
0.7087904,-0.3665607,11.98785,45.59583,20.8,331.9,-4.566485E-07
0.7295923,-0.4229334,12.00947,45.67908,20.8,331.9,-4.566485E-07
0.7499215,-0.4778517,12.03325,45.76312,20.8,331.9,-4.566485E-07
0.7710004,-0.530774,12.0543,45.84823,20.8,331.9,-4.566485E-07
0.7907416,-0.5811582,12.06768,45.93469,20.8,331.9,-4.566485E-07
0.8115748,-0.6290976,12.07137,46.02246,20.8,331.9,-4.566485E-07
0.831729,-0.679101,12.08336,46.10912,20.8,331.9,-4.566485E-07
0.8526253,-0.7317151,12.10367,46.19439,20.8,331.9,-4.566485E-07
0.8728672,-0.7863981,12.12737,46.27855,20.8,331.9,-4.566485E-07
