"Item" "Order" "SubjectNo" "Room"
"Jug" 1 "P21" "Bedroom"
"FirstAidKit" 2 "P21" "Bedroom"
"Canister" 3 "P21" "Bedroom"
"Chaynik" 4 "P21" "Bedroom"
"FireExtinguisher" 5 "P21" "Bedroom"
"Glasses" 6 "P21" "Bedroom"
"DeskLight" 1 "P21" "Classroom"
"Pumpkin" 2 "P21" "Classroom"
"Basket" 3 "P21" "Classroom"
"Recorder" 4 "P21" "Classroom"
"WineBottle" 5 "P21" "Classroom"
"Bread" 6 "P21" "Classroom"
"Laptop" 1 "P21" "Gym"
"Toothpaste" 2 "P21" "Gym"
"Pinza" 3 "P21" "Gym"
"TennisBall" 4 "P21" "Gym"
"CoffeeMachine" 5 "P21" "Gym"
"OldRadio" 6 "P21" "Gym"
"Matrioshka" 1 "P21" "Library"
"RockingHorse" 2 "P21" "Library"
"MobilePhone" 3 "P21" "Library"
"Clamps" 4 "P21" "Library"
"Microphone" 5 "P21" "Library"
"MosquitoRacket" 6 "P21" "Library"
"CokeCan" 1 "P21" "LivingRoom"
"HTCVive" 2 "P21" "LivingRoom"
"StrawberryDonut" 3 "P21" "LivingRoom"
"UGGboot" 4 "P21" "LivingRoom"
"CinRoll" 5 "P21" "LivingRoom"
"PaperCoffeeCup" 6 "P21" "LivingRoom"
"ShowerHead" 1 "P21" "StorageRoom"
"NailScissors" 2 "P21" "StorageRoom"
"Router" 3 "P21" "StorageRoom"
"Hammer" 4 "P21" "StorageRoom"
"BallonDog" 5 "P21" "StorageRoom"
"Official hat" 6 "P21" "StorageRoom"
