TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03378731,-0.0737702,12.06153,42.2388,14.3,2.099999,-2.753353E-08
0.04986247,-0.06416827,12.0493,42.33707,14.3,2.099999,-2.753353E-08
0.06630096,-0.05223781,12.02591,42.43684,14.3,2.2,2.753353E-08
0.100294,-0.03828257,12.00322,42.53638,14.3,2.2,2.753353E-08
0.1164144,-0.02312751,11.98628,42.63587,14.3,2.2,2.753353E-08
0.1327538,-0.007386532,11.98002,42.73534,14.3,2.2,2.753353E-08
0.1677927,0.02339738,12.00513,42.9343,14.3,2.2,2.753353E-08
0.1826994,0.03721244,12.0281,43.03384,14.3,2.2,2.753353E-08
0.2169388,0.04915818,12.05146,43.13348,14.3,2.299999,-2.753353E-08
0.2334173,0.05879376,12.07029,43.23317,14.3,2.4,0
0.2501278,0.06550581,12.07969,43.33298,14.3,2.5,0
0.2839854,0.07990058,12.10002,43.53252,14.3,2.7,0
0.3000036,0.07989962,12.10002,43.53251,14.4,2.9,2.754583E-08
0.3163199,0.09212057,12.12213,43.63202,14.4,2.9,2.754583E-08
0.3505809,0.1223015,12.16628,43.83062,14.4,3.1,2.754583E-08
0.3665529,0.1393826,12.17849,43.92977,14.4,3.2,-2.754583E-08
0.4004192,0.1393782,12.08,43.92969,14.5,3.299999,0
0.416809,0.1393782,12.08,43.92969,14.5,3.299999,0
0.4329991,0.1393782,12.08,43.92969,14.5,3.299999,0
0.4676346,0.1393782,12.08,43.92969,14.5,3.299999,0
0.4827348,0.1393782,12.08,43.92969,14.5,3.299999,0
0.4994791,0.1393782,12.08,43.92969,14.5,3.299999,0
0.5340171,0.1393736,12.08,43.92961,14.5,3.4,0
0.5496772,0.1393736,12.08,43.92961,14.5,3.4,0
0.5836939,0.139369,12.08,43.92953,14.5,3.5,-2.755822E-08
0.5996248,0.1393642,12.08,43.92946,14.5,3.6,0
0.6343138,0.1393266,12.08,43.92891,14.7,4.3,5.516657E-08
0.6496125,0.1392825,12.08,43.92837,15,5,-5.524321E-08
0.6660752,0.139208,12.08,43.9276,15.3,6,0
0.701054,0.1389276,12.08,43.92544,16.1,8.8,0
0.7162215,0.1386917,12.08,43.92406,16.6,10.6,1.11363E-07
0.7500939,0.1381097,12.08,43.9214,17.2,14.1,0
0.7666591,0.1377686,12.08,43.92012,17.3,15.8,2.235569E-07
0.7827097,0.1373664,12.08,43.91878,17.3,17.6,0
0.8178409,0.1363801,12.08,43.916,16.8,21.4,0
0.8328323,0.1358795,12.08,43.91477,16.8,23.1,0
0.849452,0.1352445,12.08,43.91335,16.9,25.1,-2.230773E-07
0.8839048,0.1336755,12.08,43.91031,17.5,29.5,-4.476033E-07
0.8992062,0.1327637,12.08,43.90878,18,31.8,0
0.9334779,0.1308966,12.08,43.906,19.3,36.09999,0
0.9487787,0.1300542,12.08,43.90488,20.1,37.9,0
0.9652321,0.1291274,12.08,43.90373,20.9,39.8,4.569522E-07
0.9995228,0.1265113,12.08,43.90086,22.7,44.79999,0
1.014213,0.1258468,12.08,43.9002,23.1,45.99999,0
1.031466,0.1235356,12.08,43.89812,24.2,49.99999,0
1.048427,0.1221427,12.08,43.897,25,52.29999,0
1.081995,0.1199397,12.08,43.8954,26.00001,55.8,0
1.096962,0.1192927,12.08,43.89497,26.3,56.8,0
1.113448,0.1190318,12.08,43.8948,26.4,57.2,0
1.129891,0.1189664,12.08,43.89476,26.40001,57.3,0
1.146721,0.1189664,12.08,43.89476,26.40001,57.3,0
1.163747,0.1189664,12.08,43.89476,26.40001,57.3,0
1.180526,0.1189009,12.08,43.89472,26.4,57.4,-9.531791E-07
1.197281,0.1187697,12.08,43.89463,26.40001,57.6,0
1.214323,0.1185724,12.08,43.89451,26.4,57.9,0
1.230273,0.1183083,12.08,43.89434,26.40001,58.3,0
1.24667,0.1180431,12.08,43.89418,26.3,58.7,0
1.281517,0.1172407,12.08,43.89371,26.1,59.9,0
1.297181,0.1169034,12.08,43.89351,25.9,60.4,0
1.31347,0.1164285,12.08,43.89325,25.7,61.1,0
1.330582,0.1161556,12.08,43.8931,25.5,61.49999,0
1.346913,0.1158817,12.08,43.89295,25.29999,61.9,0
1.363519,0.1156757,12.08,43.89284,25.19999,62.2,-9.435765E-07
1.38051,0.1154,12.08,43.8927,25.19999,62.59999,0
1.397096,0.115054,12.08,43.89252,24.9,63.09999,-9.412702E-07
1.413352,0.1146368,12.08,43.89231,24.6,63.7,0
1.431175,0.1139366,12.08,43.89197,24.2,64.69999,-9.360319E-07
1.447441,0.1128044,12.08,43.89146,24,66.3,0
1.463634,0.1118742,12.08,43.89106,23.99999,67.6,0
1.480132,0.1109352,12.08,43.89069,24,68.9,9.345715E-07
1.496984,0.1098415,12.08,43.89028,24,70.4,9.345716E-07
1.5134,0.1085897,12.08,43.88985,24,72.10001,9.345716E-07
1.530012,0.1075497,12.08,43.88953,23.99999,73.49999,0
1.547249,0.106427,12.08,43.88922,24.09999,74.99999,-1.8706E-06
1.563231,0.1051451,12.08,43.88889,24.59999,76.7,0
1.580128,0.1037018,12.08,43.88858,25.3,78.6,9.443535E-07
1.597143,0.1022488,12.08,43.88831,25.9,80.49999,-9.491036E-07
1.613392,0.1008648,12.08,43.8881,26.5,82.3,0
1.630181,0.09947485,12.08,43.88793,27,84.10001,-9.582125E-07
1.663848,0.09582782,12.08,43.88771,28.9,88.8,9.752235E-07
1.679966,0.09466138,12.08,43.8877,29.3,90.3,-9.790203E-07
1.696554,0.09365056,12.08,43.88771,29.69999,91.60001,-9.828949E-07
1.712777,0.09287342,12.08,43.88774,29.99999,92.60001,-9.858529E-07
1.730239,0.09225214,12.08,43.88778,30.2,93.4,1.975699E-06
1.746132,0.09178651,12.08,43.88781,30.4,94,0
1.763355,0.09155382,12.08,43.88782,30.4,94.3,0
1.779507,0.09139875,12.08,43.88784,30.4,94.50001,1.979733E-06
1.79636,0.09139875,12.08,43.88784,30.4,94.50001,1.979733E-06
1.813093,0.09139875,12.08,43.88784,30.4,94.50001,1.979733E-06
1.830171,0.09139875,12.08,43.88784,30.4,94.50001,1.979733E-06
1.846239,0.09139875,12.08,43.88784,30.4,94.50001,1.979733E-06
1.862487,0.09139875,12.08,43.88784,30.4,94.50001,1.979733E-06
1.879701,0.09132123,12.08,43.88784,30.39999,94.6,0
1.895914,0.09132123,12.08,43.88784,30.39999,94.6,0
1.912753,0.09116621,12.08,43.88786,30.3,94.80001,1.977711E-06
1.930735,0.09116621,12.08,43.88786,30.3,94.80001,1.977711E-06
1.946069,0.09116621,12.08,43.88786,30.3,94.80001,1.977711E-06
1.962776,0.09116621,12.08,43.88786,30.2,94.8,-1.975699E-06
1.979549,0.09116621,12.08,43.88786,29.89999,94.8,-9.848619E-07
1.996271,0.09116621,12.08,43.88786,29.7,94.80001,-9.82895E-07
2.01316,0.1898136,12.17785,43.86756,29.5,94.8,0
2.02946,0.288489,12.16468,43.84759,29.4,94.80001,9.799817E-07
2.046629,0.387381,12.14375,43.82856,29.1,94.7,-9.771123E-07
2.062668,0.4864501,12.11997,43.81126,29,94.6,-9.761656E-07
2.080004,0.4864501,12.11997,43.81126,28.9,94.60001,0
2.096673,0.585736,12.09825,43.7963,28.8,94.50001,9.742862E-07
2.113059,0.6851019,12.08352,43.78431,28.8,94.50001,9.742862E-07
2.129535,0.7847346,12.07935,43.77572,28.8,94.50001,9.742862E-07
2.146995,0.8846488,12.06889,43.7707,28.8,94.50001,9.742862E-07
2.162506,0.9849604,12.04944,43.7687,28.7,94.4,0
2.179436,0.9849604,12.04944,43.7687,28.7,94.4,0
2.195649,1.085303,12.02591,43.76931,28.7,94.4,0
2.213149,1.185785,12.00322,43.77174,28.7,94.4,0
2.229584,1.286359,11.98628,43.77536,28.7,94.4,0
2.245614,1.387064,11.98002,43.77956,28.49999,94.30001,9.715033E-07
2.262975,1.487805,11.98746,43.7839,28.3,94.10001,9.696712E-07
2.279429,1.487935,11.98746,43.78389,28.2,93.90001,0
2.295946,1.588606,12.00513,43.78829,28.2,93.60002,9.687623E-07
2.312545,1.689149,12.0281,43.79197,28.2,93.20001,0
2.329522,1.789532,12.05146,43.79448,28.2,92.60001,-9.687623E-07
2.345823,1.88973,12.07029,43.79557,28.2,91.60001,0
2.362417,1.989763,12.07969,43.7953,28.2,90.50002,0
2.3803,1.989766,12.07969,43.7953,28.19999,88.90002,-9.687624E-07
2.396373,2.08968,12.08445,43.79846,28.2,86.8,-9.687623E-07
2.412643,2.189034,12.10002,43.80845,28.2,84.3,-1.937525E-06
2.429809,2.28723,12.12213,43.82544,28.2,81.60001,0
2.446573,2.383775,12.14585,43.84907,28.2,78.90002,0
2.462588,2.478369,12.16628,43.8786,28.19999,76.30001,1.937525E-06
2.479462,2.476051,12.16628,43.87794,28.2,72.10001,9.687624E-07
2.496392,2.565853,12.17849,43.9192,28.2,69.70001,0
2.513566,2.653466,12.17785,43.96433,28.2,67.50002,-9.687623E-07
2.530209,2.739652,12.16468,44.0126,28.19999,65.90002,0
2.545953,2.824822,12.14375,44.06238,28.19999,64.50001,0
2.563205,2.90936,12.11996,44.11279,28.2,63.20001,0
2.579901,2.907318,12.11996,44.11172,28.2,61.70001,-9.687624E-07
2.596852,2.9899,12.09825,44.16404,28.2,60.20001,9.687622E-07
2.61294,3.072526,12.08352,44.21611,28.19999,58.80001,0
2.630298,3.15575,12.07935,44.26736,28.2,57.50001,9.687623E-07
2.646389,3.23991,12.06889,44.31759,28.19999,56.30001,-9.687625E-07
2.663478,3.324271,12.04944,44.36674,28.2,54.70001,0
2.680473,3.322853,12.04944,44.36572,28.2,53.60001,0
2.696662,3.407232,12.02591,44.41759,28.2,52.70001,0
2.713969,3.492411,12.00322,44.46975,28.2,52.20001,0
2.730302,3.577946,11.98628,44.52177,28.2,51.70001,9.687623E-07
2.746858,3.663468,11.98002,44.57413,28.09999,51.20001,0
2.763187,3.748593,11.98746,44.62732,28,50.7,0
2.779869,3.74824,11.98746,44.62703,27.79999,50,-9.651729E-07
2.796521,3.831825,12.00513,44.68249,27.59999,49.3,-1.926811E-06
2.813226,3.914062,12.0281,44.74005,27.49999,48.90001,-9.625289E-07
2.830522,3.99473,12.05146,44.79966,27.4,48.7,0
2.846402,4.073563,12.07029,44.86143,27.3,48.50001,0
2.863146,4.150133,12.07969,44.9258,27.3,48.50001,0
2.880271,4.150133,12.07969,44.9258,27.3,48.40001,0
2.896088,4.225738,12.08445,44.99126,27.3,48.40001,0
2.913574,4.303462,12.10002,45.05434,27.3,48.40001,0
2.930503,4.383018,12.12213,45.11538,27.29999,48.3,-9.60789E-07
2.946194,4.463923,12.14585,45.17501,27.3,48.10001,0
2.963078,4.545694,12.16628,45.23388,27.29999,47.80001,9.60789E-07
2.979883,4.545822,12.16628,45.23399,27.29999,47.50001,0
2.99671,4.627792,12.17849,45.29324,27.2,46.90001,-9.599257E-07
3.013342,4.709492,12.17785,45.3533,27.1,46.20001,0
3.029834,4.790321,12.16468,45.4147,27.1,45.50001,-9.590668E-07
3.047254,4.870014,12.14374,45.47804,27.1,44.60001,9.590668E-07
