TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04080576,0,4.476456,-39,0,0,0
0.05798627,0,4.476456,-39,0,0,0
0.08405568,0,4.42152,-39,0,0,0
0.1168233,0,4.38228,-39,0,0,0
0.1503654,0,4.280256,-39,0,0,0
0.1831885,0,4.14684,-39,0,0,0
0.2165586,0,4.06836,-39,0,0,0
0.2502047,0,3.887856,-39,0,0,0
0.2848783,0,3.67596,-39,0,0,0
0.3171743,0,3.55824,-39,0,0,0
0.3509057,0,3.299256,-39,0,0,0
0.3841676,0,3.105,-39,0,0,0
0.4177265,0,3.105,-39,0,0,0
0.4365029,0,3.088369,-39,0,0,0
0.466946,0,3.068369,-39,0,0,0
0.500118,0,3.048369,-39,0,0,0
0.5342461,0,3.038369,-39,0,0,0
0.5670456,0,3.018369,-39,0,0,0
0.600409,0,3.005,-39,0,0,0
0.6333676,0,3.015,-39,0,0,0
0.6665237,0,3.035,-39,0,0,0
0.7006994,0,3.055,-39,0,0,0
0.7334419,0,3.065,-39,0,0,0
0.767902,0,3.085,-39,0.1,359.7,0
0.800993,0,3.105,-39,0.3,359.4,-1.042218E-10
0.8201086,0,3.105,-39,0.4,359.3,2.084459E-10
0.8508103,0,3.105,-39,0.4,359.3,2.084459E-10
0.8848255,0,3.105,-39,0.5000001,359.2,-4.168975E-10
0.9175454,0,3.105,-39,0.5000001,359.2,-4.168975E-10
0.9500529,0,3.105,-39,0.5000001,359.2,-4.168975E-10
0.9836519,0,3.105,-39,0.5000001,359.2,-4.168975E-10
1.016775,0,3.105,-39,0.5000001,359.2,-4.168975E-10
1.05002,0,3.105,-39,0.5000001,359.2,-4.168975E-10
1.083483,0,3.105,-39,0.4,359.4,0
1.117254,0,3.105,-39,0.4,359.4,0
1.150376,0,3.105,-39,0.4,359.4,0
1.183335,0,3.105,-39,0.4,359.4,0
1.203489,0,3.105,-39,0.4,359.4,0
1.233823,0,3.105,-39,0.4,359.4,0
1.267633,0,3.105,-39,0.4,359.4,0
1.301044,0,3.105,-39,0.4,359.4,0
1.333283,0,3.105,-39,0.2,359.6,0
1.366724,0,3.105,-39,359.7,0.2,0
1.400851,0,3.105,-39,359.2,0.9,0
1.433664,0,3.105,-39,358.9,1.3,8.339169E-10
1.467419,0,3.105,-39,358.6,1.6,1.668024E-09
1.500854,0,3.105,-39,358.4,2,0
1.533954,0,3.105,-39,358.3,2.2,0
1.566989,0,3.105,-39,358.1,2.5,3.336888E-09
1.600682,0,3.105,-39,357.9,2.7,0
1.634199,0,3.105,-39,357.7,2.9,0
1.654037,0,3.105,-39,357.7,2.9,0
1.68435,0,3.105,-39,357.7,2.9,0
1.717604,0,3.105,-39,357.7,2.9,0
1.750336,0,3.105,-39,357.7,2.9,0
1.784063,0,3.105,-39,357.7,2.9,0
1.816183,0,3.105,-39,357.7,2.9,0
1.849988,0,3.105,-39,357.7,2.9,0
1.884062,0,3.105,-39,357.7,2.9,0
1.916777,0,3.105,-39,357.6,3,0
1.950001,0,3.105,-39,357.6,3,0
1.983494,0,3.105,-39,357.6,3,0
2.004134,0,3.105,-39,357.6,3,0
2.034593,0,3.105,-39,357.6,3,0
2.067293,0,3.105,-39,357.6,3,0
2.101117,0,3.105,-39,357.6,3,0
2.133891,0,3.105,-39,357.6,3,0
2.166904,0,3.105,-39,357.6,3,0
2.199853,0,3.105,-39,357.6,3,0
2.233773,0,3.105,-39,357.6,3,0
2.266928,0,3.105,-39,357.6,3,0
2.300155,0,3.105,-39,357.6,3,0
2.334036,0,3.105,-39,357.6,3,0
2.366738,0,3.105,-39,357.5,3.1,-6.676462E-09
2.386111,0,3.105,-39,357.5,3.1,-6.676462E-09
2.41831,0,3.105,-39,357.5,3.1,-6.676462E-09
2.450831,0,3.105,-39,357.5,3.1,-6.676462E-09
2.48463,0,3.105,-39,357.5,3.1,-6.676462E-09
2.516356,0,3.105,-39,357.5,3.1,-6.676462E-09
2.549851,0,3.105,-39,357.5,3.1,-6.676462E-09
2.58318,0.0162258,3.12442,-38.80059,357.5,3.1,-6.676462E-09
2.616496,0.02871919,3.146397,-38.70111,357.5,3.1,-6.676462E-09
2.649682,0.05950668,3.190746,-38.50249,357.5,3.1,-6.676462E-09
2.668699,0.07657378,3.203287,-38.40327,357.5,3.1,-6.676462E-09
2.700689,0.1109872,3.190222,-38.20484,357.5,3.1,-6.676462E-09
2.733157,0.1271065,3.169455,-38.10557,357.5,3.1,-6.676462E-09
2.766575,0.1541029,3.123841,-37.90673,357.5,3.1,-6.676462E-09
2.799877,0.1700234,3.104476,-37.7073,357.5,3.1,-6.676462E-09
2.833219,0.1727032,3.094369,-37.6073,357.5,3.1,-6.676462E-09
2.866246,0.1695013,3.051643,-37.40683,357.5,3.1,-6.676462E-09
2.900036,0.1589741,3.011669,-37.20597,357.5,3.1,-6.676462E-09
2.919195,0.1524973,3.005002,-37.10547,357.5,3.1,-6.676462E-09
2.950618,0.1460296,3.012055,-37.00498,357.5,3.1,-6.676462E-09
2.984192,0.1355759,3.05236,-36.80412,357.5,3.1,-6.676462E-09
3.016216,0.1328168,3.075782,-36.70382,357.5,3.1,-6.676462E-09
3.049536,0.1353016,3.104586,-36.50366,357.4,3.1,0
3.083579,0.1406023,3.12442,-36.30367,356.9,3,6.679881E-09
3.116829,0.1387454,3.146397,-36.20352,356.5,2.6,0
3.150105,0.1278259,3.190746,-36.00311,355.8,2.1,0
3.183221,0.1115131,3.203075,-35.80257,355.6,1.9,-6.689823E-09
3.203057,0.103177,3.190222,-35.70224,355.6,1.9,-6.689823E-09
3.23406,0.09576687,3.169455,-35.60207,355.5,1.8,0
3.26738,0.08585276,3.123841,-35.40166,355.5,1.8,0
3.299843,0.0870252,3.104476,-35.2016,355.5,1.8,0
3.333634,0.09289705,3.094369,-35.10173,355.5,1.8,0
3.366593,0.1132105,3.051643,-34.90228,355.5,1.8,0
3.399662,0.1408564,3.011669,-34.70304,355.5,1.8,0
3.433378,0.1558936,3.005002,-34.60347,355.5,1.8,0
3.452805,0.1709218,3.012055,-34.50389,355.5,1.8,0
3.48382,0.198494,3.05236,-34.30466,355.5,1.8,0
3.517822,0.2098101,3.075782,-34.20496,355.5,1.8,0
3.550425,0.2244313,3.104586,-34.00533,355.5,1.8,0
3.583325,0.2362334,3.12442,-33.8056,355.5,1.8,0
3.616369,0.2464668,3.146397,-33.70587,355.5,1.8,0
3.650413,0.2727401,3.190746,-33.5066,355.5,1.8,0
3.683448,0.3026612,3.202235,-33.30743,355.5,1.8,0
3.716505,0.3174548,3.190222,-33.20785,355.5,1.8,0
3.734966,0.3313178,3.169454,-33.10824,355.5,1.8,0
3.767294,0.3537962,3.12384,-32.90885,355.5,1.8,0
3.800473,0.3651878,3.104476,-32.70911,355.5,1.8,0
3.834724,0.365598,3.094369,-32.60907,355.5,1.8,0
3.866032,0.3578488,3.051643,-32.40873,355.5,1.8,0
3.900004,0.3427672,3.011669,-32.20815,355.5,1.8,0
3.933078,0.3340119,3.005002,-32.10783,355.5,1.8,0
3.966665,0.3171562,3.02948,-31.90646,355,0.1999998,0
4.000021,0.2996382,3.075782,-31.70604,354,357.8,0
4.033829,0.2900878,3.094829,-31.60626,353.2,356.3,1.343472E-08
4.052586,0.2810091,3.104587,-31.50664,353.1,356,-2.687507E-08
4.084641,0.2615484,3.124421,-31.30751,353.1,356,-2.687507E-08
4.117605,0.2474941,3.146398,-31.20825,353.1,356,-2.687507E-08
4.150445,0.2135905,3.190746,-31.01013,353.1,356,-2.687507E-08
4.183189,0.1760461,3.203075,-30.81227,353.1,356,-2.687507E-08
4.216703,0.157441,3.190222,-30.71333,353.1,356,-2.687507E-08
4.249679,0.1236291,3.145689,-30.5152,353.1,356,-2.687507E-08
4.283159,0.09843466,3.108824,-30.31648,353.1,356,-2.687507E-08
4.316803,0.09059741,3.104476,-30.21678,353.1,356,-2.687507E-08
4.350006,0.08515247,3.075119,-30.01667,353.1,356,-2.687507E-08
4.369269,0.08640008,3.051643,-29.91634,353.1,356,-2.687507E-08
4.400218,0.093771,3.011669,-29.71534,353.1,356,-2.687507E-08
4.43288,0.09866849,3.005002,-29.61475,353.1,356,-2.687507E-08
4.466551,0.1078231,3.02948,-29.41362,353.1,356,-2.687507E-08
4.49979,0.1120376,3.075782,-29.21284,353.1,356,-2.687507E-08
4.532634,0.1107601,3.094829,-29.11268,353.1,356,-2.687507E-08
4.565901,0.1006129,3.109128,-28.91291,353.1,356,-2.687507E-08
4.599685,0.09807006,3.146398,-28.71259,353.1,356,-2.687507E-08
4.617461,0.09807006,3.146398,-28.71259,353.1,356,-2.687507E-08
4.649988,0.1040711,3.190746,-28.51169,353.1,356,-2.687507E-08
4.683625,0.113713,3.203075,-28.31052,353.1,356,-2.687507E-08
4.715435,0.1183668,3.190221,-28.20996,353.1,356,-2.687507E-08
4.750012,0.1241701,3.174501,-28.00924,352.8,355.4,0
4.782593,0.1195482,3.166823,-27.80656,351.4,352.7,5.396764E-08
4.815815,0.1070298,3.17759,-27.70133,349.1,348.6,0
4.834415,0.08393541,3.181941,-27.60183,348,346.7,-1.091059E-07
4.867099,0.02272838,3.168154,-27.40877,346.2,343.9,0
4.900369,-0.05400353,3.156707,-27.22431,345.8,343.4,0
4.932674,-0.09427273,3.164296,-27.13303,345.8,343.4,0
4.965701,-0.1741888,3.217265,-26.95028,345.8,343.4,0
4.999687,-0.2493583,3.291978,-26.76608,345.7,343.2,0
5.017127,-0.2493583,3.291978,-26.76608,345.7,343.2,0
5.049171,-0.3157199,3.349085,-26.57931,345.6,343,-2.203666E-07
5.083038,-0.3800894,3.397329,-26.39198,345.5,342.9,0
5.116042,-0.4165788,3.433489,-26.29966,345.5,342.8,0
5.136322,-0.4552367,3.471391,-26.20816,345.4,342.4,-2.205656E-07
5.166733,-0.5375175,3.535067,-26.02619,345.2,342.2,2.207677E-07
5.199388,-0.6218408,3.553476,-25.84636,345,341.8,0
5.233394,-0.6631675,3.54827,-25.75759,345,340.7,-2.209729E-07
5.265706,-0.7447733,3.53425,-25.5788,345,339.4,-2.209729E-07
5.284413,-0.7840944,3.534877,-25.48879,345,339,2.209729E-07
5.317021,-0.8206349,3.546096,-25.3985,345.4,338.2,0
5.35048,-0.8874162,3.547081,-25.21359,345.8,337.5,2.201706E-07
5.382857,-0.9479748,3.528851,-25.02538,346.1,337.3,0
5.416467,-0.9764632,3.525379,-24.93003,346.6,337.2,0
5.43469,-1.004608,3.532126,-24.83441,346.7,337.2,-2.19326E-07
5.467054,-1.061048,3.584338,-24.64344,346.8,337.2,-4.384717E-07
5.499375,-1.122573,3.657951,-24.45423,347.5,338.2,2.186257E-07
5.533244,-1.154803,3.690714,-24.36036,348.1,339.7,0
5.566453,-1.221294,3.732777,-24.17382,348.5,341,-2.178161E-07
5.584309,-1.250041,3.762128,-24.07905,348.7,341.5,0
5.617288,-1.275229,3.79818,-23.98349,349.1,343.3,0
5.650386,-1.313753,3.870887,-23.78979,349.8,345.7,1.084355E-07
5.683371,-1.340216,3.911747,-23.59471,350.6,348.1,0
5.716126,-1.349447,3.913441,-23.49704,350.9,349.5,5.404102E-08
5.734242,-1.35717,3.907203,-23.3987,351.1,350.1,0
5.766716,-1.375749,3.890832,-23.20261,351.4,351,0
5.799645,-1.402137,3.900861,-23.00807,351.6,351.9,0
5.833174,-1.418904,3.905364,-22.91208,352,352.8,0
5.86552,-1.458052,3.892015,-22.71895,352.4,353.7,-2.691688E-08
5.899199,-1.501413,3.881599,-22.52559,352.7,354.5,2.689845E-08
5.917627,-1.501364,3.881599,-22.52612,352.9,355,-2.688659E-08
5.950403,-1.542637,3.911703,-22.3319,353.4,356.1,0
5.983123,-1.57761,3.981676,-22.13632,353.8,357.1,0
6.015877,-1.590875,4.019901,-22.0381,353.9,358,-6.708087E-09
6.049267,-1.606232,4.077613,-21.84073,354.3,359.3,0
6.067264,-1.609057,4.097722,-21.74139,354.4,359.7,0
6.09978,-1.621607,4.164807,-21.54347,354.7,0.6000019,-1.674686E-09
6.132792,-1.629791,4.203382,-21.44403,355,1.800002,0
6.16594,-1.717528,4.259543,-21.28323,355.7,4.000002,0
6.199297,-1.778809,4.264489,-21.09457,356.3,5.900002,1.336808E-08
6.217051,-1.77868,4.264489,-21.09343,356.7,6.900003,-1.336237E-08
