"Item" "Order" "SubjectNo" "Room"
"Kettle" 1 "P51" "Bedroom"
"RugbyBall" 2 "P51" "Bedroom"
"SaltSub" 3 "P51" "Bedroom"
"Mouse" 4 "P51" "Bedroom"
"Cabbaage" 5 "P51" "Bedroom"
"Squeezer" 6 "P51" "Bedroom"
"Avocado" 1 "P51" "Classroom"
"EggBeater" 2 "P51" "Classroom"
"Calculator" 3 "P51" "Classroom"
"Toaster" 4 "P51" "Classroom"
"Paprika" 5 "P51" "Classroom"
"Spoons" 6 "P51" "Classroom"
"Stapler" 1 "P51" "Gym"
"Padella" 2 "P51" "Gym"
"Typewriter" 3 "P51" "Gym"
"HTCViveController" 4 "P51" "Gym"
"PiggyBank" 5 "P51" "Gym"
"MilkCarton" 6 "P51" "Gym"
"MokeExpress" 1 "P51" "Library"
"Apple" 2 "P51" "Library"
"Mushroom" 3 "P51" "Library"
"CleaningBucket" 4 "P51" "Library"
"MechanicalGloves" 5 "P51" "Library"
"NikonCamera" 6 "P51" "Library"
"Teacup" 1 "P51" "LivingRoom"
"Controller" 2 "P51" "LivingRoom"
"Muffin" 3 "P51" "LivingRoom"
"PencilSharpener" 4 "P51" "LivingRoom"
"OfficeBin" 5 "P51" "LivingRoom"
"Openner" 6 "P51" "LivingRoom"
"Grape" 1 "P51" "StorageRoom"
"BaseballBat" 2 "P51" "StorageRoom"
"JBLSpeaker" 3 "P51" "StorageRoom"
"Pineapple" 4 "P51" "StorageRoom"
"Headphones" 5 "P51" "StorageRoom"
"HandDrill" 6 "P51" "StorageRoom"
