TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01619833,6.191762,11.95674,42.13429,13.09999,17.8,0
0.03331418,6.192005,11.95674,42.13507,13.2,17,2.192358E-07
0.04934162,6.210926,11.96944,42.23143,13.39999,16.1,-2.194168E-07
0.08352098,6.244882,12.00068,42.43024,13.49999,14.5,0
0.1001344,6.260696,12.02421,42.52959,13.59999,13.9,1.098004E-07
0.1159412,6.277414,12.04688,42.62852,13.69999,13.5,0
0.1496362,6.296005,12.06378,42.72692,13.89999,12.5,0
0.1664749,6.296009,12.07,42.72694,14.1,11.9,0
0.1826337,6.296012,12.07,42.72696,14.2,11.3,1.100853E-07
0.2168654,6.296018,12.07,42.72699,14.5,10.3,2.204658E-07
0.2333609,6.29602,12.07,42.72699,14.6,9.999994,1.102828E-07
0.2496911,6.296022,12.07,42.72701,14.8,9.499994,0
0.2833917,6.296027,12.07,42.72704,15.1,8.399994,0
0.3003838,6.294397,12.07002,42.72728,15.3,7.899993,-1.106432E-07
0.3164195,6.294397,12.07,42.72728,15.5,7.399994,1.107496E-07
0.3501406,6.294397,12.07,42.72728,15.89999,6.299994,-5.548358E-08
0.3662733,6.294397,12.07,42.72728,16.2,5.799994,5.556722E-08
0.4002858,6.294397,12.07,42.72728,16.59999,4.699993,-5.568151E-08
0.4166089,6.294397,12.07,42.72728,16.8,4.299993,5.573986E-08
0.432936,6.294397,12.07,42.72728,16.9,3.899993,0
0.466867,6.294397,12.07,42.72728,17.4,2.899993,-2.795986E-08
0.4839054,6.294397,12.07,42.72728,17.8,2.199994,0
0.5172431,6.294397,12.07,42.72728,18.4,0.6999933,-7.029481E-09
0.5335036,6.294397,12.07,42.72728,18.6,-6.666281E-06,0
0.550347,6.294397,12.07,42.72728,18.8,359.2,0
0.5841281,6.294397,12.07,42.72728,19.7,356.4,0
0.600794,6.294397,12.07,42.72728,19.9,355.4,5.674946E-08
0.6344858,6.294397,12.07,42.72728,20.1,353.8,1.136432E-07
0.6506093,6.294397,12.07,42.72728,20.3,353,0
0.683948,6.294397,12.07,42.72728,20.8,351.1,-1.141621E-07
0.7005754,6.294397,12.07,42.72728,21.2,350,0
0.733987,6.294397,12.07,42.72728,22.1,347.2,0
0.7511947,6.294397,12.07,42.72728,22.5,345.8,0
0.7850503,6.294397,12.07,42.72728,23.8,341.4,0
0.800404,6.294397,12.07,42.72728,24.4,339.7,0
0.83463,6.294397,12.07,42.72728,25.3,336.4,0
0.8524381,6.294397,12.07,42.72728,25.7,335.1,4.737517E-07
0.8862669,6.294397,12.07,42.72728,26.1,333.5,0
0.9031483,6.294397,12.07,42.72728,26.30001,333.1,0
0.9362597,6.294397,12.07,42.72728,26.40001,332.6,-4.765895E-07
0.9524581,6.294397,12.07,42.72728,26.40001,332.5,-4.765895E-07
0.985763,6.294397,12.07,42.72728,26.5,332.4,-4.770035E-07
1.003238,6.294397,12.07,42.72728,26.5,332.4,-4.770035E-07
1.035986,6.294397,12.07,42.72728,26.5,332.4,-4.770035E-07
1.052364,6.294397,12.07,42.72728,26.5,332.4,-4.770035E-07
1.085997,6.294397,12.07,42.72728,26.5,332.4,-4.770035E-07
1.119482,6.294397,12.07,42.72728,26.5,332.4,-4.770035E-07
1.135927,6.294397,12.07,42.72728,26.30001,332.6,4.761776E-07
1.169142,6.294397,12.07,42.72728,25.70001,332.7,0
1.186142,6.294397,12.07,42.72728,25.40001,332.7,0
1.219254,6.294397,12.07,42.72728,25.10001,332.7,-4.714019E-07
1.235783,6.294397,12.07,42.72728,24.90001,332.7,-4.706352E-07
1.269363,6.294397,12.07,42.72728,24.40002,332.9,0
1.286577,6.294397,12.07,42.72728,24.30001,332.9,0
1.320138,6.294397,12.07,42.72728,24.00001,332.9,4.672858E-07
1.353077,6.294397,12.07,42.72728,23.80002,332.9,0
1.369933,6.294397,12.07,42.72728,23.60002,332.8,0
1.402783,6.294397,12.07,42.72728,23.30002,332.6,0
1.419756,6.294397,12.07,42.72728,23.20002,332.3,4.64444E-07
1.453039,6.294397,12.07,42.72728,23.00002,332,0
1.469615,6.294397,12.07,42.72728,22.90002,331.8,4.634104E-07
1.503811,6.294397,12.07,42.72728,22.90003,331,-4.634104E-07
1.537496,6.294397,12.07,42.72728,22.80003,330.3,-4.630697E-07
1.554048,6.294397,12.07,42.72728,22.70003,329.8,0
1.587917,6.294397,12.07,42.72728,22.70003,328.2,0
1.603885,6.294397,12.07,42.72728,22.70003,327.1,4.627309E-07
1.637823,6.294398,12.07,42.72728,22.60003,325,0
1.671036,6.236588,12.07219,42.80886,22.50003,323.7,4.62059E-07
1.686894,6.174451,12.08541,42.88725,22.50003,323.2,-4.620591E-07
1.720947,6.042429,12.13015,43.03804,22.50003,322.7,-9.241182E-07
1.737297,5.973519,12.15184,43.11119,22.50003,322.6,-4.620591E-07
1.770878,5.903752,12.16652,43.18346,22.50003,322.3,4.62059E-07
1.80405,5.762803,12.15881,43.327,22.50003,322.1,0
1.820852,5.692712,12.13932,43.39917,22.50003,322.1,0
1.853581,5.623828,12.11579,43.47208,22.50003,322,-4.62059E-07
1.870305,5.556424,12.09312,43.54612,22.50003,321.9,0
1.903592,5.427984,12.06998,43.69934,22.50003,321.8,4.620591E-07
1.937228,5.309945,12.04432,43.86095,22.50003,321.8,4.620591E-07
1.953448,5.310045,12.04432,43.86082,22.50003,321.7,0
1.987433,5.200031,11.99844,44.02826,22.50003,321.4,4.62059E-07
2.003538,5.146448,11.97964,44.11316,22.50003,321.2,-4.620591E-07
2.036758,5.03983,11.9745,44.2837,22.60003,320.8,9.247881E-07
2.053047,5.039875,11.9745,44.28365,22.70003,320.7,-9.25462E-07
2.087116,4.930322,12.01224,44.45192,23.30004,319.5,-9.295848E-07
2.119845,4.811838,12.05636,44.61363,24.00003,318.1,0
2.136072,4.747544,12.06852,44.69029,24.20003,317.7,0
2.169627,4.680938,12.07219,44.76489,24.40003,317.3,0
2.186373,4.615809,12.08541,44.84089,24.50003,317.1,0
2.219221,4.490913,12.13015,44.99789,24.60003,317,0
2.235261,4.430384,12.15184,45.07818,24.60003,317,0
2.268172,4.370618,12.16652,45.15918,24.60003,317,0
2.301123,4.251581,12.15881,45.32164,24.60003,317,0
2.31807,4.19141,12.13933,45.40226,24.60003,317,0
2.351367,4.19141,12.07,45.40226,24.60003,317,0
2.367504,4.19141,12.07,45.40226,24.60003,317,0
2.401554,4.191501,12.07,45.40216,24.60003,317.1,9.390011E-07
2.417695,4.191501,12.07,45.40216,24.60003,317.1,9.390011E-07
