TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04842563,0,4.452912,-39,0,0,0
0.0813067,0,4.42152,-39,0,0,0
0.1226631,0,4.335192,-39,0,0,0
0.1638809,0,4.217472,-39,0,0,0
0.2046595,0,4.06836,-39,0,0,0
0.2456838,0,3.785832,-39,0,0,0
0.2865532,0,3.55824,-39,0,0,0
0.3266113,0,3.299256,-39,0,0,0
0.3673103,0,3.105,-39,0,0,0
0.40825,0,3.084651,-39,0,0,0
0.4497254,0,3.064651,-39,0,0,0
0.4901638,0,3.044651,-39,0,0,0
0.531319,0,3.024651,-39,0,0,0
0.5715747,0,3.005,-39,0,0,0
0.6119227,0,3.025,-39,0,0,0
0.6531401,0,3.045,-39,0.1,0.1,6.513785E-12
0.6950732,0,3.065,-39,-2.41226E-09,0.2,0
0.7351986,0,3.085,-39,-2.41226E-09,0.2,0
0.7768187,0,3.105,-39,-2.41226E-09,0.2,0
0.8181263,0,3.105,-39,-2.41226E-09,0.2,0
0.8595571,0,3.105,-39,-2.41226E-09,0.2,0
0.9004177,0,3.105,-39,-2.41226E-09,0.2,0
0.9411358,0,3.105,-39,-2.41226E-09,0.2,0
0.981395,0,3.105,-39,-2.41226E-09,0.2,0
1.023472,0,3.105,-39,-2.41226E-09,0.2,0
1.064789,0,3.105,-39,-2.41226E-09,0.2,0
1.104647,0,3.105,-39,-2.41226E-09,0.2,0
1.145301,0,3.105,-39,-2.41226E-09,0.2,0
1.186468,0,3.105,-39,-2.41226E-09,0.2,0
1.226413,0,3.105,-39,-2.41226E-09,0.2,0
1.266954,0,3.105,-39,-2.41226E-09,0.2,0
1.307241,0,3.105,-39,-2.41226E-09,0.2,0
1.347849,0,3.105,-39,-2.41226E-09,0.2,0
1.388343,0,3.105,-39,-2.41226E-09,0.2,0
1.429401,0,3.105,-39,-2.41226E-09,0.2,0
1.469385,0,3.105,-39,-2.41226E-09,0.2,0
1.510558,0,3.105,-39,-2.41226E-09,0.2,0
1.551441,0,3.105,-39,-2.41226E-09,0.2,0
1.591089,0,3.105,-39,-2.41226E-09,0.2,0
1.63137,0,3.105,-39,-2.41226E-09,0.2,0
1.672559,0,3.105,-39,-2.41226E-09,0.2,0
1.712607,0,3.105,-39,-2.41226E-09,0.2,0
1.753404,0.006116039,3.12442,-38.80002,-2.41226E-09,0.2,0
1.79435,0.02314715,3.170145,-38.60008,-2.41226E-09,0.2,0
1.834388,0.04628529,3.203287,-38.40016,-2.41226E-09,0.2,0
1.87542,0.07061566,3.190222,-38.20024,-2.41226E-09,0.2,0
1.914917,0.09122267,3.145689,-38.00031,-2.41226E-09,0.2,0
1.956315,0.1031915,3.108824,-37.80035,-2.41226E-09,0.2,0
1.997032,0.1020214,3.094369,-37.60035,-2.41226E-09,0.2,0
2.036916,0.08868128,3.051643,-37.4003,-2.41226E-09,0.2,0
2.077996,0.06800538,3.011669,-37.20023,-2.41226E-09,0.2,0
2.119097,0.04490848,3.012055,-37.00014,-2.41226E-09,0.2,0
2.158833,0.02430614,3.05236,-36.80007,-2.41226E-09,0.2,0
2.200238,0.01111321,3.094829,-36.60003,-2.41226E-09,0.2,0
2.24137,0.007998007,3.109128,-36.40001,-2.41226E-09,0.2,0
2.280781,-0.002739946,3.146397,-36.19997,-2.41226E-09,0.2,0
2.322769,-0.02204282,3.190746,-35.9999,-2.41226E-09,0.2,0
2.362047,-0.04499511,3.203075,-35.79982,-2.41226E-09,0.2,0
2.403463,-0.06668203,3.169455,-35.59975,-2.41226E-09,0.2,0
2.444324,-0.08218804,3.123841,-35.39969,-2.41226E-09,0.2,0
2.4841,-0.08660201,3.104476,-35.19968,-2.41226E-09,0.2,0
2.525543,-0.06878487,3.051643,-34.89988,359.9,0.1,0
2.565242,-0.04706178,3.011669,-34.70002,359.9,7.379745E-09,-3.882519E-19
2.606261,-0.02326667,3.012055,-34.50003,359.9,7.379745E-09,-3.882519E-19
2.646016,-0.001965967,3.052361,-34.30003,359.9,7.379745E-09,-3.882519E-19
2.687074,0.01192511,3.094829,-34.10003,359.9,7.379745E-09,-3.882519E-19
2.727055,0.01573843,3.108574,-33.90002,359.9,7.379745E-09,-3.882519E-19
2.768176,0.02717481,3.146398,-33.70002,359.9,7.379745E-09,-3.882519E-19
2.808137,0.04717594,3.190746,-33.50003,359.9,7.379745E-09,-3.882519E-19
2.849132,0.07082666,3.203075,-33.30003,359.9,7.379745E-09,-3.882519E-19
2.889394,0.09321173,3.169454,-33.10003,359.9,7.379745E-09,-3.882519E-19
2.930048,0.1094158,3.12384,-32.90002,359.9,7.379745E-09,-3.882519E-19
2.970194,0.1145278,3.104476,-32.70002,359.9,7.379745E-09,-3.882519E-19
3.011019,0.1060007,3.075119,-32.50003,359.9,7.379745E-09,-3.882519E-19
3.052277,0.0876799,3.028854,-32.30003,359.9,7.379745E-09,-3.882519E-19
3.092389,0.06447887,3.005002,-32.09959,359.9,359.5,2.605514E-11
3.133548,0.03956298,3.02948,-31.89929,359.5,358.4,0
3.172813,0.01576794,3.075782,-31.69968,359,357.1,0
3.214035,-0.002682965,3.104587,-31.50036,358.8,356.6,3.335785E-09
3.254115,-0.02005562,3.12442,-31.30107,358.8,356.3,3.335785E-09
3.295166,-0.04925355,3.170145,-31.10265,358.8,356,0
3.336055,-0.08558507,3.203287,-30.90478,358.8,355.9,-3.335785E-09
3.375987,-0.1234477,3.190222,-30.7071,358.8,355.8,3.335785E-09
3.415796,-0.1579039,3.145689,-30.50971,358.8,355.4,-3.335785E-09
3.457183,-0.1851201,3.108824,-30.31194,358.7,355,-6.671824E-09
3.496565,-0.2006442,3.094369,-30.11305,358.6,354.7,0
3.537205,-0.2051265,3.051642,-29.91275,358.6,354.6,0
3.577133,-0.2026687,3.011669,-29.71163,358.6,354.6,0
3.617892,-0.1978009,3.012055,-29.51028,358.6,354.6,0
3.657814,-0.1954081,3.052361,-29.30925,358.5,354.3,-6.672393E-09
3.69817,-0.2014478,3.094829,-29.10887,358.5,353.9,0
3.738207,-0.2189103,3.109128,-28.90959,358.5,353.2,-6.672393E-09
3.778496,-0.2312571,3.146398,-28.70947,358.5,352.4,0
3.818766,-0.2379137,3.190746,-28.50835,358.4,352,0
3.858986,-0.2423556,3.203075,-28.30682,358.4,351.8,0
3.898811,-0.2487251,3.183295,-28.10567,358.4,351.8,0
3.938843,-0.2614979,3.166949,-27.90763,358.4,351.8,0
3.978685,-0.2853334,3.177018,-27.71102,358.4,351.7,0
4.018519,-0.3231553,3.176926,-27.51548,358.3,351,0
4.058391,-0.3733382,3.159964,-27.32054,358,349,0
4.09853,-0.4349929,3.165325,-27.12945,357.6,347.3,0
4.136558,-0.5022047,3.218831,-26.94093,357.1,345.6,2.671463E-08
4.177259,-0.5701427,3.293855,-26.7538,356.7,344.1,0
4.217156,-0.6334968,3.351081,-26.56602,356.6,343.3,-5.345495E-08
4.256061,-0.6968367,3.399384,-26.37845,356.3,342.1,-5.347231E-08
4.294956,-0.7742583,3.473329,-26.19615,356.1,340.2,-5.348471E-08
4.3349,-0.8635681,3.536673,-26.01907,355.9,339,-5.349776E-08
4.37396,-0.9579238,3.554492,-25.84443,355.8,338.4,-5.350454E-08
4.412442,-1.050772,3.54076,-25.66917,355.8,338.1,5.350454E-08
4.451832,-1.136438,3.534841,-25.49091,355.8,338,0
4.490721,-1.210503,3.550568,-25.30771,355.8,338,0
4.530006,-1.273654,3.537823,-25.1201,355.8,338,0
4.568225,-1.329499,3.525446,-24.92901,355.8,338,0
4.608882,-1.383077,3.5534,-24.737,355.8,338,0
4.648745,-1.438977,3.621213,-24.54593,355.8,338,0
4.688862,-1.501762,3.691114,-24.35762,355.7,338.4,0
4.728444,-1.572542,3.732938,-24.17264,355.4,340.7,0
4.76754,-1.628339,3.798228,-23.98287,355.4,342.9,0
4.807788,-1.668353,3.870884,-23.78904,355.4,344.6,0
4.848037,-1.698656,3.911698,-23.59441,355.4,346.9,-5.353329E-08
4.88786,-1.721943,3.906896,-23.4003,355.4,349.5,-2.676664E-08
4.926971,-1.742322,3.890459,-23.20621,355.4,351.5,0
4.967894,-1.766912,3.900492,-23.0118,355.4,352.6,-2.676664E-08
5.008055,-1.801261,3.90048,-22.81822,355.4,353.5,0
5.049099,-1.842146,3.883696,-22.62609,355.7,355.3,0
5.090192,-1.880767,3.888978,-22.43356,356.3,358.4,3.342019E-09
5.130132,-1.908256,3.943362,-22.23771,356.6,0.9999989,0
5.170871,-1.921775,4.019138,-22.03992,356.9,2.999999,6.679881E-09
5.210397,-1.917986,4.078044,-21.84197,357.2,5.299999,-1.335616E-08
5.251758,-1.90481,4.127487,-21.64438,357.5,6.999999,-1.335292E-08
5.291671,-1.896362,4.202669,-21.44584,357.5,7.699998,0
5.332889,-1.891462,4.265141,-21.24649,357.5,8.199999,0
5.373169,-1.885952,4.28489,-21.04745,357.5,8.4,1.335292E-08
5.413745,-1.875988,4.273239,-20.84936,357.5,8.5,-1.335292E-08
5.453959,-1.857002,4.269355,-20.65186,357.5,8.999999,-1.335292E-08
5.494187,-1.761665,4.278379,-20.51806,357.6,9.699999,0
5.534854,-1.635984,4.260167,-20.40425,357.7,10.4,0
5.575049,-1.50287,4.239462,-20.29098,357.8,11.1,1.335005E-08
5.615716,-1.366368,4.24616,-20.17748,358,12.3,-1.334834E-08
5.655911,-1.228511,4.291967,-20.06252,358.2,13.6,1.33468E-08
5.697226,-1.093892,4.353123,-19.94535,358.2,14.2,0
5.736717,-0.9662334,4.39828,-19.82615,358.3,14.7,1.334609E-08
5.776862,-0.8411915,4.432709,-19.70535,358.3,15,0
5.817694,-0.7061701,4.49243,-19.58728,358.3,15.1,0
5.85761,-0.5651358,4.547382,-19.47084,358.3,15.3,0
5.897246,-0.4218952,4.566809,-19.35455,358.3,15.3,0
5.938805,-0.2805056,4.549408,-19.23796,358.3,15.3,0
5.978298,-0.14496,4.525679,-19.12025,358.3,15.4,-2.669217E-08
6.018362,-0.01890357,4.526703,-18.99974,358.3,15.5,2.669217E-08
6.058495,0.09568941,4.519076,-18.87605,358.2,15.7,0
6.098591,0.202026,4.49397,-18.74932,357.9,15.8,0
6.139034,0.3038694,4.48338,-18.62097,357.4,15.6,2.670792E-08
6.178666,0.4048938,4.514248,-18.49288,356.8,15.1,5.344418E-08
6.218814,0.5085002,4.57339,-18.3667,355.9,14.2,0
6.258797,0.6179057,4.62887,-18.24368,354.8,11.7,5.358137E-08
6.29856,0.7321275,4.65836,-18.12651,353.9,8.599998,0
6.339,0.8350271,4.708312,-18.01326,353.4,6.499999,-2.685842E-08
6.378662,0.9276288,4.76583,-17.9025,353.3,6.199999,-2.686389E-08
6.417772,1.016256,4.803469,-17.79194,353.3,5.999999,0
6.45763,1.104374,4.801934,-17.68217,353.6,5.499999,2.684774E-08
6.497448,1.19492,4.778085,-17.57399,354,4.899999,2.682739E-08
6.537693,1.291139,4.759185,-17.46729,354.3,4.499999,0
6.576468,1.396546,4.76404,-17.36191,354.5,4.199999,-1.340191E-08
6.617077,1.511901,4.748984,-17.25807,354.9,3.499999,0
6.656993,1.632931,4.723939,-17.15577,355.2,2.799999,0
6.696534,1.756513,4.715268,-17.054,355.3,2.499999,0
6.735327,1.880062,4.743572,-16.95266,355.5,1.999999,-6.690732E-09
6.775478,2.000232,4.796429,-16.85161,355.8,1.299999,3.344034E-09
6.814253,2.11319,4.848298,-16.75148,356.2,359.8,4.178002E-10
6.855045,2.215081,4.87597,-16.65359,356.3,358.7,0
6.893621,2.318374,4.914488,-16.55742,356.4,357.8,0
6.933489,2.427227,4.967685,-16.46182,356.7,355.7,0
6.97242,2.53612,5.011843,-16.36843,356.7,353.3,0
7.011345,2.641143,5.027457,-16.27885,356.7,351.6,0
7.051632,2.740745,5.013481,-16.19158,356.7,349.6,0
7.090761,2.832253,4.989732,-16.10879,356.5,348.1,0
7.129646,2.914775,4.975405,-16.031,356.4,347.3,0
7.168198,2.988161,4.979574,-15.95632,356.3,346.6,2.673615E-08
7.208068,3.055018,4.968078,-15.86771,356.2,345.7,-5.347843E-08
7.246722,3.106415,4.951448,-15.73974,356,345,0
7.285212,3.096595,4.952638,-15.56396,355.9,344.1,0
7.325743,3.051609,4.998584,-15.37522,355.7,342.9,5.351148E-08
7.364335,3.011545,5.032919,-15.28359,355.5,341.9,0
7.403181,2.934057,5.107419,-15.10024,355.4,340.8,0
7.442403,2.862581,5.154666,-14.91544,355.1,339,0
7.4806,2.782289,5.211789,-14.73431,354.7,337.7,-1.071799E-07
7.520262,2.688941,5.285452,-14.55914,354.5,336.4,1.072153E-07
7.560386,2.588011,5.336321,-14.38997,354.1,333.3,1.0729E-07
7.598562,2.478541,5.338167,-14.22757,353.6,330.2,-1.07391E-07
7.637362,2.363831,5.317534,-14.06766,353.4,328.6,0
7.676105,2.252051,5.31418,-13.90366,353.3,328.2,0
7.71489,2.150374,5.319335,-13.73325,353.3,328.2,0
7.75302,2.058047,5.298719,-13.55705,353.3,328.2,0
7.789877,1.97091,5.290652,-13.3776,353.3,328.2,0
7.827634,1.884978,5.329347,-13.19726,353.3,328.2,0
7.866299,1.795639,5.39906,-13.01923,353.3,328.1,0
7.903934,1.748313,5.433422,-12.93184,353.3,328.1,0
7.941838,1.646305,5.47775,-12.76163,353.3,328.1,0
7.979844,1.547051,5.532402,-12.58966,353.3,328.1,0
8.016694,1.456124,5.602835,-12.41261,353.4,328.2,1.074337E-07
