TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.0210179,-0.1005228,12.07308,42.2428,4.599998,357,1.338332E-08
0.04063847,-0.09432104,12.08937,42.33969,4.599998,357,1.338332E-08
0.06073422,-0.1065391,12.11106,42.43919,4.599998,357,1.338332E-08
0.08206309,-0.1209752,12.13482,42.53864,4.399998,357.2,6.689823E-09
0.1020593,-0.120977,12.07,42.53868,4.399999,357.3,-6.689823E-09
0.1224265,-0.1209804,12.07,42.53876,4.299997,357.5,0
0.1429851,-0.1209821,12.07,42.5388,4.199997,357.6,1.337613E-08
0.1622886,-0.1209851,12.07,42.53887,4.099998,357.8,-6.68722E-09
0.1826353,-0.1209878,12.07,42.53894,4.099998,358,0
0.2029943,-0.1209926,12.07,42.5391,3.999997,358.4,-3.343197E-09
0.222796,-0.1209946,12.07,42.53917,3.999997,358.6,3.343197E-09
0.2429805,-0.120997,12.07,42.53928,3.999998,358.9,-3.343197E-09
0.2641395,-0.1209977,12.07,42.53932,3.999998,359,0
0.2843718,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.3050864,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.3259216,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.3457634,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.3658396,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.3873912,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.4069461,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.4271434,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.4470339,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.4678455,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.4882651,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.5083003,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.5279552,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.5490301,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.5689595,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.5893031,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.6091608,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.6301448,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
0.6499106,-0.1209983,12.07,42.53936,3.999998,359.1,3.343197E-09
