TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.09214407,0,4.42152,-39,0,0,0
0.1548221,0,4.217472,-39,0,0,0
0.2219811,0,3.982032,-39,0,0,0
0.3344539,0,3.432672,-39,0,0,0
0.4202979,0,3.105,-39,0,0,0
0.4964192,0,3.042078,-39,0,0,0
0.600722,0,3.015,-39,0,0,0
0.6920747,0,3.055,-39,0,0,0
0.7776509,0,3.105,-39,0,0,0
0.8717655,0,3.105,-39,0,0,0
0.9555979,0,3.105,-39,0,0,0
1.046073,0,3.105,-39,0,0,0
1.133171,0,3.105,-39,0,0,0
1.225822,0,3.105,-39,0,0,0
1.314376,0,3.105,-39,0.1,0,0
1.403877,0,3.105,-39,0.1,0,0
1.478171,0,3.105,-39,0.1,0,0
1.579071,0,3.105,-39,0.2,359.9,-1.302763E-11
1.672954,0,3.105,-39,0.2,359.9,-1.302763E-11
1.769953,0,3.105,-39,0.2,359.9,-1.302763E-11
1.84323,0,3.105,-39,0.2,359.9,-1.302763E-11
1.949558,0,3.105,-39,0.6999999,359.8,2.084564E-10
2.034232,0,3.105,-39,0.6999999,359.8,2.084564E-10
2.128171,0,3.105,-39,0.6999999,359.8,2.084564E-10
2.215133,0,3.105,-39,0.6999999,359.8,2.084564E-10
2.302992,0,3.105,-39,0.6999999,359.8,2.084564E-10
2.396472,0.0307612,3.190746,-38.49927,1.5,358.7,1.668098E-09
2.482677,0.06771012,3.169455,-38.09832,1.5,358.7,1.668098E-09
2.575152,0.07494613,3.094369,-37.59803,1.5,358.7,1.668098E-09
2.664869,0.03046787,3.011669,-37.19894,1.5,358.7,1.668098E-09
2.752603,-0.02369128,3.05236,-36.80006,1.5,358.7,1.668098E-09
2.840352,-0.05707405,3.12442,-36.30069,1.5,358.7,1.668098E-09
2.930907,-0.1049124,3.203287,-35.90168,1.5,358.7,1.668098E-09
3.021622,-0.1668067,3.123841,-35.40295,1.5,358.7,1.668098E-09
3.111118,-0.1724676,3.07512,-35.00298,1.5,358.7,1.668098E-09
3.200813,-0.1304122,3.012055,-34.5019,1.5,358.7,1.668098E-09
3.290421,-0.1043046,3.094829,-34.1012,1.5,358.7,1.668098E-09
3.380263,-0.09119181,3.170145,-33.6024,358.5,3,0
3.470005,-0.02435497,3.190222,-33.20702,356.7,4.400001,0
3.558715,0.04595339,3.104476,-32.71095,356.7,4.400001,0
3.648058,0.04987236,3.028854,-32.31007,356.7,4.400001,0
3.736856,0.03200538,3.05236,-31.80721,356.7,4.400001,0
3.826928,0.04503989,3.109128,-31.40705,356.4,3.700001,1.336659E-08
3.9158,0.03424283,3.203287,-30.906,356.2,2.8,6.684802E-09
4.003752,0.01019201,3.145689,-30.50787,356,0.5000006,0
4.093124,0.004286647,3.094369,-30.11001,356.2,359.2,0
4.182671,0.04468856,3.005002,-29.61148,356.9,356.8,0
4.271662,0.06369355,3.075782,-29.21014,357.7,354.5,0
4.360776,0.03663381,3.146397,-28.71041,357.7,354.4,0
4.449184,0.04104404,3.203075,-28.30805,357.7,354.4,0
4.537655,0.03455021,3.167263,-27.80957,357.7,354.4,0
4.626107,0.03432625,3.16349,-27.8075,357.6,353.2,0
4.714343,0.03415297,3.16349,-27.80613,357.6,352.4,-1.335192E-08
4.796601,0.03403495,3.16349,-27.80528,358,351.9,1.334834E-08
4.882808,0.03401046,3.16349,-27.80511,358.2,351.8,0
4.972208,0.03401046,3.16349,-27.80511,358.2,351.8,0
5.061159,0.03401046,3.16349,-27.80511,358.2,351.8,0
5.149797,0.03348833,3.16349,-27.80186,358.1,349.9,-1.334755E-08
5.238374,0.03300038,3.16349,-27.79932,357.8,348.4,-1.335005E-08
5.327599,0.03278657,3.16349,-27.7983,358,347.8,0
5.415793,-0.09946955,3.1597,-27.32075,358,347.8,0
5.502682,-0.2302362,3.218512,-26.94401,358,347.6,1.334835E-08
5.591149,-0.3429305,3.351453,-26.56356,358,347.1,0
5.680084,-0.4877771,3.511014,-26.08898,357.8,346.7,-2.670011E-08
5.769254,-0.625827,3.554057,-25.71601,357.8,346.7,-2.670011E-08
5.855614,-0.7604936,3.560043,-25.24061,357.8,346.7,-2.670011E-08
5.945388,-0.8190293,3.536197,-24.84801,357.8,346.7,-2.670011E-08
6.036015,-0.8834658,3.672755,-24.35484,357.8,346.7,-2.670011E-08
6.126726,-0.9630013,3.779015,-23.96682,357.7,345.6,-2.670194E-08
6.218297,-1.039575,3.929303,-23.47426,357.5,344.2,5.341169E-08
6.307124,-1.112533,3.907018,-23.08346,357.5,344.2,5.341169E-08
6.396522,-1.10847,3.888339,-23.08231,357.5,344.2,5.341169E-08
6.488801,-1.229597,3.903792,-22.70545,357.5,344.4,-2.670584E-08
6.580285,-1.418255,3.9317,-22.24648,357.5,348.1,-2.670585E-08
6.670974,-1.53205,4.071069,-21.86604,357.5,350.7,1.335292E-08
6.762995,-1.644264,4.224096,-21.38318,358.1,352.8,0
6.855357,-1.644412,4.147777,-21.38168,359.1,356,3.335464E-09
6.94504,-1.644456,4.147777,-21.38088,359.6,357.7,0
7.038556,-1.644468,4.147777,-21.37908,0.1000003,1.500001,0
7.12911,-1.64437,4.147777,-21.37738,0.4000003,5.100001,0
7.220222,-1.644348,4.147777,-21.37715,0.3000003,5.600001,0
7.311306,-1.778617,4.249537,-21.03173,0.3000003,6.200002,1.667549E-09
7.402771,-1.750031,4.282671,-20.52891,2.3,11.9,0
7.497852,-1.435365,4.243108,-20.22425,3.1,14.9,0
7.590216,-1.153942,4.315564,-19.98979,3.1,14.9,0
7.680888,-0.8295277,4.428996,-19.69104,2.700001,15.1,0
7.773614,-0.5554049,4.544365,-19.45574,1.800001,14.9,0
7.865133,-0.2016347,4.546641,-19.16581,1.800001,14.9,0
7.95651,0.1096264,4.52784,-18.86508,1.800001,14.9,0
8.046848,0.3181084,4.487773,-18.6134,1.800001,14.9,0
8.139747,0.5729001,4.595721,-18.29746,1.2,14,0
8.230143,0.8016394,4.676324,-18.05501,0.3000003,11.4,0
8.320001,1.051992,4.807467,-17.75635,0.3000003,11,3.335099E-09
8.411375,1.245275,4.788546,-17.51785,0.4000004,10.7,3.335134E-09
8.503371,1.525128,4.769604,-17.23277,0.7000003,7.800001,0
8.596502,1.84731,4.728015,-16.96439,0.7000002,4.200001,-1.667651E-09
8.687799,2.097384,4.815707,-16.7571,0.4000003,1.500001,4.168918E-10
8.77912,2.367912,4.910926,-16.50543,0.4000003,1.400001,-4.168917E-10
8.869805,2.600629,5.016494,-16.30427,0.5000004,0.7000006,0
8.96182,2.898289,5.02567,-16.05347,0.5000003,358.2,8.33795E-10
9.054797,3.121971,5.016879,-15.73413,359.9,355.7,0
9.143969,3.10541,4.999826,-15.3462,359.9,355.3,-4.168823E-10
9.236967,3.00918,5.12642,-14.85685,359.3,351.9,3.335302E-09
9.325244,2.938675,5.234962,-14.46751,358.6,349.4,0
9.4152,2.798744,5.393978,-13.99313,358,346.6,-2.669669E-08
9.501638,2.666363,5.377062,-13.62028,357.3,345.1,0
9.588798,2.563088,5.386122,-13.24148,356.3,342.6,5.347231E-08
9.678665,2.461406,5.383717,-12.75433,356.3,342.6,5.347231E-08
9.766854,2.375584,5.521323,-12.3672,356.3,342.6,5.347231E-08
9.854345,2.133576,5.582948,-12.22194,356.3,342.6,5.347231E-08
9.942033,1.859682,5.684347,-12.03131,356.2,342.5,0
10.03091,1.641598,5.645236,-11.87804,356.2,342.5,0
10.11927,1.331859,5.615436,-11.69826,356,342.5,0
10.208,1.048499,5.562627,-11.56565,356,342.5,0
10.29614,0.6859739,5.631231,-11.40271,356,342.5,0
10.38463,0.418984,5.702562,-11.26586,355.8,341.1,-5.350454E-08
10.46991,0.1399612,5.790415,-11.1268,355.8,340.8,0
10.55552,-0.231526,5.827807,-10.96133,356.1,339.6,0
10.63701,-0.5201195,5.778079,-10.82123,356.4,337.8,0
10.71969,-0.7808582,5.755384,-10.65992,356.5,337.5,5.346056E-08
10.80183,-1.017753,5.722296,-10.48575,356.7,337.3,0
10.87784,-1.256035,5.813293,-10.31021,357.1,339.3,0
10.96223,-1.509682,5.882838,-10.14968,359,348.7,1.334225E-08
11.0439,-1.692425,6.000232,-9.899374,0.6000009,354,0
11.11566,-1.733655,6.050388,-9.517753,0.8000008,355,0
11.20425,-1.745396,6.040195,-9.121661,0.8000008,355,0
11.29278,-1.805475,6.027286,-8.729798,0.8000008,355,0
11.38263,-1.905925,6.11517,-8.242673,1.200001,356.5,-3.335785E-09
11.46974,-1.947103,6.234778,-7.848985,1.700001,358.4,0
11.55676,-2.002202,6.403443,-7.354214,1.700001,359.9,1.042663E-10
11.6458,-2.047111,6.411224,-6.958718,1.700001,359.9,1.042663E-10
11.73228,-2.059573,6.417504,-6.561457,2.000001,0.9000008,-1.668543E-09
11.82047,-2.005574,6.399762,-6.063416,4,5.7,-1.337279E-08
11.89653,-1.921636,6.525095,-5.673892,4.100001,6.5,0
11.98058,-1.861658,6.639707,-5.283406,4,6.8,-2.674558E-08
12.06137,-1.776335,6.786673,-4.896431,3.8,7,0
12.14873,-1.539317,6.772129,-4.767036,3.600001,9.100001,2.673317E-08
12.22599,-1.304094,6.734269,-4.646198,3.600001,9.800002,0
12.30885,-1.099876,6.70564,-4.523941,4.6,15.1,0
12.38817,-0.8942779,6.674858,-4.369742,4.800001,16.2,0
12.46652,-0.6810201,6.757146,-4.21487,4.6,16.2,5.353329E-08
12.54767,-0.4444647,6.821151,-4.067584,4.000001,16,5.349115E-08
12.61238,-0.4478835,6.817007,-4.066603,4.000001,16,5.349115E-08
12.70096,-0.1738123,6.94142,-3.877529,3.6,16,0
12.77832,0.03683936,6.925297,-3.723,2.7,16.4,2.671008E-08
12.8546,0.2070813,6.888402,-3.609681,1.4,16.4,1.33442E-08
12.93289,0.4652889,6.868382,-3.468794,359.8,15.9,-1.667537E-09
13.00929,0.747398,6.826227,-3.336031,359.5,15.5,-6.67036E-09
13.08689,1.029988,6.897238,-3.204263,359.4,14.9,-6.670473E-09
13.16615,1.288491,6.968673,-3.067792,359.3,13.5,0
13.24674,1.546077,7.051817,-2.934927,359,11.4,6.671123E-09
13.32839,1.813857,7.105286,-2.799276,358.2,7.500001,0
13.40691,2.050181,7.070769,-2.537753,357.4,3,-6.67698E-09
13.48831,2.194256,7.07553,-2.160529,357.2,359.9,0
13.56788,2.152142,7.063417,-1.761329,356.6,355.7,-1.336374E-08
13.64773,2.080077,7.192142,-1.369488,356.1,353.5,0
13.72677,2.020478,7.299893,-0.9783474,355.7,350.6,-2.675574E-08
13.80795,1.917728,7.440776,-0.5972289,355.2,347.3,5.354865E-08
13.88313,1.787325,7.449845,-0.2269143,354.8,344.2,5.358137E-08
13.96406,1.667399,7.462081,0.1487513,354.8,343.6,-5.358137E-08
14.04261,1.586966,7.437151,0.5369563,355,343.1,5.356468E-08
14.11037,1.532517,7.495472,0.8305805,355.2,342.7,5.354866E-08
14.19871,1.409093,7.646692,1.31087,355.3,342.4,0
14.27414,1.33678,7.748646,1.59954,355.3,342.3,5.354089E-08
14.35421,1.257676,7.828132,1.990304,355.5,342.5,5.352585E-08
14.43372,1.074045,7.781463,2.211008,355.7,343.3,0
14.50957,0.8170616,7.76225,2.348356,355.8,343.5,-5.350454E-08
14.5899,0.534331,7.717169,2.477632,355.8,343.5,-5.350454E-08
14.66701,0.2486409,7.783726,2.606002,355.9,343.6,0
14.7459,-0.01596056,7.857558,2.740313,356.4,342.9,0
14.82131,-0.2866974,7.94044,2.874926,356.8,342.4,0
14.89503,-0.5778515,7.995245,3.004879,357.3,342.3,2.671008E-08
14.96777,-0.7941502,7.959019,3.103486,357.7,342.4,0
15.03844,-1.059858,7.934353,3.242818,358,343.1,0
15.10767,-1.233166,7.901085,3.354381,358.4,344.5,1.334542E-08
15.18371,-1.441498,7.874583,3.503206,358.9,346.8,-1.334267E-08
15.25702,-1.641871,7.957611,3.643052,359.7,350.7,3.335099E-09
15.33097,-1.798911,8.010477,3.759712,359.8,352.3,0
15.40601,-1.932622,8.124083,4.092979,359.8,353.4,8.337684E-10
15.48266,-2.01959,8.20597,4.47002,359.9,355.4,0
15.54829,-2.017532,8.18926,4.765652,0.09999853,356.2,0
15.63159,-2.048988,8.205985,5.151713,0.9999986,0.9000036,0
