"Item" "Order" "SubjectNo" "Room"
"Hammer" 1 "P28" "Bedroom"
"PaperCoffeeCup" 2 "P28" "Bedroom"
"TennisBall" 3 "P28" "Bedroom"
"Pumpkin" 4 "P28" "Bedroom"
"MosquitoRacket" 5 "P28" "Bedroom"
"Microphone" 6 "P28" "Bedroom"
"Matrioshka" 1 "P28" "Classroom"
"Glasses" 2 "P28" "Classroom"
"Basket" 3 "P28" "Classroom"
"WineBottle" 4 "P28" "Classroom"
"Recorder" 5 "P28" "Classroom"
"FireExtinguisher" 6 "P28" "Classroom"
"Laptop" 1 "P28" "Gym"
"HTCVive" 2 "P28" "Gym"
"RockingHorse" 3 "P28" "Gym"
"Router" 4 "P28" "Gym"
"Jug" 5 "P28" "Gym"
"Chaynik" 6 "P28" "Gym"
"DeskLight" 1 "P28" "Library"
"FirstAidKit" 2 "P28" "Library"
"BallonDog" 3 "P28" "Library"
"Clamps" 4 "P28" "Library"
"Toothpaste" 5 "P28" "Library"
"UGGboot" 6 "P28" "Library"
"MobilePhone" 1 "P28" "LivingRoom"
"CinRoll" 2 "P28" "LivingRoom"
"OldRadio" 3 "P28" "LivingRoom"
"CokeCan" 4 "P28" "LivingRoom"
"StrawberryDonut" 5 "P28" "LivingRoom"
"NailScissors" 6 "P28" "LivingRoom"
"CoffeeMachine" 1 "P28" "StorageRoom"
"Official hat" 2 "P28" "StorageRoom"
"Pinza" 3 "P28" "StorageRoom"
"Canister" 4 "P28" "StorageRoom"
"ShowerHead" 5 "P28" "StorageRoom"
"Bread" 6 "P28" "StorageRoom"
