"Item" "Order" "SubjectNo" "Room"
"Pinza" 1 "P35" "Bedroom"
"Pumpkin" 2 "P35" "Bedroom"
"NailScissors" 3 "P35" "Bedroom"
"MobilePhone" 4 "P35" "Bedroom"
"Glasses" 5 "P35" "Bedroom"
"StrawberryDonut" 6 "P35" "Bedroom"
"OldRadio" 1 "P35" "Classroom"
"Router" 2 "P35" "Classroom"
"CoffeeMachine" 3 "P35" "Classroom"
"TennisBall" 4 "P35" "Classroom"
"Toothpaste" 5 "P35" "Classroom"
"Matrioshka" 6 "P35" "Classroom"
"Basket" 1 "P35" "Gym"
"Hammer" 2 "P35" "Gym"
"FirstAidKit" 3 "P35" "Gym"
"Official hat" 4 "P35" "Gym"
"Canister" 5 "P35" "Gym"
"Bread" 6 "P35" "Gym"
"Laptop" 1 "P35" "Library"
"FireExtinguisher" 2 "P35" "Library"
"Clamps" 3 "P35" "Library"
"WineBottle" 4 "P35" "Library"
"RockingHorse" 5 "P35" "Library"
"UGGboot" 6 "P35" "Library"
"CokeCan" 1 "P35" "LivingRoom"
"PaperCoffeeCup" 2 "P35" "LivingRoom"
"HTCVive" 3 "P35" "LivingRoom"
"ShowerHead" 4 "P35" "LivingRoom"
"BallonDog" 5 "P35" "LivingRoom"
"Jug" 6 "P35" "LivingRoom"
"Chaynik" 1 "P35" "StorageRoom"
"MosquitoRacket" 2 "P35" "StorageRoom"
"CinRoll" 3 "P35" "StorageRoom"
"DeskLight" 4 "P35" "StorageRoom"
"Recorder" 5 "P35" "StorageRoom"
"Microphone" 6 "P35" "StorageRoom"
