TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01654684,6.785748,12.14627,42.0813,22.00013,57.60001,9.208255E-07
0.03414156,6.792247,12.15455,42.12402,22.00013,56.80001,0
0.05042361,6.799546,12.1525,42.17002,22.00013,55.70001,9.208254E-07
0.06662048,6.807293,12.14002,42.21999,22.00013,54.30001,0
0.08302057,6.809,12.14002,42.22125,22.00013,52.70001,-9.208254E-07
0.1001411,6.828362,12.12182,42.28473,21.90013,50.90001,-9.201777E-07
0.1169743,6.8614,12.1019,42.35786,21.60013,48.90001,0
0.1333159,6.912475,12.08367,42.43528,21.40013,47.20001,0
0.1500382,6.9828,12.07177,42.50927,21.10013,45.20001,0
0.1848356,7.055929,12.06817,42.58199,20.80014,43.40001,0
0.200177,7.122886,12.05545,42.65792,20.80013,42.70001,0
0.2176948,7.186819,12.03476,42.73669,20.60014,41.90001,0
0.2346676,7.248034,12.011,42.81802,20.60013,40.90001,4.56047E-07
0.2679783,7.250547,12.07,42.82106,20.50013,38.10001,-4.557487E-07
0.284306,7.252083,12.07,42.82309,20.30013,36.30001,4.551575E-07
0.3010689,7.253475,12.07,42.82504,20.00014,34.60001,-4.542839E-07
0.3175537,7.254576,12.07,42.82668,20.00014,33.20001,-4.542838E-07
0.3514926,7.256299,12.07,42.82943,20.00014,30.90001,-4.542838E-07
0.3677289,7.25673,12.07,42.83016,20.00014,30.30001,0
0.3849773,7.257013,12.07,42.83065,20.00014,29.90001,4.542839E-07
0.4182726,7.257292,12.07,42.83114,20.00014,29.50001,0
0.4349606,7.257362,12.07,42.83126,20.00014,29.40001,0
0.4509296,7.257431,12.07,42.83138,20.00014,29.30001,0
0.4850897,7.257773,12.07,42.832,20.00014,28.80001,0
0.5016442,7.258044,12.07,42.8325,20.00014,28.40001,-4.542839E-07
0.5348374,7.259026,12.07,42.83437,20.00014,26.90001,0
0.5513668,7.25953,12.07,42.83538,20.00014,26.10001,0
0.5682082,7.294433,11.98909,42.93032,20.00014,25.60001,4.542839E-07
0.602048,7.327624,11.97396,43.02622,20.00014,24.80001,0
0.6185082,7.358819,11.97047,43.12223,20.00014,24.50001,4.542839E-07
0.6348113,7.389626,11.98043,43.21829,20.00014,24.20001,0
0.6688466,7.452796,12.02304,43.40934,20.00014,23.60001,0
0.6845201,7.452856,12.02304,43.40948,20.00014,23.00001,0
0.7190162,7.519344,12.06316,43.59859,20.00014,21.20001,0
0.7347743,7.553818,12.07,43.69247,20.00014,20.30001,2.271419E-07
0.7515044,7.586791,12.07689,43.78687,20.00014,19.40001,-2.271419E-07
0.7859944,7.641055,12.11705,43.97918,20.00014,17.10001,4.542839E-07
0.8015406,7.640975,12.11705,43.97891,20.00014,16.00001,2.271419E-07
0.8355949,7.675882,12.15963,44.17562,20.20014,13.90001,0
0.8514941,7.688239,12.16954,44.27465,20.40014,12.80001,0
0.8853145,7.673034,12.15104,44.47172,20.80014,10.20001,-2.283245E-07
0.9018002,7.672808,12.15104,44.47039,21.10014,9.10001,0
0.9358827,7.672417,12.07,44.46759,22.20014,6.800009,-1.152664E-07
0.9525399,7.672283,12.07,44.46637,22.80014,5.800008,-1.157675E-07
0.9857793,7.672077,12.07,44.46392,23.70014,3.800009,-5.827573E-08
1.002165,7.672,12.07,44.46258,24.20014,2.700009,5.850207E-08
1.037381,7.671925,12.07,44.45988,25.00014,0.5000086,0
1.05323,7.671925,12.07,44.45865,25.30014,359.5,0
1.08721,7.671957,12.07,44.45705,26.00014,358.2,-2.968473E-08
1.11865,7.671965,12.07,44.45681,26.50015,358,2.981275E-08
1.135734,7.671965,12.07,44.45681,26.60015,358,0
1.169765,7.671965,12.07,44.45681,26.80014,358,5.978239E-08
1.202383,7.671965,12.07,44.45681,26.80014,358,5.978239E-08
1.218828,7.671965,12.07,44.45681,26.90015,358,-5.983524E-08
1.253104,7.671965,12.07,44.45681,26.90015,358,-5.983524E-08
1.268896,7.671965,12.07,44.45681,26.90015,358,-5.983524E-08
1.302982,7.671961,12.07,44.45693,27.00015,358.1,-2.994418E-08
1.336307,7.67195,12.07,44.4573,26.80014,358.4,0
1.352676,7.671947,12.07,44.45742,26.70015,358.5,0
1.387104,7.671944,12.07,44.45754,26.40015,358.6,0
1.419385,7.671944,12.07,44.45754,25.90015,358.6,0
1.435412,7.671944,12.07,44.45754,25.50015,358.6,2.956004E-08
1.469952,7.671957,12.07,44.45705,24.80015,358.2,0
1.48537,7.671961,12.07,44.45693,24.70015,358.1,0
1.519699,7.672007,12.07,44.45583,24.40015,357.2,0
1.552907,7.672069,12.07,44.45472,24.10015,356.3,0
1.569319,7.672112,12.07,44.45411,24.00015,355.8,0
1.603844,7.672169,12.07,44.45338,23.70015,355.2,1.165515E-07
1.61893,7.672223,12.07,44.45276,23.40015,354.7,1.162858E-07
1.652957,7.672283,12.07,44.45215,23.10015,354.2,2.32049E-07
1.686267,7.672321,12.07,44.45179,22.90015,353.9,0
1.702137,7.672321,12.07,44.45179,22.90015,353.9,0
1.736618,7.672321,12.07,44.45179,22.90015,353.9,0
1.768914,7.672321,12.07,44.45179,22.90015,353.9,0
1.785617,7.672321,12.07,44.45179,22.90015,353.9,0
1.820135,7.672321,12.07,44.45179,22.90015,353.9,0
1.835758,7.672321,12.07,44.45179,22.90015,353.9,0
1.869093,7.672321,12.07,44.45179,22.90015,353.9,0
1.90253,7.672308,12.07,44.45191,22.80016,354,0
1.919622,7.672295,12.07,44.45203,22.80015,354.1,0
1.952945,7.672258,12.07,44.4524,22.70015,354.4,1.156829E-07
1.986293,7.672212,12.07,44.45289,22.60015,354.8,0
2.002482,7.672159,12.07,44.4535,22.60015,355.3,0
2.037395,7.672054,12.07,44.45497,22.60015,356.5,0
2.052029,7.672013,12.07,44.4557,22.70016,357.1,5.784142E-08
2.086875,7.671979,12.07,44.45644,22.80016,357.7,0
2.119221,7.671979,12.07,44.45644,22.80016,357.7,0
2.135574,7.671979,12.07,44.45644,22.80016,357.7,0
2.1701,7.671979,12.07,44.45644,22.80016,357.7,0
2.185615,7.671979,12.07,44.45644,22.80016,357.7,0
2.219911,7.671979,12.07,44.45644,22.80016,357.7,0
2.252685,7.671979,12.07,44.45644,22.80016,357.7,0
2.268952,7.671979,12.07,44.45644,22.80016,357.7,0
2.303068,7.671979,12.07,44.45644,22.80016,357.7,0
2.318924,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.35258,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.385546,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.40285,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.436458,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.452172,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.486083,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.51919,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.53575,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.569918,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.585238,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.619719,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.652825,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.668954,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.703128,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.719149,7.671974,12.07,44.45656,22.80016,357.8,2.894189E-08
2.753057,7.671995,12.07,44.45607,23.00016,357.4,5.796918E-08
2.786334,7.672061,12.07,44.45485,23.10016,356.4,5.801225E-08
2.802653,7.672102,12.07,44.45423,23.20016,355.9,0
2.836925,7.672212,12.07,44.45289,23.40016,354.8,1.162858E-07
2.852409,7.67227,12.07,44.45227,23.50016,354.3,1.163739E-07
