TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.05228125,0,4.452912,-39,0,0,0
0.1100061,0,4.335192,-39,0,0,0
0.1509465,0,4.217472,-39,0,0,0
0.2072843,0,4.06836,-39,359.6,359.5,1.042229E-10
0.2606334,0,3.785832,-39,358.4,358,1.668177E-09
0.331195,0,3.299256,-39,352.7,358.5,0
0.3740947,0,3.105,-39,352.7,358.5,0
0.4364995,0,3.07355,-39,352.7,358.5,0
0.479215,0,3.05355,-39,352.7,358.5,0
0.5345095,0,3.02355,-39,352.7,358.5,0
0.6012398,0,3.015,-39,352.7,358.5,0
0.6483997,0,3.045,-39,352.7,358.5,0
0.7152029,0,3.075,-39,352.7,358.5,0
0.7541692,0,3.095,-39,352.7,358.5,0
0.8087232,0,3.105,-39,352.7,358.5,0
0.8626235,0,3.105,-39,352.7,358.5,0
0.9299279,0,3.105,-39,352.8,358.7,6.72312E-09
0.9731925,0,3.105,-39,352.8,358.7,6.72312E-09
1.039763,0,3.105,-39,352.8,358.7,6.72312E-09
1.082782,0,3.105,-39,352.9,358.8,0
1.136701,0,3.105,-39,353.2,359.1,0
1.190804,0,3.105,-39,354,359.2,-6.706848E-09
1.26275,0,3.105,-39,354,356.6,0
1.302593,0,3.105,-39,354.4,353,-2.680837E-08
1.367644,0,3.105,-39,355.6,341.5,0
1.412197,0,3.105,-39,355.8,337.3,5.350454E-08
1.466761,0,3.105,-39,353.7,336.4,-1.073701E-07
1.51935,0,3.105,-39,351.6,337.7,0
1.588516,0,3.105,-39,351.4,337.8,0
1.627141,0,3.105,-39,351.4,337.8,0
1.680864,0,3.105,-39,351.4,337.8,0
1.736251,-0.101766,3.146397,-38.71751,351.4,337.8,0
1.791346,-0.185789,3.203287,-38.42778,351.4,337.8,0
1.859342,-0.267329,3.169455,-38.13704,351.4,337.8,0
1.89943,-0.3278941,3.123841,-37.94574,351.4,337.8,0
1.963622,-0.4390426,3.094369,-37.66708,351.4,337.8,0
2.014012,-0.5747226,3.028855,-37.39843,351.4,337.8,0
2.060277,-0.6717703,3.005002,-37.22202,351.4,337.8,0
2.129201,-0.8611577,3.075782,-36.86744,355,338.8,0
2.173265,-0.9412603,3.104586,-36.684,357.6,340.1,2.670385E-08
2.232428,-1.055312,3.146397,-36.406,358.7,341.1,0
2.280076,-1.139367,3.190746,-36.22218,359.7,343.1,3.335099E-09
2.333231,-1.261833,3.190222,-35.93967,0.8999997,348.1,0
2.386723,-1.324145,3.145689,-35.73717,2.6,355.3,6.67698E-09
2.455323,-1.366447,3.094369,-35.32557,3.8,3.399999,-1.33696E-08
2.493556,-1.340063,3.051643,-35.12127,4.4,7.2,2.675929E-08
2.547465,-1.292791,3.011669,-34.91979,5.1,12.6,0
2.602648,-1.193012,3.02948,-34.63417,5.2,13.7,0
2.669907,-1.072479,3.104586,-34.25183,5.2,13.7,0
2.712122,-1.019745,3.12442,-34.05883,5.2,13.7,0
2.784047,-0.9223679,3.190746,-33.77379,5.2,13.7,0
2.82426,-0.8519993,3.203075,-33.58498,5.2,13.6,0
2.880203,-0.750668,3.14569,-33.30037,5.1,13.3,0
