"Room","Object","ObjPos_X","ObjPos_Y","ObjPos_Z","SubjectNo"
"Bedroom","None",2.138638,0.3099991,1.39578,"P29"
"Bedroom","None",6.298849,0.3100004,11.87609,"P29"
"Bedroom","None",-6.920835,1.8,7.917953,"P29"
"Bedroom","None",5.195822,0.3100008,15.17955,"P29"
"Bedroom","None",-2.483406,0.3100003,11.15673,"P29"
"Bedroom","None",-7.219823,0.3099991,1.024095,"P29"
"Classroom","None",23.961,-26373.73,7.396957,"P29"
"Classroom","None",6.010026,0.3016002,10.41197,"P29"
"Classroom","None",-3.500817,0.4184525,13.17804,"P29"
"Classroom","None",-6.059305,0.3015991,1.443421,"P29"
"Classroom","None",6.116962,0.3016009,15.51278,"P29"
"Classroom","None",-6.068311,0.3016001,9.491699,"P29"
"Gym","None",-7.423421,0.3099992,1.78784,"P29"
"Gym","None",-7.114066,0.3100006,13.89554,"P29"
"Gym","None",-2.813363,0.3099999,7.520685,"P29"
"Gym","None",3.486456e-08,0.309999,0.6441269,"P29"
"Gym","None",7.450877,0.3100002,10.63884,"P29"
"Gym","None",0.9774469,0.3100002,10.43,"P29"
"Library","None",-7.105389,0.3099995,3.984121,"P29"
"Library","None",-7.901541,0.3100003,11.92675,"P29"
"Library","None",-3.223518,0.3100003,10.75506,"P29"
"Library","None",-4.387399,0.3100008,15.41581,"P29"
"Library","None",7.002203,0.3100002,10.46575,"P29"
"Library","None",4.609687,0.3099991,1.05813,"P29"
"LivingRoom","None",-0.561533,0.3099991,1.002989,"P29"
"LivingRoom","None",3.747823,1.7691,16.31056,"P29"
"LivingRoom","None",-0.7815095,0.3100009,16.12246,"P29"
"LivingRoom","None",-3.013712,0.3100003,11.36772,"P29"
"LivingRoom","None",-0.9008466,3.284626,14.86815,"P29"
"LivingRoom","None",6.063324,1.773792,10.57174,"P29"
"StorageRoom","None",-0.1868774,1.964581,16.45698,"P29"
"StorageRoom","None",3.347778,0.3099991,1.012051,"P29"
"StorageRoom","None",5.751917,0.31,8.968081,"P29"
"StorageRoom","None",-6.944894,0.3100008,15.04687,"P29"
"StorageRoom","None",-6.416802,0.3099993,3.211331,"P29"
"StorageRoom","None",1.523858,0.3099999,7.612269,"P29"
