"Item" "Order" "SubjectNo" "Room"
"Stapler" 1 "P32" "Bedroom"
"PencilSharpener" 2 "P32" "Bedroom"
"OfficeBin" 3 "P32" "Bedroom"
"Calculator" 4 "P32" "Bedroom"
"Squeezer" 5 "P32" "Bedroom"
"Muffin" 6 "P32" "Bedroom"
"JBLSpeaker" 1 "P32" "Classroom"
"Controller" 2 "P32" "Classroom"
"Headphones" 3 "P32" "Classroom"
"Teacup" 4 "P32" "Classroom"
"Mouse" 5 "P32" "Classroom"
"PiggyBank" 6 "P32" "Classroom"
"HandDrill" 1 "P32" "Gym"
"Padella" 2 "P32" "Gym"
"RugbyBall" 3 "P32" "Gym"
"Pineapple" 4 "P32" "Gym"
"Mushroom" 5 "P32" "Gym"
"MechanicalGloves" 6 "P32" "Gym"
"BaseballBat" 1 "P32" "Library"
"MokeExpress" 2 "P32" "Library"
"Toaster" 3 "P32" "Library"
"SaltSub" 4 "P32" "Library"
"Typewriter" 5 "P32" "Library"
"NikonCamera" 6 "P32" "Library"
"Paprika" 1 "P32" "LivingRoom"
"Openner" 2 "P32" "LivingRoom"
"Cabbaage" 3 "P32" "LivingRoom"
"CleaningBucket" 4 "P32" "LivingRoom"
"Apple" 5 "P32" "LivingRoom"
"Avocado" 6 "P32" "LivingRoom"
"Grape" 1 "P32" "StorageRoom"
"EggBeater" 2 "P32" "StorageRoom"
"Spoons" 3 "P32" "StorageRoom"
"MilkCarton" 4 "P32" "StorageRoom"
"Kettle" 5 "P32" "StorageRoom"
"HTCViveController" 6 "P32" "StorageRoom"
