"Item" "Order" "SubjectNo" "Room"
"Pinza" 1 "P34" "Bedroom"
"Matrioshka" 2 "P34" "Bedroom"
"Jug" 3 "P34" "Bedroom"
"PaperCoffeeCup" 4 "P34" "Bedroom"
"BallonDog" 5 "P34" "Bedroom"
"Toothpaste" 6 "P34" "Bedroom"
"RockingHorse" 1 "P34" "Classroom"
"CoffeeMachine" 2 "P34" "Classroom"
"Canister" 3 "P34" "Classroom"
"Official hat" 4 "P34" "Classroom"
"Basket" 5 "P34" "Classroom"
"DeskLight" 6 "P34" "Classroom"
"MosquitoRacket" 1 "P34" "Gym"
"Chaynik" 2 "P34" "Gym"
"Bread" 3 "P34" "Gym"
"ShowerHead" 4 "P34" "Gym"
"UGGboot" 5 "P34" "Gym"
"Clamps" 6 "P34" "Gym"
"Microphone" 1 "P34" "Library"
"OldRadio" 2 "P34" "Library"
"Laptop" 3 "P34" "Library"
"Router" 4 "P34" "Library"
"NailScissors" 5 "P34" "Library"
"WineBottle" 6 "P34" "Library"
"MobilePhone" 1 "P34" "LivingRoom"
"FireExtinguisher" 2 "P34" "LivingRoom"
"Glasses" 3 "P34" "LivingRoom"
"Recorder" 4 "P34" "LivingRoom"
"FirstAidKit" 5 "P34" "LivingRoom"
"CokeCan" 6 "P34" "LivingRoom"
"CinRoll" 1 "P34" "StorageRoom"
"Hammer" 2 "P34" "StorageRoom"
"HTCVive" 3 "P34" "StorageRoom"
"TennisBall" 4 "P34" "StorageRoom"
"StrawberryDonut" 5 "P34" "StorageRoom"
"Pumpkin" 6 "P34" "StorageRoom"
