Room,Object,ObjPos_X,ObjPos_Y,ObjPos_Z
LivingRoom,ShowerHead,15,0.5,15
LivingRoom,FireExtinguisher,15,0.5,12.5
LivingRoom,CokeCan,15,0.5,10
LivingRoom,TennisBall,15,0.5,7.5
LivingRoom,Jug,15,0.5,5
LivingRoom,StrawberryDonut,15,0.5,2.5

Room,Object,ObjPos_X,ObjPos_Y,ObjPos_Z
LivingRoom,ShowerHead,4.299279,1.3,16.26198
LivingRoom,FireExtinguisher,-7.142493,0.3,14.3653
LivingRoom,CokeCan,-4.996188,0.3,9.326764
LivingRoom,TennisBall,6.142368,0.3,6.47391
LivingRoom,Jug,-6.366593,0.3,4.895966
LivingRoom,StrawberryDonut,1.049,0.3,10.88121

