TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01532809,0.2609738,12.0276,42.24959,7.200004,354.8,-2.689248E-08
0.04891185,0.2594827,12.05523,42.34892,7.200004,354.8,-2.689248E-08
0.06561983,0.2555097,12.07271,42.44897,7.200004,354.8,-2.689248E-08
0.08259721,0.2483717,12.07999,42.54873,7.200004,354.8,-2.689248E-08
0.1157658,0.2368196,12.10348,42.74892,7.300002,351.2,0
0.132111,0.228767,12.12621,42.85012,7.800004,346.2,-1.077183E-07
0.1493265,0.2133671,12.14972,42.9523,9.100003,339.2,1.080821E-07
0.1820225,0.1842828,12.16909,43.05705,12.1,325.5,0
0.197658,0.1348567,12.1794,43.14945,13.2,320.4,0
0.2140545,0.07711881,12.17635,43.23769,13.80001,315.7,0
0.2473862,0.006060332,12.1615,43.32542,16.6,305.5,0
0.2636842,-0.0731271,12.13973,43.39459,17.50001,302.2,0
0.2802033,-0.157491,12.11596,43.45794,18.1,298.9,-8.982215E-07
0.297309,-0.2454457,12.09509,43.51383,18.6,296.5,-9.008251E-07
0.3313951,-0.4278111,12.07841,43.60875,19.20001,293.3,0
0.3458304,-0.4300577,12.07841,43.60969,19.50001,291.9,-9.057246E-07
0.3633835,-0.5259869,12.06606,43.64457,19.90001,290.7,-9.079915E-07
0.3797456,-0.6233916,12.04556,43.67458,20.10001,289.6,0
0.3968215,-0.7218425,12.02182,43.70042,20.30001,288.6,9.103143E-07
0.430024,-0.7230543,12.08,43.70082,20.30001,287.7,9.103143E-07
0.4455897,-0.7231894,12.08,43.70086,20.30001,287.6,0
0.4625968,-0.7231894,12.08,43.70086,20.30001,287.6,0
0.4793371,-0.7231894,12.08,43.70086,20.30001,287.6,0
0.4956848,-0.7231894,12.08,43.70086,20.30001,287.6,0
0.5131456,-0.7231894,12.08,43.70086,20.30001,287.6,0
0.546286,-0.7190403,12.08,43.69942,19.30001,290.7,-9.04612E-07
0.5629324,-0.7154946,12.08,43.69798,18.60001,293.4,0
0.5797086,-0.7115124,12.08,43.69613,18.20001,296.5,-8.987355E-07
0.5967557,-0.7083777,12.08,43.69448,18.00001,299,-8.977107E-07
0.6137249,-0.7058021,12.08,43.69299,18.00001,301.1,0
0.6309994,-0.7025739,12.08,43.69094,18.00001,303.8,0
0.663932,-0.6966453,12.08,43.68657,18.00001,309,-4.488554E-07
0.6807267,-0.6933079,12.08,43.68371,17.90001,312.1,4.486017E-07
0.6973023,-0.6904303,12.08,43.68098,17.90001,314.9,-4.486017E-07
0.7139333,-0.6878806,12.08,43.67832,17.90002,317.5,-4.486017E-07
0.7480969,-0.6839365,12.08,43.67368,17.90001,321.8,0
0.7641712,-0.6824751,12.08,43.67176,17.90002,323.5,-8.972033E-07
0.7809377,-0.6814781,12.08,43.67039,17.90001,324.7,0
0.7983302,-0.6809099,12.08,43.66957,17.90001,325.4,-4.486017E-07
0.8317754,-0.6809099,12.08,43.66957,17.90001,325.4,-4.486017E-07
0.8475237,-0.6809099,12.08,43.66957,17.90001,325.4,-4.486017E-07
0.864885,-0.6809099,12.08,43.66957,17.90001,325.4,-4.486017E-07
0.898888,-0.6818901,12.08,43.67096,17.90001,324.2,0
0.9143947,-0.6825595,12.08,43.67188,17.90001,323.4,0
0.9308969,-0.7512556,11.99977,43.74696,17.90001,322.4,0
0.9645063,-0.8225833,11.98431,43.82073,17.80001,320.5,-4.483496E-07
0.9810393,-0.8960512,11.98035,43.89106,17.60001,319.3,-8.957008E-07
0.9978253,-0.9707528,11.9899,43.95977,17.40001,318,-8.947157E-07
1.032606,-1.12046,12.03221,44.09497,17.10001,315.5,-4.46631E-07
1.047367,-1.120624,12.03221,44.09513,17.00001,314.6,0
1.063908,-1.197334,12.05515,44.15992,16.90001,313.7,-4.461547E-07
1.080884,-1.273201,12.07271,44.22532,16.90001,312.9,0
1.114069,-1.422147,12.08644,44.35875,16.90001,311.1,-4.461546E-07
1.129977,-1.500649,12.10349,44.42068,16.90001,309.9,0
1.146935,-1.500532,12.10349,44.42058,16.90001,308.6,0
1.180305,-1.666454,12.14972,44.53111,16.90001,305.3,4.461546E-07
1.196269,-1.753521,12.16909,44.5793,16.90001,303.5,4.461546E-07
1.213565,-1.842319,12.17941,44.62396,16.90001,301.9,-4.461546E-07
1.229594,-1.932312,12.17635,44.66591,16.90001,300.5,-8.923092E-07
1.24656,-1.931249,12.17635,44.6653,16.90001,299.3,8.923092E-07
1.263768,-2.022373,12.1615,44.70326,16.90001,297.7,0
1.297247,-2.205619,12.11596,44.77777,16.90001,295.7,0
1.312642,-2.296732,12.09509,44.81442,16.90001,294.5,8.923092E-07
1.329415,-2.386683,12.08206,44.85149,16.90001,292.9,0
1.34519,-2.384109,12.08206,44.85044,16.90001,291.3,-8.923093E-07
1.361817,-2.475044,12.07841,44.8858,16.90001,289.9,0
1.394753,-2.655473,12.04556,44.96159,16.90001,287,0
1.411109,-2.746939,12.02182,44.99863,16.90001,285.8,0
1.427601,-2.745572,12.02182,44.99826,16.90001,284.8,-8.923092E-07
1.444533,-2.838527,11.99977,45.03356,16.90001,283.9,0
1.460981,-2.93224,11.98431,45.06857,16.90001,283.3,0
1.477659,-3.026486,11.98035,45.10313,16.90001,282.9,0
1.494115,-3.121325,11.9899,45.13697,16.90001,282.9,0
1.511017,-3.216329,12.00883,45.17009,16.90001,282.9,0
1.527702,-3.216329,12.00883,45.17009,16.90001,282.9,0
1.544754,-3.311639,12.03221,45.20187,16.90001,282.9,0
1.560606,-3.407389,12.05515,45.23173,16.90001,282.9,0
1.577313,-3.503718,12.07271,45.25907,16.90001,282.9,0
1.594258,-3.600763,12.07999,45.28327,16.90001,282.9,0
1.610547,-3.697926,12.08644,45.29845,16.90001,282.9,0
1.627518,-3.697926,12.08644,45.29845,16.90001,282.9,0
1.643909,-3.79541,12.10333,45.3158,16.90001,282.9,0
1.660552,-3.891204,12.12596,45.34547,16.90001,282.9,0
1.677557,-3.985249,12.14948,45.3611,16.90001,282.9,0
1.694273,-4.081046,12.16864,45.37872,16.90001,282.9,0
1.710744,-4.175915,12.17924,45.41243,16.60001,282.9,-8.909042E-07
1.727346,-4.174039,12.17924,45.41196,15.90001,285.3,-8.877373E-07
1.743958,-4.265196,12.1767,45.44925,15.50001,287.5,0
1.760882,-4.353419,12.1622,45.48906,15.30001,290.7,0
1.777575,-4.438848,12.14059,45.53243,15.30001,294.1,0
1.793844,-4.520791,12.11681,45.57855,15.60001,298.2,0
1.810997,-4.598485,12.09575,45.62727,16.40001,303.3,-4.449918E-07
1.828077,-4.591715,12.09575,45.62239,17.20001,308.3,0
1.845704,-4.661571,12.08215,45.68187,18.00001,313.1,8.977107E-07
1.862919,-4.727408,12.07864,45.74313,19.40001,318.9,4.525833E-07
1.879952,-4.792195,12.06668,45.81218,20.40001,322.1,0
1.897212,-4.856112,12.04639,45.88396,21.30001,324.7,4.581849E-07
1.930386,-4.98369,12.00049,46.03093,23.60002,329.8,-4.658492E-07
1.947349,-4.982595,12.00049,46.02898,24.70002,331.6,-4.698768E-07
1.964092,-5.039685,11.98471,46.11049,25.50002,332.7,0
1.997723,-5.152399,11.98936,46.27703,26.00001,333.2,0
2.014105,-5.2074,12.00803,46.36128,26.00001,333.2,0
2.03074,-5.261218,12.03134,46.44616,26.30002,333.1,-4.761777E-07
2.06484,-5.313623,12.05437,46.53217,26.80002,329.9,0
2.080318,-5.368345,12.07222,46.6161,27.10002,328.1,0
2.097699,-5.422938,12.07996,46.69991,27.70002,325.7,0
2.130892,-5.422939,12.08,46.69991,29.40002,319.4,0
2.146103,-5.422939,12.08,46.69991,29.80002,317.1,0
2.163217,-5.422939,12.08,46.69991,30.10002,314.9,9.868489E-07
2.196468,-5.42294,12.08,46.69991,31.10002,311,9.970883E-07
2.212509,-5.42294,12.08,46.69991,31.80002,309.8,0
2.228706,-5.42294,12.08,46.69991,32.20002,309.2,-2.017917E-06
2.262244,-5.42294,12.08,46.69991,33.80002,307.7,0
2.278854,-5.42294,12.08,46.69991,34.40002,307.2,0
2.295652,-5.42294,12.08,46.69991,35.40002,306.9,-1.047411E-06
2.312739,-5.423888,12.08599,46.69864,36.80002,306.6,-1.066242E-06
2.328981,-5.423882,12.08599,46.69863,38.00002,306.3,0
2.345594,-5.42388,12.08,46.69863,39.70001,306.2,0
2.379797,-5.42388,12.08,46.69863,43.30003,306.2,-2.346265E-06
2.395061,-5.42388,12.08,46.69863,45.10003,306.2,-2.419063E-06
2.412255,-5.423886,12.08,46.69864,46.70003,306.5,2.489796E-06
2.428384,-5.423895,12.08,46.69864,47.60003,306.9,2.532318E-06
2.445431,-5.423906,12.08,46.69865,48.10002,307.4,-2.556851E-06
2.461725,-5.423917,12.08,46.69866,48.50003,307.9,0
2.478595,-5.423938,12.08,46.69868,48.50003,308.9,0
2.495238,-5.423979,12.08,46.69871,48.00003,310.8,0
2.512411,-5.424008,12.08,46.69873,47.20002,312.2,0
2.528675,-5.42403,12.08,46.69875,46.00002,313.3,0
2.545531,-5.42405,12.08,46.69877,43.90002,314.3,1.18489E-06
2.562149,-5.424067,12.08,46.69879,41.50003,315.2,0
2.579618,-5.424088,12.08,46.69881,38.90002,316.3,-1.097053E-06
2.596018,-5.424108,12.08,46.69883,36.60003,317.3,-1.063472E-06
2.613767,-5.42412,12.08,46.69885,34.70002,318,0
2.647286,-5.424157,12.08,46.69889,30.40002,320,-9.898671E-07
2.66364,-5.424171,12.08,46.69891,29.60003,320.8,-9.819192E-07
2.680109,-5.424181,12.08,46.69892,29.40003,321.4,0
2.696993,-5.424183,12.08,46.69892,29.40003,321.5,-9.79982E-07
2.730717,-5.424186,12.08,46.69893,30.00003,321.7,0
2.746301,-5.424178,12.08,46.69891,31.60003,321.2,-1.002403E-06
2.763595,-5.424169,12.08,46.69891,33.50003,320.7,0
2.797627,-5.424151,12.08,46.69888,37.20003,319.7,-1.071867E-06
2.813191,-5.424146,12.08,46.69888,38.00003,319.4,0
2.830263,-5.424142,12.08,46.69887,38.50003,319.2,1.090934E-06
2.846559,-5.424142,12.08,46.69887,38.90003,319.2,0
2.881111,-5.424146,12.08,46.69888,39.40003,319.4,0
2.896868,-5.424148,12.08,46.69888,39.50003,319.5,0
2.91328,-5.424155,12.08,46.69889,39.50003,319.9,-1.106463E-06
2.930609,-5.424159,12.08,46.69889,39.50003,320.1,-1.106463E-06
2.964141,-5.42416,12.08,46.69889,39.50003,320.2,-1.106463E-06
2.979961,-5.42416,12.08,46.69889,39.50003,320.2,-1.106463E-06
2.997063,-5.42416,12.08,46.69889,39.50003,320.2,-1.106463E-06
3.012979,-5.42416,12.08,46.69889,39.50003,320.2,-1.106463E-06
3.047571,-5.424185,12.08,46.69893,38.70003,321.6,-1.093978E-06
3.063049,-5.424195,12.08,46.69894,38.10003,322.2,-1.084936E-06
3.080656,-5.424207,12.08,46.69895,37.60003,322.9,0
3.097855,-5.424218,12.08,46.69897,37.20003,323.6,-1.071867E-06
3.131319,-5.424228,12.08,46.69898,36.70002,324.2,0
3.146615,-5.424233,12.08,46.69899,36.40002,324.5,0
3.163943,-5.424238,12.08,46.69899,36.10003,324.8,0
3.197151,-5.424252,12.08,46.69902,35.20004,325.7,0
3.21415,-5.424259,12.08,46.69903,34.60004,326.2,0
3.229872,-5.424267,12.08,46.69904,33.80003,326.7,0
3.264196,-5.424279,12.08,46.69905,32.30003,327.5,0
3.280586,-5.424281,12.08,46.69906,32.10003,327.6,0
3.297619,-5.424281,12.08,46.69906,32.10003,327.6,0
3.33142,-5.424281,12.08,46.69906,32.10003,327.6,0
3.347476,-5.424281,12.08,46.69906,32.10003,327.6,0
3.363244,-5.424281,12.08,46.69906,32.10003,327.6,0
3.397458,-5.424281,12.08,46.69906,32.10003,327.6,0
3.414088,-5.424281,12.08,46.69906,32.10003,327.6,0
3.430495,-5.424281,12.08,46.69906,32.10003,327.6,0
3.465031,-5.424281,12.08,46.69906,32.10003,327.6,0
3.480582,-5.424281,12.08,46.69906,32.10003,327.6,0
3.497406,-5.424281,12.08,46.69906,32.10003,327.6,0
3.530863,-5.424281,12.08,46.69906,32.10003,327.6,0
3.546996,-5.424281,12.08,46.69906,32.10003,327.6,0
3.563799,-5.424281,12.08,46.69906,32.10003,327.6,0
3.59749,-5.424281,12.08,46.69906,32.10003,327.6,0
3.613234,-5.424281,12.08,46.69906,32.10003,327.6,0
3.630413,-5.424281,12.08,46.69906,32.10003,327.6,0
3.663635,-5.424281,12.08,46.69906,32.10003,327.6,0
3.680319,-5.424281,12.08,46.69906,32.10003,327.6,0
3.696768,-5.424281,12.08,46.69906,32.10003,327.6,0
3.730555,-5.424281,12.08,46.69906,32.10003,327.6,0
3.74678,-5.424281,12.08,46.69906,32.10003,327.6,0
3.76385,-5.424281,12.08,46.69906,32.10003,327.6,0
3.797178,-5.424281,12.08,46.69906,32.10003,327.6,0
3.813442,-5.424281,12.08,46.69906,32.10003,327.6,0
3.830541,-5.424281,12.08,46.69906,32.10003,327.6,0
3.863427,-5.424281,12.08,46.69906,32.10003,327.6,0
3.880104,-5.424281,12.08,46.69906,32.10003,327.6,0
3.8974,-5.424281,12.08,46.69906,32.10003,327.6,0
3.931136,-5.424281,12.08,46.69906,32.10003,327.6,0
3.947028,-5.424281,12.08,46.69906,32.10003,327.6,0
3.963902,-5.424281,12.08,46.69906,32.10003,327.6,0
3.997787,-5.424281,12.08,46.69906,32.10003,327.6,0
4.01414,-5.424281,12.08,46.69906,32.10003,327.6,0
4.030382,-5.424281,12.08,46.69906,32.10003,327.6,0
4.065023,-5.424281,12.08,46.69906,31.80003,327.6,1.004567E-06
4.080122,-5.424277,12.08,46.69905,31.60003,327.4,0
4.097631,-5.424276,12.08,46.69905,31.40004,327.3,0
4.130756,-5.424273,12.08,46.69905,30.90005,327.1,0
4.14698,-5.424272,12.08,46.69904,30.70004,327,-9.929311E-07
4.163573,-5.424272,12.08,46.69904,30.40004,327,9.898671E-07
4.197815,-5.424272,12.08,46.69904,30.10004,327,0
4.213613,-5.424272,12.08,46.69904,29.90004,327,0
4.230342,-5.424272,12.08,46.69904,29.60004,327,0
4.264656,-5.424279,12.08,46.69905,28.80004,327.5,0
