TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.1080972,0,4.335192,-39,0,0,0
0.1890892,0,4.06836,-39,0.1,359.7,0
0.2803465,0,3.67596,-39,0.2,359.3,0
0.376118,0,3.105,-39,0.3,359,0
0.467323,0,3.027114,-39,0.5000001,358.5,0
0.5619476,0,3.015,-39,0.7,358,-8.338256E-10
0.6541327,0,3.065,-39,0.7,358,-8.338256E-10
0.7458601,0,3.105,-39,0.6000001,358.3,0
0.8431588,0,3.105,-39,0.6000001,358.3,0
0.9326965,0,3.105,-39,0.6000001,358.3,0
1.028869,0,3.105,-39,0.6000001,358.3,0
1.12035,0,3.105,-39,0.6000001,358.3,0
1.211243,0,3.105,-39,0.6000001,358.3,0
1.303636,0,3.105,-39,0.6000001,358.3,0
1.394302,0,3.105,-39,1.4,358.6,0
1.48936,0,3.105,-39,2.6,359.9,0
1.581216,0,3.105,-39,2.7,0.7000002,0
1.673574,0,3.105,-39,2.7,0.7000002,0
1.765861,0,3.105,-39,2.7,0.7000002,0
1.858181,0,3.105,-39,2.7,0.7000002,0
1.955038,0,3.105,-39,2.7,0.7000002,0
2.049014,0,3.105,-39,2.7,0.7000002,0
2.140091,0,3.105,-39,2.7,0.7000002,0
2.232109,0,3.105,-39,2.7,0.7000002,0
2.324894,0,3.105,-39,2.7,0.7000002,0
2.417734,0,3.105,-39,2.7,0.7000002,0
2.511569,0,3.105,-39,2.7,0.7000002,0
2.601704,0,3.105,-39,2.7,0.7000002,0
2.693258,0,3.105,-39,2.7,0.7000002,0
2.785829,0,3.105,-39,2.7,0.7000002,0
2.877987,0,3.105,-39,2.7,0.7000002,0
2.975585,0,3.105,-39,2.8,0.6000001,0
3.068898,0,3.105,-39,2.8,0.6000001,0
3.160197,0.02593852,3.170145,-38.60025,2.8,0.6000001,0
3.2526,0.08797099,3.169455,-38.10087,2.8,0.6000001,0
3.345212,0.1117902,3.094369,-37.6011,2.8,0.6000001,0
3.434637,0.08056852,3.011669,-37.20074,2.8,0.6000001,0
3.528126,0.03253257,3.075782,-36.70021,2.8,0.6000001,0
3.619668,0.02285616,3.12442,-36.30009,2.8,0.6000001,0
3.713384,-0.02265285,3.203075,-35.79959,2.8,0.6000001,0
3.803883,-0.06025234,3.108824,-35.29916,2.8,0.6000001,0
3.896193,-0.0401577,3.051643,-34.89936,2.8,0.6000001,0
3.993479,0.02151366,3.02948,-34.39997,2.8,0.6000001,0
4.081316,0.05225422,3.104586,-34.00027,2.8,0.6000001,0
4.178786,0.0901084,3.190746,-33.50064,2.8,0.6000001,0
4.26992,0.1505589,3.145689,-33.00125,2.8,0.6000001,0
4.360415,0.1641489,3.094369,-32.60137,2.8,0.6000001,0
4.451409,0.1220727,3.005002,-32.1009,2.8,0.6000001,0
