TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03278169,-4.427627,12.1107,42.32917,1.500016,337.9,0
0.06633106,-4.485096,12.15575,42.52169,1.500016,337.9,0
0.09809463,-4.512055,12.17121,42.61867,1.500016,337.9,0
0.1305089,-4.565294,12.16432,42.81292,1.500016,337.9,0
0.1604569,-4.592712,12.14504,42.90971,1.500016,337.9,0
0.1908365,-4.592712,12.075,42.90971,1.500016,337.9,0
0.220356,-4.592712,12.075,42.90971,1.500016,337.9,0
0.2506648,-4.592712,12.075,42.90971,1.500016,337.9,0
0.2807647,-4.592712,12.075,42.90971,1.500016,337.9,0
0.3105054,-4.592712,12.075,42.90971,1.500016,337.9,0
0.3417984,-4.592712,12.075,42.90971,1.500016,337.9,0
0.371242,-4.592712,12.075,42.90971,1.500016,337.9,0
0.4019967,-4.592812,12.075,42.90995,1.500016,337.7,0
0.4319113,-4.59317,12.075,42.91081,1.800016,337,0
0.4613154,-4.593379,12.075,42.9113,2.100016,336.6,-2.669836E-08
0.4919275,-4.593807,12.075,42.91227,2.500016,335.8,5.341169E-08
0.5224056,-4.594362,12.075,42.91348,2.900016,334.8,0
0.5515053,-4.594937,12.075,42.91467,3.300016,333.8,0
0.5819952,-4.595413,12.075,42.91562,3.700016,333,5.347231E-08
0.6122045,-4.59615,12.075,42.91703,4.200016,331.8,-1.070091E-07
0.6395852,-4.597246,12.075,42.91901,4.900016,330.1,1.071132E-07
0.6672897,-4.59826,12.075,42.92072,5.300017,328.6,0
0.6955782,-4.599682,12.075,42.92296,5.800016,326.6,-1.072708E-07
0.7232985,-4.600648,12.075,42.92439,6.100016,325.3,-1.073294E-07
0.7499526,-4.60149,12.075,42.92558,6.300016,324.2,0
0.7758113,-4.602196,12.075,42.92654,6.500016,323.3,0
0.8010269,-4.602595,12.075,42.92707,6.500016,322.8,-2.148243E-07
0.8259408,-4.602918,12.075,42.92749,6.700017,322.4,2.149111E-07
0.8509009,-4.603489,12.075,42.92823,6.800015,321.7,0
0.8751878,-4.604488,12.075,42.92947,7.000016,320.5,2.150463E-07
0.9003357,-4.605514,12.075,42.93068,7.100016,319.3,-2.150928E-07
0.9243972,-4.606477,12.075,42.93178,7.300016,318.2,-2.151876E-07
