TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02353813,5.96245,12.06923,42.19785,22.30003,13.80002,0
0.04700238,5.986894,12.0689,42.29433,22.30003,13.70002,0
0.0707468,6.007541,12.05746,42.39223,22.30003,13.70002,0
0.09618004,6.02528,12.03745,42.49083,22.30003,13.70002,0
0.1199619,6.05452,11.99142,42.68995,22.40004,13.40002,2.30863E-07
0.1455137,6.054634,12.07,42.69043,22.60003,13.00002,0
0.1702998,6.05469,12.07,42.69068,22.60003,12.80002,0
0.1945733,6.05469,12.07,42.69068,22.60003,12.80002,0
0.2192409,6.05469,12.07,42.69068,22.60003,12.80002,0
0.2444433,6.05469,12.07,42.69068,22.60003,12.80002,0
0.2683483,6.05469,12.07,42.69068,22.60003,12.80002,0
0.2932222,6.05469,12.07,42.69068,22.60003,12.80002,0
0.3181243,6.065727,11.97523,42.79072,22.60003,12.80002,0
0.3424045,6.086843,11.97869,42.99102,22.60003,12.80002,0
0.3672209,6.098121,11.99702,43.09101,22.60003,12.80002,0
0.3925263,6.110679,12.02022,43.1907,22.60003,12.80002,0
0.4170785,6.125124,12.04338,43.29002,22.60003,12.40002,0
0.4424824,6.16065,12.0699,43.48699,22.60004,11.40002,0
0.4665127,6.178982,12.07544,43.58527,22.60003,10.00002,2.31197E-07
0.4911331,6.191683,12.09179,43.68436,22.60004,8.000021,0
0.5163154,6.198222,12.11424,43.78385,22.60003,5.60002,1.155985E-07
0.5405381,6.197345,12.15777,43.98293,22.60003,2.30002,-2.889963E-08
0.5656136,6.189593,12.16902,44.0807,22.70004,359,-1.446034E-08
0.5913968,6.176083,12.16713,44.17656,23.60003,355.1,0
0.6163364,6.176326,12.07001,44.17426,23.90003,352.8,0
0.641688,6.176566,12.07001,44.17257,24.00003,351.1,-2.33643E-07
0.6676196,6.176782,12.07001,44.17128,24.00003,349.8,0
0.6927993,6.177008,12.07001,44.17009,24.10003,348.6,2.33825E-07
0.7185692,6.177326,12.07001,44.16862,24.40003,347.1,2.343772E-07
0.7448584,6.17786,12.07001,44.16648,24.70003,344.9,0
0.7695378,6.178418,12.07001,44.16454,24.90003,342.9,2.353177E-07
0.795769,6.178945,12.07001,44.16292,25.20004,341.2,0
0.8216969,6.179484,12.07001,44.1614,25.40003,339.6,0
0.8467273,6.180179,12.07001,44.15963,25.70003,337.7,0
0.8728779,6.181878,12.07001,44.15587,26.30004,333.6,4.761778E-07
0.8986616,6.183537,12.07001,44.15277,26.80004,330.1,-4.782587E-07
0.924745,6.185382,12.07001,44.14978,27.50004,326.6,0
0.9507114,6.187407,12.07001,44.1469,28.10003,323.1,0
0.9769837,6.1898,12.07001,44.14392,28.10004,319.3,0
1.001662,6.190933,12.07001,44.14265,28.20004,317.6,0
1.028111,6.19148,12.07001,44.14206,28.30004,316.8,9.696718E-07
1.053413,6.191895,12.07001,44.14162,28.30004,316.2,0
1.078062,6.192526,12.07001,44.14097,28.30004,315.3,9.696719E-07
1.104458,6.194184,12.07001,44.13936,28.10004,313,-9.678586E-07
1.12952,6.195225,12.07001,44.13842,27.90004,311.6,9.660638E-07
