TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01719077,0.05308341,12.02181,42.21163,10.1,13.19997,1.084016E-07
0.05038179,0.1023339,11.98151,42.40142,10.1,13.19997,1.084016E-07
0.06661757,0.1137708,11.97079,42.50145,10.1,13.19997,1.084016E-07
0.08405723,0.1261865,11.97324,42.60111,10.1,13.19997,1.084016E-07
0.1003859,0.1377824,11.98767,42.7011,10.1,13.19997,1.084016E-07
0.1339874,0.1503725,12.00924,42.80087,10.1,13.19997,1.084016E-07
0.1505188,0.1645615,12.03303,42.90025,10.1,13.19997,1.084016E-07
0.166867,0.1809479,12.05412,42.99912,10.1,13.19997,1.084016E-07
0.1840803,0.2001297,12.0676,43.09734,10.2,13.29997,0
0.2174576,0.2222073,12.07132,43.19489,11,14.79997,1.087192E-07
0.2338489,0.2446213,12.0832,43.29247,11.6,15.99997,0
0.2503089,0.2663023,12.10345,43.39064,12.4,17.99997,0
0.2672559,0.2894639,12.12714,43.48954,14,21.79997,0
0.3009201,0.3453419,12.16522,43.68719,16.5,27.89997,0
0.3167397,0.3462304,12.16522,43.68878,17.6,30.49997,0
0.3337349,0.347038,12.07,43.69009,18.60001,32.69997,9.008252E-07
0.3506024,0.3476172,12.07,43.69097,19.40001,34.19997,4.525833E-07
0.383445,0.3480565,12.07,43.6916,21,35.29997,9.145155E-07
0.4001714,0.348097,12.07,43.69166,21.40001,35.39997,4.584976E-07
0.4168351,0.3478553,12.07,43.69131,21.5,34.79997,0
0.4334476,0.3475387,12.07,43.69085,20.70001,33.99997,4.563468E-07
0.4499281,0.3474605,12.07,43.69074,20.1,33.79996,0
0.4664775,0.3474605,12.07,43.69074,20.1,33.79996,0
0.48395,0.3474605,12.07,43.69074,20.1,33.79996,0
0.5003176,0.3474605,12.07,43.69074,20.1,33.79996,0
0.5166468,0.3474605,12.07,43.69074,20.1,33.79996,0
0.5335482,0.3474605,12.07,43.69074,20.1,33.79996,0
0.5666653,0.3474605,12.07,43.69074,20.1,33.79996,0
0.5834132,0.3474605,12.07,43.69074,20.1,33.79996,0
0.6001072,0.3474605,12.07,43.69074,20.1,33.79996,0
0.6165508,0.3474605,12.07,43.69074,20.1,33.79996,0
0.6333449,0.3474216,12.07,43.69068,20.3,33.69996,-4.551571E-07
0.6498665,0.3474216,12.07,43.69068,20.2,33.69997,4.548641E-07
0.6664887,0.3475387,12.07,43.69085,20.6,33.99996,4.560466E-07
0.6837585,0.3479355,12.07,43.69143,21.1,34.99997,4.575649E-07
0.7005156,0.3483011,12.07,43.69194,21.6,35.89997,4.591284E-07
0.7171255,0.348759,12.07,43.69257,21.9,36.99997,4.600886E-07
0.7331638,0.3495336,12.07,43.69356,22.4,38.79996,-4.617259E-07
0.7672636,0.3521373,12.07,43.69649,23.6,44.39997,0
0.7832403,0.3539053,12.07,43.69819,24.4,47.89997,0
0.7999368,0.3559933,12.07,43.69995,25.3,51.79997,-9.443535E-07
0.8168982,0.3583702,12.07,43.70168,26.00001,55.99997,9.499101E-07
0.8327389,0.3608069,12.07,43.70321,26.60001,60.09998,0
0.8496561,0.363346,12.07,43.70455,27.20001,64.19997,0
0.8664954,0.3658444,12.07,43.70565,27.80001,68.09997,-9.651729E-07
0.8833834,0.3693486,12.07,43.70687,28.2,73.39997,9.687625E-07
