TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.09304518,0,4.38228,-39,0,0,0
0.1477277,0,4.280256,-39,0,0,0
0.2428876,0,3.887856,-39,0,0,0
0.325976,0,3.432672,-39,0,0,0
0.3870566,0,3.105,-39,0,0,0
0.4872994,0,3.04446,-39,0,0,0
0.5656348,0,3.005,-39,0,0,0
0.629916,0,3.035,-39,0,0,0
0.7305775,0,3.085,-39,0,0,0
0.8048057,0,3.105,-39,0,0,0
0.8717604,0,3.105,-39,0,0,0
0.9648585,0,3.105,-39,0.1,0.1,6.513785E-12
1.048076,0,3.105,-39,0.1,0.1,6.513785E-12
1.114667,0,3.105,-39,0.1,0.1,6.513785E-12
1.207538,0,3.105,-39,0.1,0.1,6.513785E-12
1.289095,0,3.105,-39,0.1,0.1,6.513785E-12
1.371634,0,3.105,-39,0.1,0.1,6.513785E-12
1.434243,0,3.105,-39,0.1,0.1,6.513785E-12
1.528257,0,3.105,-39,0.1,0.1,6.513785E-12
1.614173,0,3.105,-39,0.1,0.1,6.513785E-12
1.678205,0,3.105,-39,0.1,0.1,6.513785E-12
1.774205,0,3.105,-39,0.1,0.1,6.513785E-12
1.854818,0.02244906,3.170144,-38.60004,0.1,0.1,6.513785E-12
1.914952,0.05738715,3.203075,-38.3001,0.1,0.1,6.513785E-12
2.009196,0.09667472,3.123841,-37.90017,0.1,0.1,6.513785E-12
2.095226,0.08588929,3.051643,-37.40015,0.1,0.1,6.513785E-12
2.159724,0.05313663,3.005002,-37.10009,0.1,0.1,6.513785E-12
2.253725,0.006924512,3.094829,-36.60001,0.1,0.1,6.513785E-12
2.335582,-0.007626984,3.146398,-36.19998,0.1,0.1,6.513785E-12
2.400759,-0.03878067,3.203287,-35.89993,0.1,0.1,6.513785E-12
2.495032,-0.08847167,3.123841,-35.39984,0.1,0.1,6.513785E-12
2.577327,-0.08435871,3.07512,-34.99985,0.1,0.1,6.513785E-12
2.641749,-0.05421769,3.011669,-34.6999,0.1,0.1,6.513785E-12
2.739606,-7.033814E-05,3.075782,-34.19999,0.1,0.1,6.513785E-12
2.816151,0.01449369,3.12442,-33.80001,0.1,0.1,6.513785E-12
2.882556,0.04211437,3.190746,-33.50006,0.1,0.1,6.513785E-12
2.978444,0.09820462,3.145689,-33.00016,0.1,0.1,6.513785E-12
3.055416,0.1083048,3.094368,-32.60018,0.1,0.1,6.513785E-12
3.121712,0.08471275,3.028853,-32.30014,0.1,0.1,6.513785E-12
3.214514,0.02919294,3.052361,-31.80004,0.1,0.1,6.513785E-12
3.296307,0.01218675,3.109128,-31.40001,0.1,0.1,6.513785E-12
3.363276,-0.007963082,3.170145,-31.09997,0.1,0.1,6.513785E-12
3.454051,-0.06389,3.169454,-30.59988,0.1,0.1,6.513785E-12
3.535989,-0.08450805,3.104476,-30.19984,0.1,0.1,6.513785E-12
3.603357,-0.06721403,3.051642,-29.89987,0.1,0.1,6.513785E-12
3.696784,-0.009902859,3.02948,-29.39997,0.1,0.1,6.513785E-12
3.776266,0.01734856,3.104587,-29.00002,0.1,0.1,6.513785E-12
3.842203,0.03049084,3.146398,-28.70004,0.1,0.1,6.513785E-12
3.937833,0.08667311,3.19123,-28.20013,0.1,0.1,6.513785E-12
4.014141,0.1209538,3.169045,-27.80461,0.1,0.1,6.513785E-12
4.077873,0.1158678,3.179725,-27.50791,0.1,0.1,6.513785E-12
4.170739,0.07815862,3.168696,-27.11225,0.1,0.1,6.513785E-12
4.252009,0.03468112,3.333525,-26.61791,0.1,0.1,6.513785E-12
4.312336,0.02705733,3.407619,-26.32122,-2.41226E-09,0,0
4.404586,-0.01172119,3.549719,-25.92717,0.1,358.2,0
4.46734,-0.0536815,3.565112,-25.63284,0.1,358,-1.042206E-10
4.558972,-0.0866605,3.573342,-25.14076,0.1,358,-1.042206E-10
4.64382,-0.06439592,3.550063,-24.74871,1,353.8,0
4.707387,-0.06187895,3.612148,-24.45263,1.8,348.1,0
4.798486,-0.1389734,3.764331,-23.96322,2.3,343.7,0
4.859791,-0.2043808,3.868039,-23.6723,2.9,342,-5.342928E-08
4.952297,-0.3069557,3.937769,-23.18342,3.4,340.8,-5.345494E-08
5.036191,-0.4211509,3.928782,-22.79938,3.8,338.4,-5.347843E-08
5.101212,-0.5497507,3.917255,-22.52649,4.2,336,0
5.19147,-0.8408239,3.957377,-22.13151,4.5,334,0
5.272339,-1.128663,4.072421,-21.87542,4.5,333.8,1.070517E-07
5.33246,-1.338017,4.139802,-21.6805,4.6,333.7,0
5.42546,-1.636269,4.244394,-21.42352,4.6,333.7,0
5.487468,-1.805239,4.234591,-21.1756,4.6,333.7,0
5.575941,-1.954242,4.225775,-20.82185,4.6,333.7,0
5.640331,-1.875624,4.191667,-20.74951,4.6,333.7,0
5.726472,-1.762745,4.172256,-20.65024,4.6,333.7,0
5.790306,-1.677487,4.209759,-20.57522,4.6,333.7,0
5.876162,-1.547473,4.29619,-20.45611,5.300001,335.9,0
5.938657,-1.47151,4.322431,-20.38185,7,341.7,-1.075232E-07
6.023896,-1.329766,4.404334,-20.25357,9.6,351.4,0
6.082307,-1.183938,4.453815,-20.12963,12.1,1.500003,0
6.174288,-0.8976742,4.416619,-19.89384,15.7,16.2,6.651456E-07
6.233383,-0.7240286,4.418242,-19.71101,17.7,23.7,0
6.327074,-0.5016757,4.379856,-19.44063,19.2,33.40001,0
