TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01902736,6.355848,12.06456,42.25399,12.60005,32.00001,0
0.036876,6.409835,12.06685,42.33712,12.60005,32.00001,0
0.05450296,6.466139,12.05257,42.41965,12.60005,31.90001,-2.187107E-07
0.073167,6.524788,12.03106,42.50094,12.60005,31.90001,-2.187107E-07
0.09180591,6.585308,12.00727,42.58105,12.60005,31.90001,-2.187107E-07
0.109632,6.64718,11.98611,42.66033,12.60005,31.90001,-2.187107E-07
0.1278465,6.647116,11.98611,42.66023,12.60005,31.8,0
0.1460569,6.709627,11.9725,42.73902,12.60005,31.70001,0
0.1649744,6.709627,12.07,42.73902,12.60005,31.70001,0
0.1827779,6.709574,12.07,42.73894,12.60005,31.60001,-2.187107E-07
0.2009365,6.709522,12.07,42.73885,12.60005,31.50001,-2.187107E-07
0.2188354,6.71973,11.97124,42.7326,12.60005,31.50001,-2.187107E-07
0.2370684,6.71973,12.07,42.7326,12.60005,31.50001,-2.187107E-07
0.2558915,6.719689,12.07,42.73253,12.60005,31.4,2.187107E-07
0.2743729,6.719607,12.07,42.7324,12.60005,31.2,0
0.2920768,6.719526,12.07,42.73226,12.60005,31,-2.187107E-07
0.3108876,6.719445,12.07,42.73212,12.60005,30.8,0
0.3291206,6.719206,12.07,42.73172,12.70005,30.20001,2.187964E-07
0.3481808,6.718893,12.07,42.73117,12.80005,29.40001,4.377656E-07
0.3663081,6.718475,12.07,42.73041,12.90005,28.3,-2.1897E-07
0.3850989,6.717789,12.07,42.72908,13.20005,26.40001,0
0.4044132,6.717212,12.07,42.72788,13.30005,24.7,-2.19326E-07
0.4237351,6.71637,12.07,42.72593,13.50005,22.00001,-2.195085E-07
0.442513,6.715915,12.07,42.72475,13.80005,20.40001,2.197878E-07
0.4614434,6.715467,12.07,42.7235,14.00005,18.70001,0
0.481552,6.714899,12.07,42.72169,14.30005,16.3,0
0.5018366,6.714583,12.07,42.72056,14.60005,14.80001,0
0.5218041,6.714278,12.07,42.71934,14.80005,13.2,0
0.5428374,6.714156,12.07,42.7188,14.90005,12.50001,0
0.5642268,6.714024,12.07,42.71818,15.10005,11.70001,1.105383E-07
0.5851677,6.713931,12.07,42.71772,15.20005,11.1,1.105906E-07
0.6071129,6.713842,12.07,42.71726,15.40005,10.5,-1.106962E-07
0.6291894,6.713732,12.07,42.71664,15.60005,9.700006,0
0.6514697,6.713642,12.07,42.71609,15.80005,9.000006,1.109122E-07
0.6736001,6.713559,12.07,42.71555,15.90005,8.300007,0
0.6957147,6.713433,12.07,42.71461,16.10005,7.100005,-1.110783E-07
0.718448,6.713343,12.07,42.71383,16.10005,6.100006,5.553916E-08
0.7425146,6.713192,12.07,42.71211,16.40005,3.900005,0
0.7667474,6.713093,12.07,42.70975,16.50005,0.900005,0
0.7899319,6.71312,12.07,42.70731,16.50005,357.8,-2.782633E-08
0.8136967,6.713202,12.07,42.70582,16.50005,355.9,5.565266E-08
0.83851,6.713273,12.07,42.70496,16.50005,354.8,0
0.8620218,6.713334,12.07,42.70433,16.50005,354,5.565265E-08
0.8864461,6.713404,12.07,42.7037,16.50005,353.2,-1.113053E-07
0.9102155,6.713515,12.07,42.70285,16.50005,352.1,1.113053E-07
0.9353566,6.713706,12.07,42.7016,16.50005,350.5,0
0.9599266,6.714139,12.07,42.69936,16.20005,347.6,0
0.9841066,6.714664,12.07,42.69722,15.70005,344.8,0
1.009018,6.715221,12.07,42.69534,15.30005,342.3,0
