"Item" "Order" "SubjectNo" "Room"
"RugbyBall" 1 "P21" "Bedroom"
"Openner" 2 "P21" "Bedroom"
"Spoons" 3 "P21" "Bedroom"
"EggBeater" 4 "P21" "Bedroom"
"MechanicalGloves" 5 "P21" "Bedroom"
"Teacup" 6 "P21" "Bedroom"
"Kettle" 1 "P21" "Classroom"
"HandDrill" 2 "P21" "Classroom"
"Paprika" 3 "P21" "Classroom"
"Avocado" 4 "P21" "Classroom"
"BaseballBat" 5 "P21" "Classroom"
"JBLSpeaker" 6 "P21" "Classroom"
"Headphones" 1 "P21" "Gym"
"Padella" 2 "P21" "Gym"
"OfficeBin" 3 "P21" "Gym"
"Muffin" 4 "P21" "Gym"
"SaltSub" 5 "P21" "Gym"
"Pineapple" 6 "P21" "Gym"
"PencilSharpener" 1 "P21" "Library"
"Typewriter" 2 "P21" "Library"
"Apple" 3 "P21" "Library"
"Grape" 4 "P21" "Library"
"Squeezer" 5 "P21" "Library"
"Mushroom" 6 "P21" "Library"
"CleaningBucket" 1 "P21" "LivingRoom"
"Toaster" 2 "P21" "LivingRoom"
"Mouse" 3 "P21" "LivingRoom"
"HTCViveController" 4 "P21" "LivingRoom"
"Cabbaage" 5 "P21" "LivingRoom"
"NikonCamera" 6 "P21" "LivingRoom"
"PiggyBank" 1 "P21" "StorageRoom"
"MokeExpress" 2 "P21" "StorageRoom"
"Calculator" 3 "P21" "StorageRoom"
"Stapler" 4 "P21" "StorageRoom"
"Controller" 5 "P21" "StorageRoom"
"MilkCarton" 6 "P21" "StorageRoom"
