"Item" "Order" "SubjectNo" "Room"
"Laptop" 1 "P41" "Bedroom"
"Clamps" 2 "P41" "Bedroom"
"DeskLight" 3 "P41" "Bedroom"
"Basket" 4 "P41" "Bedroom"
"CoffeeMachine" 5 "P41" "Bedroom"
"Matrioshka" 6 "P41" "Bedroom"
"CinRoll" 1 "P41" "Classroom"
"Toothpaste" 2 "P41" "Classroom"
"Pinza" 3 "P41" "Classroom"
"Recorder" 4 "P41" "Classroom"
"Glasses" 5 "P41" "Classroom"
"MosquitoRacket" 6 "P41" "Classroom"
"OldRadio" 1 "P41" "Gym"
"Bread" 2 "P41" "Gym"
"FirstAidKit" 3 "P41" "Gym"
"FireExtinguisher" 4 "P41" "Gym"
"Microphone" 5 "P41" "Gym"
"StrawberryDonut" 6 "P41" "Gym"
"Chaynik" 1 "P41" "Library"
"Hammer" 2 "P41" "Library"
"MobilePhone" 3 "P41" "Library"
"CokeCan" 4 "P41" "Library"
"Canister" 5 "P41" "Library"
"NailScissors" 6 "P41" "Library"
"WineBottle" 1 "P41" "LivingRoom"
"HTCVive" 2 "P41" "LivingRoom"
"Jug" 3 "P41" "LivingRoom"
"UGGboot" 4 "P41" "LivingRoom"
"Router" 5 "P41" "LivingRoom"
"RockingHorse" 6 "P41" "LivingRoom"
"TennisBall" 1 "P41" "StorageRoom"
"ShowerHead" 2 "P41" "StorageRoom"
"Official hat" 3 "P41" "StorageRoom"
"Pumpkin" 4 "P41" "StorageRoom"
"PaperCoffeeCup" 5 "P41" "StorageRoom"
"BallonDog" 6 "P41" "StorageRoom"
