TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03735888,-4.381567,12.15453,42.33497,15.90001,341.8,0
0.07472341,-4.426099,12.10855,42.53086,15.90001,341.8,0
0.1100738,-4.479485,12.0764,42.72384,15.90001,341.8,0
0.1475717,-4.479485,12.075,42.72384,15.90001,341.8,0
0.1831807,-4.479485,12.075,42.72384,15.90001,341.8,0
0.2196816,-4.479485,12.075,42.72384,15.90001,341.8,0
0.2538287,-4.479706,12.07271,42.72377,15.90001,341.8,0
0.2895373,-4.479706,12.075,42.72377,15.90001,341.8,0
0.3234102,-4.479706,12.075,42.72377,15.90001,341.8,0
0.3585872,-4.479706,12.075,42.72377,15.90001,341.8,0
0.3938011,-4.479706,12.075,42.72377,15.90001,341.8,0
0.429076,-4.479706,12.075,42.72377,15.90001,341.8,0
0.4644177,-4.479706,12.075,42.72377,15.90001,341.8,0
0.4989085,-4.479706,12.075,42.72377,15.90001,341.8,0
0.5339207,-4.479706,12.075,42.72377,15.90001,341.8,0
0.5689832,-4.479706,12.075,42.72377,15.90001,341.8,0
0.6036408,-4.479706,12.075,42.72377,15.90001,341.8,0
0.6388403,-4.479706,12.075,42.72377,15.90001,341.8,0
0.6752688,-4.479706,12.075,42.72377,15.90001,341.8,0
0.7105854,-4.479706,12.075,42.72377,15.90001,341.8,0
0.7453851,-4.479706,12.075,42.72377,15.90001,341.8,0
0.7800981,-4.479706,12.075,42.72377,15.90001,341.8,0
0.8151832,-4.479706,12.075,42.72377,15.90001,341.8,0
0.8512561,-4.479706,12.075,42.72377,15.90001,341.8,0
0.8858244,-4.479706,12.075,42.72377,15.90001,341.8,0
0.92134,-4.479761,12.075,42.72393,15.8,341.7,0
0.9555569,-4.479334,12.075,42.72261,15.7,342.5,2.217152E-07
0.9911818,-4.477728,12.075,42.71694,15.7,345.9,2.217152E-07
1.026337,-4.476184,12.075,42.70964,15.7,350.2,1.108576E-07
1.061907,-4.475158,12.075,42.7019,16.2,354.7,5.556722E-08
1.099107,-4.474828,12.075,42.69706,16.6,357.5,0
1.13364,-4.474737,12.075,42.69186,16.6,0.4999917,0
1.171124,-4.4748,12.075,42.68908,16.6,2.099992,0
1.20928,-4.474988,12.075,42.68562,16.6,4.099992,5.568151E-08
1.247377,-4.475242,12.075,42.68268,16.3,5.799992,0
1.284987,-4.475453,12.075,42.68078,15.70001,6.899991,0
1.322525,-4.475985,12.075,42.677,13.7,9.099992,1.098469E-07
1.361006,-4.476942,12.075,42.67188,11.70001,12.09999,0
1.399407,-4.477644,12.075,42.66884,10.50001,13.89999,1.085392E-07
1.437125,-4.477856,12.075,42.668,10.10001,14.39999,0
1.475747,-4.4779,12.075,42.66783,10,14.5,1.08368E-07
1.514544,-4.477943,12.075,42.66766,10,14.59999,1.08368E-07
1.552192,-4.478211,12.075,42.66666,10,15.19999,0
1.589947,-4.478729,12.075,42.66482,10.20001,16.29999,1.084354E-07
1.629583,-4.479492,12.075,42.66233,10.80001,17.79999,1.086461E-07
1.667952,-4.480149,12.075,42.66036,11.20001,18.99999,0
1.7061,-4.480669,12.075,42.65889,11.3,19.89999,0
1.744318,-4.480728,12.075,42.65872,11.30001,20,2.176629E-07
1.78422,-4.480728,12.075,42.65872,11.30001,20,2.176629E-07
1.824729,-4.480728,12.075,42.65872,11.30001,20,2.176629E-07
1.864359,-4.480728,12.075,42.65872,11.30001,20,2.176629E-07
1.90435,-4.480728,12.075,42.65872,11.30001,20,2.176629E-07
1.944748,-4.480788,12.075,42.65856,11.4,20.09999,2.177391E-07
1.984905,-4.480493,12.075,42.65937,11.90001,19.6,2.181312E-07
2.024462,-4.419119,12.0495,42.85171,12.30001,18.49999,2.18458E-07
2.064647,-4.371746,12.00315,43.04869,12.60001,17.1,0
2.104772,-4.334543,11.97526,43.24764,12.80001,15.9,1.094414E-07
2.144147,-4.318503,11.97964,43.34757,12.90001,15.2,2.189699E-07
2.18257,-4.287012,12.01755,43.54653,13.2,14.39999,0
2.21974,-4.251663,12.06158,43.74396,13.2,14.09999,-2.192359E-07
2.257218,-4.207063,12.07729,43.93896,13.30001,13.5,0
2.294688,-4.170407,12.11167,44.13577,13.40001,13.1,0
2.33249,-4.14397,12.15709,44.3348,13.5,12.79999,-1.097542E-07
2.368323,-4.122643,12.17427,44.53476,13.60001,12.5,0
2.404989,-4.10149,12.14404,44.73473,13.60001,12.4,0
2.44205,-4.089398,12.12049,44.83415,13.70001,12.2,-1.098469E-07
2.47845,-4.05922,12.08107,45.03225,13.70001,12.2,-1.098469E-07
2.514413,-4.016554,12.0673,45.22747,13.70001,12.1,0
2.551276,-3.961957,12.02648,45.42001,13.70001,11.9,0
2.587376,-3.90033,11.98445,45.6113,13.70001,11.8,0
2.621604,-3.900353,12.075,45.61119,13.70001,11.7,0
2.65678,-3.90042,12.075,45.61086,13.70001,11.4,0
2.691566,-3.900464,12.075,45.61064,13.80001,11.2,-1.098939E-07
2.72633,-3.900549,12.075,45.6102,13.80001,10.8,0
2.760878,-3.889029,11.97526,45.60745,13.80001,10.2,0
2.79534,-3.889092,12.075,45.60709,13.80001,9.799997,0
2.829959,-3.889138,12.075,45.60682,13.80001,9.499996,-1.098939E-07
2.864029,-3.889182,12.075,45.60655,13.80001,9.199996,0
2.899039,-3.889211,12.075,45.60637,13.80001,8.999996,-1.098939E-07
2.934244,-3.889267,12.075,45.60601,13.80001,8.599998,0
2.969338,-3.889307,12.075,45.60574,13.70001,8.299997,0
3.003057,-3.889359,12.075,45.60538,13.70001,7.899998,0
3.037717,-3.889395,12.075,45.60511,13.60001,7.599999,5.490021E-08
3.071969,-3.889431,12.075,45.60484,13.60001,7.299998,-5.49002E-08
3.10637,-3.889454,12.075,45.60466,13.60001,7.099998,5.490021E-08
3.141852,-3.889454,12.075,45.60466,13.60001,7.099998,5.490021E-08
3.175468,-3.889454,12.075,45.60466,13.60001,7.099998,5.490021E-08
3.210993,-3.889454,12.075,45.60466,13.60001,7.099998,5.490021E-08
3.245423,-3.889454,12.075,45.60466,13.60001,7.099998,5.490021E-08
3.280255,-3.889454,12.075,45.60466,13.60001,7.099998,5.490021E-08
3.314898,-3.889476,12.075,45.60447,13.50001,6.899997,-5.487711E-08
3.349329,-3.889529,12.075,45.60402,13.40001,6.399997,-5.485421E-08
3.384574,-3.889639,12.075,45.60293,13.00001,5.199998,0
3.419367,-3.889762,12.075,45.6013,12.70001,3.399998,2.734954E-08
3.452997,-3.889849,12.075,45.59893,12.00001,0.7999974,6.819121E-09
3.487946,-3.889853,12.075,45.59783,11.70001,359.6,0
3.523283,-3.889848,12.075,45.59738,11.60001,359.1,6.809182E-09
3.55679,-3.889843,12.075,45.5971,11.60001,358.8,1.361836E-08
3.592626,-3.889841,12.075,45.59701,11.60001,358.7,1.361836E-08
3.625844,-3.889834,12.075,45.59674,11.60001,358.4,0
3.660542,-3.889831,12.075,45.59665,11.60001,358.3,0
3.693846,-3.889826,12.075,45.59647,11.60001,358.1,-1.361836E-08
3.728327,-3.889816,12.075,45.59619,11.60001,357.8,1.361836E-08
3.762182,-3.887649,11.97573,45.69603,11.60001,357.4,-2.723673E-08
3.797455,-3.873842,12.00596,45.89659,11.60001,357,0
3.831115,-3.867279,12.05213,46.09712,11.60001,356.2,-2.723673E-08
3.86538,-3.874079,12.07503,46.29711,12.00001,355,0
3.899957,-3.880769,12.08269,46.39696,12.50001,353.6,-5.465643E-08
3.933188,-3.890182,12.12351,46.59763,13.50001,351.8,1.097542E-07
3.966701,-3.898201,12.16555,46.79943,14.70001,350.4,0
3.999632,-3.903423,12.17474,46.90115,15.90001,349,0
4.031676,-3.918898,12.15424,47.10327,17.00001,347.9,-1.11598E-07
