TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.07764789,0,4.42152,-39,0,0,0
0.1580396,0,4.217472,-39,0,0,0
0.2102708,0,4.06836,-39,0,0,0
0.2800941,0,3.67596,-39,0,0,0
0.3707921,0,3.105,-39,359.9,0.1,-6.513785E-12
0.4212683,0,3.059651,-39,359.9,0.1,-6.513785E-12
0.5090818,0,3.019651,-39,359.9,0.1,-6.513785E-12
0.5610591,0,3.015,-39,359.9,0.1,-6.513785E-12
0.631959,0,3.055,-39,359.8,0.2,-2.605526E-11
0.7220324,0,3.095,-39,359.7,0.3,0
0.7717769,0,3.105,-39,359.7,0.3,0
0.8433079,0,3.105,-39,359.7,0.3,0
0.9332126,0,3.105,-39,359.7,0.3,0
0.9865651,0,3.105,-39,359.7,0.3,0
1.055619,0,3.105,-39,359.7,0.3,0
1.145952,0,3.105,-39,359.7,0.3,0
1.197707,0,3.105,-39,359.7,0.3,0
1.268614,0,3.105,-39,359.7,0.3,0
1.355347,0,3.105,-39,359.7,0.3,0
1.408776,0,3.105,-39,359.7,0.3,0
1.481007,0,3.105,-39,359.7,0.3,0
1.570965,0.03513239,3.190746,-38.50018,359.7,0.3,0
1.621212,0.05982988,3.203075,-38.3003,359.7,0.3,0
1.709834,0.1005132,3.123841,-37.90051,359.7,0.3,0
1.762578,0.104464,3.094369,-37.60052,359.7,0.3,0
1.833462,0.07114644,3.011669,-37.20035,359.7,0.3,0
1.921821,0.02814573,3.05236,-36.80012,359.7,0.3,0
1.973219,0.01319465,3.104586,-36.50003,359.7,0.3,0
2.044939,0.002147047,3.146397,-36.19997,359.7,0.3,0
2.134708,-0.05054376,3.190222,-35.69969,359.7,0.3,0
2.184398,-0.06940541,3.14569,-35.49959,359.7,0.3,0
2.255407,-0.0767135,3.094369,-35.09954,359.7,0.3,0
2.344008,-0.03920713,3.011669,-34.69973,359.7,0.3,0
2.395818,-0.002572441,3.02948,-34.39992,359.7,0.3,0
2.465109,0.02292052,3.094829,-34.10005,359.7,0.3,0
2.553961,0.0500248,3.170144,-33.60019,359.7,0.3,0
2.606853,0.07351188,3.203287,-33.40031,359.7,0.3,0
2.678264,0.1191471,3.14569,-33.00054,359.7,0.3,0
2.765299,0.1306439,3.094369,-32.60059,359.7,0.3,0
2.818487,0.1080995,3.028854,-32.30047,359.7,0.3,0
2.906406,0.06383322,3.02948,-31.90024,359.7,0.3,0
2.960863,0.04148184,3.094829,-31.60012,359.7,0.3,0
3.033991,0.02832692,3.146397,-31.20004,359.7,0.3,0
3.123706,-0.01322969,3.203075,-30.79982,359.7,0.3,0
3.176779,-0.04320423,3.14569,-30.50211,359.7,358.7,4.168874E-10
3.246738,-0.0618733,3.104476,-30.20786,358.8,355.6,-3.335785E-09
3.338368,-0.06126923,3.011669,-29.71334,356.5,349.1,0
3.388666,-0.07556422,3.012055,-29.51323,356,347.9,2.674557E-08
3.457529,-0.1249964,3.094829,-29.11476,355.9,347.4,-2.674888E-08
3.543426,-0.1973763,3.146397,-28.72105,355.8,347.3,0
3.59585,-0.2325858,3.203287,-28.42074,355.7,346.4,0
3.659397,-0.2717206,3.179894,-28.11423,353.5,341.2,1.074122E-07
3.727735,-0.3517339,3.161318,-27.82241,352.2,338.3,0
3.814106,-0.562565,3.150131,-27.37331,352.2,338.3,0
3.861976,-0.658785,3.15386,-27.1984,352.2,338.3,0
3.928216,-0.8018063,3.242387,-26.93614,352.2,338.3,0
3.995771,-0.9676086,3.354127,-26.57565,352.2,338.3,0
4.08059,-1.145843,3.490885,-26.22041,352.2,338.1,1.077183E-07
4.129832,-1.24288,3.532802,-26.04592,352.2,337.8,1.077183E-07
4.20748,-1.431591,3.515018,-25.69607,352.2,337.8,1.077183E-07
4.260858,-1.54862,3.531683,-25.42331,352.1,338,1.077442E-07
4.327675,-1.640501,3.511532,-25.13924,352.3,339.1,0
4.413929,-1.768196,3.604501,-24.65682,352.5,340.6,1.076426E-07
4.459391,-1.822227,3.674876,-24.46584,352.7,341.7,-1.075938E-07
4.544319,-1.934462,3.782681,-24.08682,353.7,344.9,0
4.592887,-1.982182,3.882453,-23.79431,354.5,347.5,0
4.671206,-2.026091,3.882644,-23.40476,355.2,351.4,-5.354865E-08
4.725967,-2.044869,3.875159,-23.20996,355.4,352.8,-2.676664E-08
4.818505,-2.133815,3.868725,-22.7249,355.6,354.5,0
4.85894,-2.176192,3.874482,-22.53148,355.9,355.9,1.337444E-08
4.924092,-2.230939,3.966318,-22.23945,357.4,1.100002,-3.33849E-09
5.010404,-2.240827,4.082363,-21.8434,0.5999987,12.2,-6.670473E-09
5.05556,-2.196491,4.186904,-21.54732,2.099999,17.3,-2.669836E-08
5.138926,-2.120247,4.264881,-21.1536,2.299999,19.2,0
5.185966,-2.072133,4.251672,-20.96023,1.899999,19.8,0
5.251414,-1.902116,4.256413,-20.62716,1.699999,20.3,0
5.317267,-1.689291,4.226362,-20.44065,1.499998,22.5,0
5.400523,-1.390059,4.259856,-20.19464,1.499998,26,0
5.44634,-1.243338,4.324182,-20.06671,1.399999,26.5,2.668839E-08
5.528231,-0.9644158,4.412972,-19.80597,1.199999,27.1,0
5.57582,-0.7434924,4.507271,-19.61516,1.199999,27.1,0
5.641873,-0.5124397,4.557397,-19.43014,1.099999,27.2,-2.668534E-08
5.706462,-0.2855396,4.526908,-19.24261,1.099999,27.2,-2.668534E-08
5.790604,0.04925817,4.508504,-18.90802,1.099999,27.2,-2.668534E-08
5.83918,0.1667749,4.484607,-18.76576,1.099999,27.2,-2.668534E-08
5.915101,0.3942029,4.528204,-18.47732,1.099999,27.2,-2.668534E-08
5.965327,0.5122387,4.593545,-18.33532,1.099999,27.2,-2.668534E-08
6.0298,0.7045761,4.656655,-18.1303,358.9,19.5,-1.334267E-08
6.095098,0.9300672,4.772291,-17.87122,356,11.2,-2.674557E-08
6.159836,1.072495,4.810617,-17.69221,355.5,9.100001,2.676292E-08
