TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02725943,6.380263,12.04404,42.18004,13.30001,354.8,0
0.05374656,6.348876,12.01194,42.37507,13.30001,354.8,0
0.08149041,6.35181,11.98992,42.46996,13.30001,354.8,0
0.1077061,6.331522,11.97457,42.56853,13.30001,354.8,0
0.1341219,6.289721,11.97954,42.76555,13.30001,354.8,0
0.1609431,6.26961,11.9983,42.86413,13.30001,354.8,0
0.1881845,6.250841,12.02164,42.96284,13.30001,354.8,0
0.2154624,6.219775,12.06239,43.16084,13.3,354.7,0
0.2418064,6.20853,12.06998,43.26023,13.3,354.1,0
0.2678717,6.196636,12.07615,43.35948,13.3,352.5,5.483149E-08
0.2954416,6.158284,12.11564,43.55584,13.3,351.2,-1.09663E-07
0.3209614,6.133683,12.13919,43.65239,12.90001,349.2,0
0.3484174,6.133888,12.07,43.65142,12.5,346.8,0
0.3754726,6.134027,12.07,43.65086,12.50001,345.4,-1.093128E-07
0.402223,6.13419,12.07,43.65027,12.5,343.9,0
0.4294111,6.134295,12.07,43.64991,12.5,343,0
0.4564386,6.134483,12.07,43.64933,13.1,341.5,2.191465E-07
0.4836031,6.134846,12.07,43.64832,14.2,338.9,0
0.5102642,6.135139,12.07,43.64759,15,337,0
0.538008,6.135509,12.07,43.64677,15.6,334.8,0
0.5649021,6.135986,12.07,43.64581,16.4,332.2,0
0.5915611,6.136486,12.07,43.64491,17.20001,329.7,-4.468716E-07
0.6191998,6.137046,12.07,43.644,18.2,327.1,-4.493678E-07
0.6466737,6.137091,12.07,43.64393,18.20001,326.9,-4.493677E-07
0.6736699,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.7013224,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.7284382,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.7556956,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.782544,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.8104218,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.8373497,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.8645794,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.8914519,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.9180648,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.9453586,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
0.9728664,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.000385,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.027519,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.054292,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.082646,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.108297,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.134669,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.161313,6.137091,12.07,43.64393,18,326.9,-4.488554E-07
1.188063,6.137091,12.07,43.64393,17.90001,326.9,0
1.216452,6.137552,12.07,43.64325,18.40001,324.9,-4.498868E-07
1.243987,6.139102,12.07,43.64128,18.40001,318.8,-4.498868E-07
1.270545,6.140434,12.07,43.63988,18.30001,314.1,0
1.297317,6.141813,12.07,43.63864,18.60001,309.6,-4.504126E-07
1.325694,6.143623,12.07,43.63728,19.60001,304.1,0
1.351616,6.145267,12.07,43.63627,20.90001,299.4,0
1.377492,6.147064,12.07,43.63535,22.3,294.5,-1.845579E-06
1.403935,6.149634,12.07,43.63436,24.10001,287.8,-9.352998E-07
1.428923,6.151698,12.07,43.6338,26.00001,282.6,9.499101E-07
1.452402,6.153397,12.07,43.63348,27.3,278.4,-9.607888E-07
1.474373,6.154418,12.07,43.63336,28.00001,275.9,-9.669585E-07
1.496393,6.154704,12.07,43.63333,28.20001,275.2,-9.687624E-07
1.517246,6.154745,12.07,43.63332,28.20001,275.1,9.687623E-07
1.538406,6.154745,12.07,43.63332,28.20001,275.1,9.687623E-07
1.559083,6.154745,12.07,43.63332,28.20001,275.1,9.687623E-07
1.578873,6.154745,12.07,43.63332,28.20001,275.1,9.687623E-07
1.600213,6.154745,12.07,43.63332,28.20001,275.1,9.687623E-07
1.620017,6.154581,12.07,43.63334,28.00001,275.5,1.933917E-06
1.641131,6.154418,12.07,43.63336,27.8,275.9,0
1.661341,6.154254,12.07,43.63337,27.70001,276.3,0
1.681216,6.15409,12.07,43.63339,27.60001,276.7,9.634058E-07
1.702463,6.1536,12.07,43.63345,27.40001,277.9,9.616567E-07
1.723146,6.152869,12.07,43.63357,27.10001,279.7,-9.590669E-07
1.744458,6.152262,12.07,43.63368,26.90001,281.2,0
1.765532,6.151297,12.07,43.63389,26.70001,283.6,0
1.785196,6.150739,12.07,43.63403,26.70001,285,0
1.806636,6.149987,12.07,43.63425,26.70001,286.9001,9.556761E-07
1.828657,6.149438,12.07,43.63442,26.70001,288.3,-9.55676E-07
1.849446,6.149087,12.07,43.63454,26.70001,289.2,-9.55676E-07
1.870652,6.148662,12.07,43.6347,26.90001,290.3,-9.573627E-07
1.892897,6.148354,12.07,43.63481,27.10001,291.1001,0
1.914939,6.147933,12.07,43.63498,27.50001,292.2,-9.625289E-07
1.936683,6.147629,12.07,43.63511,27.80001,293.0001,0
1.95878,6.147402,12.07,43.6352,28.10001,293.6,-9.678581E-07
1.981629,6.147365,12.07,43.63522,28.20001,293.7,-9.687624E-07
2.003789,6.147327,12.07,43.63523,28.40001,293.8,-9.705848E-07
2.026752,6.147327,12.07,43.63523,29,293.8,-9.761657E-07
2.050192,6.147365,12.07,43.63522,29.60001,293.7,0
2.072824,6.051444,12.15871,43.66534,30.10001,293.6,0
2.096647,5.858761,12.16658,43.72362,31,293.5,0
2.119956,5.762455,12.15196,43.75292,32,293.5,1.006752E-06
2.14407,5.666564,12.1303,43.78316,32.90001,293.5,0
2.16794,5.571617,12.10651,43.81481,33.40001,293.3,0
2.191015,5.477172,12.08552,43.84833,33.90001,293.3,0
2.214267,5.291941,12.06856,43.92385,34.4,293.3,-2.06947E-06
2.238885,5.201566,12.05647,43.9664,34.80001,293.2,0
2.262898,5.112269,12.0361,44.0115,35.20001,293.1,-2.089651E-06
2.285803,5.023929,12.01239,44.05854,35.6,292.9,2.100044E-06
2.309988,4.936291,11.99024,44.10679,36.2,292.5,-2.116024E-06
2.332405,4.848863,11.97457,44.1554,36.90001,291.9,-2.135276E-06
2.356807,4.672745,11.97954,44.25183,37.60001,290.9,-2.155206E-06
2.379474,4.583891,11.9983,44.29764,38.60001,289.4,-4.369809E-06
2.402737,4.493279,12.02164,44.33989,39.7,287.5,-2.219324E-06
2.425479,4.400404,12.04464,44.37734,40.30001,286.2,0
2.448026,4.305893,12.06201,44.41022,41.2,284.3,0
2.470049,4.209545,12.06998,44.43694,41.70001,282.6,0
2.492709,4.112261,12.07614,44.46035,42.20001,280.9,-2.30499E-06
2.514897,3.917853,12.11564,44.51041,42.5,279.4001,2.316018E-06
2.535797,3.82039,12.13918,44.53623,42.80001,278.5,-2.327216E-06
2.556608,3.722334,12.15871,44.56197,43.10002,277.2,-2.338586E-06
2.576356,3.623956,12.16864,44.58626,43.20001,276.4,0
2.595292,3.524973,12.16658,44.60952,43.30001,275.4,0
2.614644,3.426017,12.15197,44.63046,43.30001,275,-2.346265E-06
2.632417,3.425532,12.15197,44.6305,43.30001,274.6,2.346265E-06
2.650989,3.325857,12.13031,44.64904,43.30001,274,0
2.669262,3.325438,12.07,44.64907,43.30001,273.7,2.346265E-06
2.688309,3.325018,12.07,44.6491,43.30001,273.4,2.346265E-06
2.70622,3.324178,12.07,44.64915,43.30001,272.8,0
2.724303,3.323618,12.07,44.64917,43.30001,272.4,-2.346265E-06
2.742574,3.322637,12.07,44.6492,43.30001,271.7,0
2.760051,3.321796,12.07,44.64923,43.30001,271.1,2.346265E-06
2.77931,3.320535,12.07,44.64924,43.20001,270.2,2.342416E-06
2.797125,3.319694,12.07,44.64924,43.20002,269.6,-2.342415E-06
2.815076,3.318993,12.07,44.64923,43.20001,269.1,-4.684831E-06
2.833053,3.318152,12.07,44.64922,43.20001,268.5,0
2.851041,3.317312,12.07,44.64919,43.30001,267.9,0
2.869019,3.316471,12.07,44.64915,43.60002,267.3,-2.357931E-06
2.887075,3.315491,12.07,44.6491,43.90002,266.6,-2.36978E-06
2.904862,3.314512,12.07,44.64904,44.20002,265.9,0
2.921841,3.313534,12.07,44.64896,44.50002,265.2,-2.394037E-06
2.939973,3.312278,12.07,44.64885,44.90002,264.3,-2.410633E-06
2.95656,3.311999,12.07,44.64882,45.00002,264.1,0
2.97359,3.31172,12.07,44.64879,45.10002,263.9,-2.419063E-06
2.989302,3.31172,12.07,44.64879,45.10002,263.9,-2.419063E-06
3.005729,3.31172,12.07,44.64879,45.10002,263.9,-2.419063E-06
3.021448,3.311581,12.07,44.64877,45.20002,263.8,0
3.037306,3.311581,12.07,44.64877,45.20002,263.8,0
3.053222,3.311441,12.07,44.64876,45.20001,263.7,0
3.068264,3.311302,12.07,44.64874,45.20001,263.6,0
3.08409,3.311023,12.07,44.64871,45.20001,263.4,0
3.100489,3.310606,12.07,44.64866,45.10002,263.1,0
3.11658,3.309772,12.07,44.64856,44.90002,262.5,2.410633E-06
3.132731,3.309077,12.07,44.64846,44.80003,262,2.406451E-06
3.1472,3.3088,12.07,44.64842,44.70002,261.8,0
3.163375,3.308522,12.07,44.64838,44.70002,261.6,0
3.179482,3.308522,12.07,44.64838,44.70002,261.6,0
3.195218,3.308383,12.07,44.64836,44.60001,261.5,-2.398153E-06
3.211066,3.308383,12.07,44.64836,44.60001,261.5,-2.398153E-06
3.227157,3.308383,12.07,44.64836,44.60001,261.5,-2.398153E-06
3.243294,3.308383,12.07,44.64836,44.60001,261.5,-2.398153E-06
3.257972,3.208175,12.10652,44.64232,44.50001,261.5,0
3.274837,3.108301,12.08553,44.63404,44.50001,261.5,0
3.291393,3.108301,12.08553,44.63404,44.50001,261.5,0
3.308866,3.008854,12.07224,44.62291,44.50001,261.5,0
3.325016,2.909922,12.06857,44.60834,44.50001,261.5,0
3.341787,2.811511,12.05631,44.59027,44.50001,261.5,0
3.357704,2.713537,12.03611,44.56929,44.50001,261.5,0
3.375254,2.615909,12.0124,44.54599,44.50001,261.5,0
3.392039,2.615909,12.0124,44.54599,44.50001,261.5,0
3.408773,2.51829,11.99025,44.52094,44.70002,261.3,0
3.424984,2.421069,11.97457,44.49448,45.10001,261.2,-4.838125E-06
3.442322,2.323992,11.97028,44.46737,45.30002,261.1,-2.427581E-06
3.458117,2.227026,11.97954,44.44021,45.40002,261.1,-2.431874E-06
3.474723,2.227026,12.07,44.44021,45.40002,261.1,-2.431874E-06
3.491417,2.227026,12.07,44.44021,45.40002,261.1,-2.431874E-06
3.507972,2.227087,12.07,44.44022,45.60003,261.2,0
3.524455,2.227087,12.07,44.44022,45.60003,261.2,0
3.541901,2.227087,12.07,44.44022,46.10002,261.2,0
3.557441,2.226964,12.07,44.4402,46.70002,261,-4.979592E-06
3.574434,2.226778,12.07,44.44017,47.80001,260.7,2.542051E-06
3.591244,2.226531,12.07,44.44013,48.80001,260.3,0
3.607465,2.226285,12.07,44.44009,50.00003,259.9,-2.656473E-06
3.623932,2.226038,12.07,44.44004,51.10003,259.5,2.719185E-06
3.640607,2.225854,12.07,44.44001,52.20003,259.2,0
3.65804,2.22567,12.07,44.43998,53.60002,258.9,2.877475E-06
