TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04861294,0,4.476456,-39,0,0,0
0.07968769,0,4.42152,-39,0,0,0
0.1194353,0,4.335192,-39,0,0,0
0.1606424,0,4.217472,-39,0,0,0
0.2017201,0,4.06836,-39,0,0,0
0.241363,0,3.887856,-39,0,0,0
0.2838222,0,3.67596,-39,0,0,0
0.3230957,0,3.432672,-39,0,0.1,0
0.3653845,0,3.157992,-39,0,0.2,0
0.4079904,0,3.105,-39,0,0.3,0
0.4482522,0,3.083697,-39,0,0.5000001,0
0.4904183,0,3.063697,-39,0.1,0.6000001,-5.211029E-11
0.5305488,0,3.043697,-39,0.1,0.8000001,0
0.572428,0,3.023697,-39,0.2,1.1,0
0.612773,0,3.005,-39,0.2,1.3,0
0.6550864,0,3.025,-39,0.2,1.5,0
0.6957172,0,3.045,-39,0.2,1.6,0
0.736446,0,3.065,-39,0.2,1.9,0
0.7772348,0,3.085,-39,0.2,2,0
0.8188883,0,3.105,-39,0.2,2,0
0.8596653,0,3.105,-39,0.2,2,0
0.9000118,0,3.105,-39,0.2,2,0
0.9408674,0,3.105,-39,0.2,2.1,0
0.9803225,0,3.105,-39,0.2,2.2,0
1.022005,0,3.105,-39,0.09999999,2.3,-2.084412E-10
1.061291,0,3.105,-39,0.09999999,2.3,-2.084412E-10
1.102784,0,3.105,-39,-2.41226E-09,2.1,0
1.143688,0,3.105,-39,359.9,1.9,1.042206E-10
1.18338,0,3.105,-39,359.9,1.8,0
1.224461,0,3.105,-39,359.9,1.8,0
1.264299,0,3.105,-39,359.9,1.8,0
1.305278,0,3.105,-39,359.9,1.8,0
1.345204,0,3.105,-39,359.5,1.6,0
1.387222,0,3.105,-39,359.3,1.5,1.667651E-09
1.426624,0,3.105,-39,358.8,1.2,0
1.467778,0,3.105,-39,358.7,1.1,-1.667956E-09
1.508316,0,3.105,-39,358.6,0.9,-8.340121E-10
1.549677,0,3.105,-39,358.6,0.8,0
1.589739,0,3.105,-39,358.5,0.7,0
1.631184,0,3.105,-39,358.5,0.7,0
1.671872,0,3.105,-39,358.5,0.7,0
1.711757,0,3.105,-39,358.5,0.7,0
1.751317,0,3.105,-39,358.5,0.7,0
1.792536,0,3.105,-39,358.5,0.7,0
1.832518,0,3.105,-39,358.5,0.7,0
1.873473,0,3.105,-39,358.5,0.7,0
1.913417,0,3.105,-39,358.5,0.7,0
1.953713,0,3.105,-39,358.5,0.7,0
1.994517,0,3.105,-39,358.5,0.7,0
2.034713,0,3.105,-39,358.5,0.7,0
2.075247,0,3.105,-39,358.5,0.7,0
2.116022,0,3.105,-39,358.5,0.7,0
2.155557,0,3.105,-39,358.5,0.6000001,8.340491E-10
2.196631,0,3.105,-39,358.6,0.5000001,0
2.237004,0,3.105,-39,358.7,0.5000001,-4.16989E-10
2.276254,0,3.105,-39,358.8,0.5,0
2.316923,0,3.105,-39,359.1,0.6000001,0
2.357786,0,3.105,-39,359.3,0.7,4.169128E-10
2.397877,0,3.105,-39,359.6,0.7,2.084459E-10
2.438581,0,3.105,-39,359.9,0.8,0
2.478859,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.519253,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.560644,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.600577,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.641551,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.682199,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.72215,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.762826,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.803156,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.843242,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.883374,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.924508,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
2.964359,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.005539,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.04546,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.085544,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.126313,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.166334,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.20788,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.247582,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.28841,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.328701,0,3.105,-39,-1.243197E-07,0.8000001,-9.939233E-17
3.369366,0.008209893,3.12442,-38.80009,-1.243197E-07,0.8000001,-9.939233E-17
3.409455,0.02733381,3.170145,-38.60035,-1.243197E-07,0.8000001,-9.939233E-17
3.450548,0.05256301,3.203287,-38.40075,0.09999989,0.9,0
3.490873,0.07933383,3.190222,-38.20115,0.09999989,0.9,0
3.530364,0.1023795,3.145689,-38.00164,-1.291442E-07,1,9.939232E-17
3.571993,0.117139,3.108824,-37.80186,-1.291442E-07,1,9.939232E-17
3.61219,0.1187614,3.094369,-37.60186,-1.291442E-07,1,9.939232E-17
3.652818,0.1082158,3.051643,-37.40165,-1.291442E-07,1,9.939232E-17
3.693418,0.09033529,3.011669,-37.20131,-1.291442E-07,1,9.939232E-17
3.733148,0.07003453,3.012055,-37.00092,-1.291442E-07,1,9.939232E-17
3.773754,0.05222751,3.05236,-36.80058,-1.291442E-07,1,9.939232E-17
3.814571,0.04182893,3.094829,-36.60037,-1.291442E-07,1,9.939232E-17
3.855588,0.04150655,3.109128,-36.40034,359.9,0.9000002,0
3.895617,0.03321211,3.146397,-36.20029,359.8,0.4000001,0
3.936763,0.01460707,3.190746,-36.00038,359.8,4.087252E-08,0
3.977022,-0.009018835,3.203075,-35.80205,359.8,358.3,-2.084421E-10
4.017787,-0.03727486,3.169455,-35.60417,-1.16942E-07,357.3,1.987846E-16
4.058089,-0.07180178,3.108824,-35.30616,0.09999988,356.9,0
4.099168,-0.08068063,3.094369,-35.10753,0.4999999,356.2,-1.66759E-09
4.139357,-0.07990853,3.051643,-34.90733,0.6,356,-1.667618E-09
4.180805,-0.07251417,3.011669,-34.70665,1.1,355.7,0
4.221386,-0.0637556,3.012055,-34.50576,1.7,355.2,0
4.261061,-0.05926272,3.05236,-34.30471,1.8,355.1,6.6734E-09
4.301789,-0.06250571,3.094544,-34.10425,1.8,355.1,6.6734E-09
4.342342,-0.07578962,3.109128,-33.90466,1.8,355.1,6.6734E-09
4.382796,-0.0814787,3.146397,-33.70441,1.8,355.1,6.6734E-09
4.423227,-0.07863426,3.190746,-33.50343,1.8,355.1,6.6734E-09
4.464284,-0.07215326,3.203075,-33.30214,1.8,355.1,6.6734E-09
4.503846,-0.06693339,3.169455,-33.10096,1.8,355.1,6.6734E-09
4.54418,-0.06787167,3.123841,-32.90031,1.8,355.1,6.6734E-09
4.585455,-0.07984676,3.104476,-32.70078,1.9,355.2,0
4.625147,-0.1048146,3.07512,-32.50665,2,358,-3.337086E-09
4.665657,-0.1300685,3.028855,-32.3111,2.6,0.8999995,3.33849E-09
4.706542,-0.1501724,3.005002,-32.11233,2.799999,2.7,0
4.746394,-0.1638996,3.02948,-31.91169,2.7,3.2,0
4.787116,-0.1709199,3.075782,-31.71103,2.4,3.5,0
4.827332,-0.1670378,3.104586,-31.51089,2.1,3.5,0
4.866945,-0.1603431,3.12442,-31.31098,2,3,3.337086E-09
4.908033,-0.1661972,3.170144,-31.11062,1.8,2.4,3.3367E-09
4.948231,-0.1802458,3.203287,-30.90994,1.7,2.299999,-3.336522E-09
4.989057,-0.195846,3.190222,-30.70951,1.5,2,1.668098E-09
5.030247,-0.2087824,3.145689,-30.50954,0.9999998,1.6,8.338902E-10
5.070002,-0.2144644,3.108824,-30.30931,0.9999998,1.6,8.338902E-10
5.109807,-0.2070215,3.094369,-30.10978,0.7999995,1.4,0
5.151154,-0.1881254,3.051643,-29.9125,0.7999996,359.8,0
5.191411,-0.167328,3.011669,-29.71609,1.199999,356.4,-3.335785E-09
5.230657,-0.1558709,3.012055,-29.51769,1.199999,352.3,-6.67157E-09
5.270953,-0.1614668,3.05236,-29.31724,1.199999,350.2,0
5.311396,-0.1818186,3.094829,-29.1178,1.199999,350,-6.67157E-09
5.350649,-0.2127927,3.109128,-28.92018,1.199999,350,-6.67157E-09
5.389219,-0.2362601,3.146397,-28.72123,1.199999,350,-6.67157E-09
5.429548,-0.2512926,3.190746,-28.5208,1.199999,350,-6.67157E-09
5.469138,-0.2627308,3.203075,-28.31973,1.199999,350,-6.67157E-09
5.507572,-0.2754155,3.180948,-28.11888,1.199999,350,-6.67157E-09
5.547038,-0.294545,3.16448,-27.92135,1.199999,350,-6.67157E-09
5.586294,-0.3246386,3.174375,-27.72575,1.199999,350,-6.67157E-09
5.625951,-0.3681622,3.174051,-27.53251,1.199999,350,-6.67157E-09
5.664684,-0.4214912,3.157124,-27.34077,1.199999,350,-6.67157E-09
5.70353,-0.4794496,3.162575,-27.15008,1.199999,350,-6.67157E-09
5.742064,-0.5373607,3.216356,-26.95938,1.199999,350,-6.67157E-09
5.781816,-0.5903868,3.291872,-26.76781,1.199999,349.9,0
5.821884,-0.6340274,3.349793,-26.57461,1.299999,348.2,0
5.86054,-0.6807221,3.398727,-26.38253,0.8999993,345,0
5.900271,-0.7484371,3.473105,-26.19713,-7.339744E-07,341.5,0
5.93862,-0.8333161,3.536679,-26.01888,359.8,339.2,0
5.977746,-0.8801019,3.551926,-25.93203,359.8,338.2,3.335074E-09
6.017966,-1.021871,3.540719,-25.67033,359.8,337.7,0
6.056831,-1.066697,3.534257,-25.5821,359.8,337.6,3.335074E-09
6.094105,-1.148525,3.545676,-25.40208,359.8,337.6,3.335074E-09
6.133439,-1.217793,3.546508,-25.21674,359.8,337.6,3.335074E-09
6.172739,-1.278076,3.52846,-25.02858,359.8,337.4,0
6.211926,-1.334247,3.531981,-24.83737,359.8,337.4,0
6.250246,-1.390438,3.583834,-24.64621,359.7,337.3,0
6.288636,-1.451607,3.657463,-24.4569,359.4,338.2,-6.670473E-09
6.327652,-1.518857,3.713748,-24.27045,359.3,339.4,0
6.366464,-1.584708,3.761327,-24.08383,359,341,0
6.40474,-1.634859,3.835069,-23.89223,358.7,342.4,0
6.444174,-1.674373,3.896446,-23.6977,358.4,343.2,0
6.482714,-1.70972,3.911732,-23.50318,358.2,344.5,0
6.52049,-1.743919,3.895761,-23.30979,357.9,346.1,0
6.559525,-1.781174,3.887693,-23.11672,357.7,347,0
6.598566,-1.8277,3.901213,-22.92819,357,349.2,0
6.638,-1.877453,3.888545,-22.74047,356.1,351.9,0
6.676378,-1.901256,3.880445,-22.64755,355.6,354.7,1.337965E-08
6.714993,-1.942925,3.886131,-22.45415,355.4,356.3,0
6.754754,-1.979066,3.940097,-22.2587,355.3,357.2,0
6.793871,-2.007329,4.016207,-22.06198,355.3,358.2,0
6.832773,-2.022014,4.074647,-21.86456,355.7,359.7,8.36117E-10
6.870573,-2.028601,4.124167,-21.66675,355.8,0.2999974,8.360083E-10
6.909623,-2.04387,4.199565,-21.46835,356.2,1.699998,0
6.94811,-2.060198,4.261621,-21.26798,357,4.299998,-1.335852E-08
