TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02354571,5.515347,11.97674,42.14933,14.8,25.49998,0
0.04601482,5.550252,12.01228,42.24123,14.9,24.59998,-2.208699E-07
0.06805031,5.584311,12.03678,42.33566,14.89999,23.39999,0
0.09127222,5.655096,12.06874,42.52297,14.89999,21.79999,-2.208699E-07
0.1134771,5.691334,12.07247,42.61615,14.9,20.09999,0
0.1365589,5.722092,12.08604,42.71119,14.9,17.79999,2.208699E-07
0.159633,5.746222,12.10718,42.80807,14.89999,15.79999,0
0.1825783,5.764556,12.13097,42.90536,14.9,11.79999,1.104349E-07
0.2059921,5.774282,12.1525,43.00293,14.3,7.099987,5.506705E-08
0.2286845,5.774917,12.16685,43.10075,13.8,3.199986,-2.747347E-08
0.2529019,5.762289,12.15826,43.29809,13.4,-1.394222E-05,-1.046261E-13
0.2757739,5.751448,12.13855,43.3942,13.4,357.1,2.742711E-08
0.29996,5.737197,12.11496,43.48954,13.4,354.4,0
0.3239901,5.737625,12.07001,43.48596,13.4,352,0
0.3489783,5.737993,12.07001,43.48358,13.4,350.4,-1.097084E-07
0.3730146,5.738285,12.07001,43.48195,13.4,349.3,0
0.3970278,5.738399,12.07001,43.48136,13.4,348.9,0
0.4209722,5.738428,12.07001,43.48121,13.4,348.8,0
0.4452076,5.738517,12.07001,43.48077,13.5,348.5,1.097542E-07
0.4690212,5.738701,12.07001,43.47989,13.7,347.9,0
0.4940659,5.738928,12.07001,43.47886,13.9,347.2,1.099412E-07
0.5179959,5.739133,12.07001,43.47798,14.1,346.6,0
0.5421708,5.739383,12.07001,43.47695,14.2,345.9,0
0.5669722,5.739802,12.07001,43.47535,14.5,344.8,0
0.5912384,5.74051,12.07001,43.47289,14.7,343.1,-2.206663E-07
0.6160762,5.741731,12.07001,43.46918,15,340.5,0
0.6409818,5.742841,12.07001,43.46622,15.3,338.4,0
0.6650751,5.743997,12.07001,43.46344,15.5,336.4,-2.214992E-07
0.6902316,5.744738,12.07001,43.46179,15.7,335.2,4.434304E-07
0.7150263,5.745185,12.07001,43.46084,15.8,334.5,-2.218244E-07
