"SubjectNo" "ItemOrderType" "Group" "Accuracy" "SeenHit" "ContextAccuracy"
"P13" "Late" "Familiar" 0.888888888888889 0.666666666666667 0.444444444444444
"P13" "Early" "Familiar" 0.777777777777778 0.222222222222222 0.333333333333333
"P13" "Early" "Novel" 0.666666666666667 0.333333333333333 0.111111111111111
"P13" "Late" "Novel" 0.777777777777778 0.666666666666667 0.222222222222222
"P14" "Early" "Familiar" 0.444444444444444 0.444444444444444 0.111111111111111
"P14" "Late" "Familiar" 0.555555555555556 0.222222222222222 0.333333333333333
"P14" "Early" "Novel" 0.888888888888889 0.666666666666667 0.333333333333333
"P14" "Late" "Novel" 0.777777777777778 0.555555555555556 0.111111111111111
"P15" "Late" "Familiar" 0.777777777777778 0.222222222222222 0.444444444444444
"P15" "Early" "Familiar" 0.444444444444444 0.222222222222222 0.333333333333333
"P15" "Early" "Novel" 0.555555555555556 0.222222222222222 0.222222222222222
"P15" "Late" "Novel" 0.666666666666667 0.333333333333333 0.222222222222222
"P16" "Early" "Familiar" 0.444444444444444 0.111111111111111 0.333333333333333
"P16" "Late" "Familiar" 0.777777777777778 0.555555555555556 0.555555555555556
"P16" "Early" "Novel" 0.444444444444444 0.222222222222222 0.222222222222222
"P16" "Late" "Novel" 0.555555555555556 0.333333333333333 0.333333333333333
"P18" "Early" "Familiar" 0.555555555555556 0.333333333333333 0
"P18" "Late" "Familiar" 0.666666666666667 0.111111111111111 0.333333333333333
"P18" "Early" "Novel" 0.666666666666667 0.222222222222222 0.222222222222222
"P18" "Late" "Novel" 0.444444444444444 0.111111111111111 0
"P19" "Late" "Familiar" 0.888888888888889 0.333333333333333 0.222222222222222
"P19" "Early" "Familiar" 0.555555555555556 0.222222222222222 0.111111111111111
"P19" "Late" "Novel" 0.555555555555556 0.444444444444444 0.111111111111111
"P19" "Early" "Novel" 0.444444444444444 0.111111111111111 0.444444444444444
"P20" "Early" "Familiar" 0.222222222222222 0.222222222222222 0
"P20" "Late" "Familiar" 0.444444444444444 0.333333333333333 0.333333333333333
"P20" "Late" "Novel" 0.333333333333333 0.222222222222222 0.111111111111111
"P20" "Early" "Novel" 0.222222222222222 0.222222222222222 0.222222222222222
"P22" "Early" "Novel" 0.166666666666667 0 0
"P22" "Late" "Novel" 0.666666666666667 0.333333333333333 0.166666666666667
"P22" "Early" "Familiar" 0.5 0.166666666666667 0.333333333333333
"P22" "Late" "Familiar" 0.166666666666667 0 0
"P23" "Late" "Novel" 0.666666666666667 0.444444444444444 0
"P23" "Early" "Novel" 0.888888888888889 0.888888888888889 0.222222222222222
"P23" "Late" "Familiar" 0.444444444444444 0.222222222222222 0.111111111111111
"P23" "Early" "Familiar" 0.888888888888889 0.666666666666667 0.222222222222222
"P24" "Early" "Novel" 0.555555555555556 0.222222222222222 0
"P24" "Late" "Novel" 0.222222222222222 0.222222222222222 0.111111111111111
"P24" "Late" "Familiar" 0.444444444444444 0.111111111111111 0.222222222222222
"P24" "Early" "Familiar" 0.222222222222222 0.111111111111111 0.111111111111111
"P26" "Early" "Novel" 0.888888888888889 0.555555555555556 0.444444444444444
"P26" "Late" "Novel" 1 0.777777777777778 0.222222222222222
"P26" "Early" "Familiar" 0.666666666666667 0.222222222222222 0.111111111111111
"P26" "Late" "Familiar" 0.888888888888889 0.444444444444444 0.111111111111111
"P27" "Early" "Novel" 0.666666666666667 0.444444444444444 0.333333333333333
"P27" "Late" "Novel" 0.666666666666667 0.222222222222222 0.222222222222222
"P27" "Early" "Familiar" 0.777777777777778 0.444444444444444 0.333333333333333
"P27" "Late" "Familiar" 0.666666666666667 0.333333333333333 0.444444444444444
"P28" "Early" "Novel" 0.555555555555556 0.333333333333333 0.444444444444444
"P28" "Late" "Novel" 0.111111111111111 0.111111111111111 0
"P28" "Early" "Familiar" 0.555555555555556 0.111111111111111 0.333333333333333
"P28" "Late" "Familiar" 0.222222222222222 0 0.111111111111111
"P29" "Late" "Novel" 0.666666666666667 0.222222222222222 0.333333333333333
"P29" "Early" "Novel" 0.555555555555556 0.222222222222222 0.444444444444444
"P29" "Late" "Familiar" 0.888888888888889 0.333333333333333 0.555555555555556
"P29" "Early" "Familiar" 0.555555555555556 0.333333333333333 0.111111111111111
"P30" "Late" "Familiar" 0.333333333333333 0.222222222222222 0.222222222222222
"P30" "Early" "Familiar" 0.333333333333333 0.222222222222222 0
"P30" "Late" "Novel" 0.555555555555556 0.111111111111111 0.111111111111111
"P30" "Early" "Novel" 0.222222222222222 0.111111111111111 0.111111111111111
"P31" "Early" "Novel" 0.222222222222222 0 0
"P31" "Late" "Novel" 0 0 0
"P31" "Early" "Familiar" 0.555555555555556 0.222222222222222 0.333333333333333
"P31" "Late" "Familiar" 0.666666666666667 0.222222222222222 0.222222222222222
"P32" "Early" "Novel" 0.777777777777778 0.333333333333333 0.333333333333333
"P32" "Late" "Novel" 0.111111111111111 0.111111111111111 0
"P32" "Late" "Familiar" 0.555555555555556 0.222222222222222 0.222222222222222
"P32" "Early" "Familiar" 0.444444444444444 0.444444444444444 0.444444444444444
"P33" "Early" "Familiar" 0.111111111111111 0 0.111111111111111
"P33" "Late" "Familiar" 0.333333333333333 0.111111111111111 0.222222222222222
"P33" "Late" "Novel" 0.333333333333333 0 0.222222222222222
"P33" "Early" "Novel" 0.666666666666667 0.333333333333333 0.333333333333333
"P34" "Late" "Familiar" 0.555555555555556 0 0.111111111111111
"P34" "Early" "Familiar" 0.555555555555556 0 0
"P34" "Early" "Novel" 0.666666666666667 0.111111111111111 0.555555555555556
"P34" "Late" "Novel" 0.777777777777778 0.111111111111111 0.333333333333333
"P35" "Late" "Novel" 0.555555555555556 0.222222222222222 0.222222222222222
"P35" "Early" "Novel" 0.444444444444444 0.111111111111111 0.111111111111111
"P35" "Early" "Familiar" 0.555555555555556 0 0.111111111111111
"P35" "Late" "Familiar" 0.444444444444444 0 0.222222222222222
"P36" "Early" "Novel" 0.777777777777778 0.555555555555556 0.222222222222222
"P36" "Late" "Novel" 0.444444444444444 0.333333333333333 0.111111111111111
"P36" "Early" "Familiar" 0.333333333333333 0.222222222222222 0.111111111111111
"P36" "Late" "Familiar" 0.444444444444444 0.111111111111111 0.111111111111111
"P37" "Early" "Familiar" 0.777777777777778 0.222222222222222 0.111111111111111
"P37" "Late" "Familiar" 0.777777777777778 0.666666666666667 0.333333333333333
"P37" "Early" "Novel" 0.888888888888889 0.777777777777778 0.444444444444444
"P37" "Late" "Novel" 0.777777777777778 0.222222222222222 0
"P38" "Early" "Familiar" 0.666666666666667 0.222222222222222 0.444444444444444
"P38" "Late" "Familiar" 0.666666666666667 0.333333333333333 0.111111111111111
"P38" "Early" "Novel" 0.555555555555556 0.333333333333333 0.111111111111111
"P38" "Late" "Novel" 0.666666666666667 0.333333333333333 0.333333333333333
"P39" "Late" "Novel" 0.333333333333333 0.111111111111111 0.222222222222222
"P39" "Early" "Novel" 0.777777777777778 0.555555555555556 0.333333333333333
"P39" "Early" "Familiar" 0.444444444444444 0.444444444444444 0.111111111111111
"P39" "Late" "Familiar" 0.666666666666667 0.444444444444444 0.222222222222222
"P40" "Early" "Novel" 0.333333333333333 0 0.111111111111111
"P40" "Late" "Novel" 0.222222222222222 0 0.111111111111111
"P40" "Early" "Familiar" 0.222222222222222 0.111111111111111 0
"P40" "Late" "Familiar" 0.333333333333333 0 0.222222222222222
"P41" "Early" "Familiar" 0.222222222222222 0 0
"P41" "Late" "Familiar" 0.222222222222222 0 0
"P41" "Late" "Novel" 0.111111111111111 0 0
"P41" "Early" "Novel" 0.222222222222222 0 0.111111111111111
"P42" "Early" "Familiar" 0.888888888888889 0.777777777777778 0.333333333333333
"P42" "Late" "Familiar" 1 0.555555555555556 0.333333333333333
"P42" "Late" "Novel" 0.888888888888889 0.555555555555556 0.111111111111111
"P42" "Early" "Novel" 0.888888888888889 0.666666666666667 0.222222222222222
"P43" "Early" "Novel" 0.888888888888889 0.888888888888889 0.333333333333333
"P43" "Late" "Novel" 0.666666666666667 0.666666666666667 0.222222222222222
"P43" "Late" "Familiar" 0.777777777777778 0.666666666666667 0.111111111111111
"P43" "Early" "Familiar" 0.666666666666667 0.555555555555556 0.111111111111111
"P44" "Late" "Novel" 0.444444444444444 0.222222222222222 0.333333333333333
"P44" "Early" "Novel" 0.888888888888889 0.333333333333333 0.222222222222222
"P44" "Early" "Familiar" 0.666666666666667 0.444444444444444 0.222222222222222
"P44" "Late" "Familiar" 0.444444444444444 0.222222222222222 0.333333333333333
"P45" "Late" "Novel" 0.555555555555556 0.333333333333333 0
"P45" "Early" "Novel" 0.888888888888889 0.444444444444444 0
"P45" "Late" "Familiar" 0.444444444444444 0.111111111111111 0.333333333333333
"P45" "Early" "Familiar" 0.888888888888889 0.555555555555556 0.333333333333333
