"SubjectNo" "ItemOrderType" "CuriosityRatingType" "Accuracy" "SeenHit" "ContextAccuracy"
"P13" "Early" "Low" 1 1 0.333333333333333
"P13" "Late" "Low" 1 1 1
"P13" "Early" "High" 0.888888888888889 0.666666666666667 0.222222222222222
"P13" "Late" "High" 1 0.888888888888889 0.111111111111111
"P14" "Late" "High" 0.833333333333333 0.583333333333333 0.416666666666667
"P14" "Early" "High" 0.833333333333333 0.416666666666667 0.25
"P14" "Late" "Low" 1 1 0.666666666666667
"P14" "Early" "Low" 1 0.666666666666667 0.333333333333333
"P15" "Late" "Low" 1 0.666666666666667 0.333333333333333
"P15" "Early" "Low" 0.333333333333333 0 0.333333333333333
"P15" "Early" "High" 0.888888888888889 0.777777777777778 0.555555555555556
"P15" "Late" "High" 0.777777777777778 0.333333333333333 0.333333333333333
"P16" "Late" "Low" 0 0 0
"P16" "Early" "Low" 0.333333333333333 0.333333333333333 0
"P16" "Late" "High" 0.416666666666667 0.0833333333333333 0.0833333333333333
"P16" "Early" "High" 0.583333333333333 0.416666666666667 0.333333333333333
"P17" "Early" "Low" 0.333333333333333 0 0.333333333333333
"P17" "Late" "Low" 0.333333333333333 0 0
"P17" "Early" "High" 0.333333333333333 0 0
"P17" "Late" "High" 0 0 0
"P18" "Late" "Low" 0.833333333333333 0.833333333333333 0.5
"P18" "Early" "Low" 1 0.666666666666667 0.166666666666667
"P18" "Late" "High" 0.888888888888889 0.222222222222222 0.444444444444444
"P18" "Early" "High" 0.555555555555556 0.222222222222222 0.222222222222222
"P19" "Early" "High" 0.75 0.5 0.25
"P19" "Late" "High" 0.75 0.416666666666667 0.5
"P19" "Late" "Low" 0.5 0.5 0
"P19" "Early" "Low" 0.833333333333333 0.333333333333333 0.5
"P20" "Early" "High" 0.666666666666667 0.555555555555556 0.333333333333333
"P20" "Late" "High" 0.666666666666667 0.666666666666667 0.555555555555556
"P20" "Early" "Low" 0.833333333333333 0.833333333333333 0.166666666666667
"P20" "Late" "Low" 1 1 0
"P21" "Early" "High" 1 0.666666666666667 0.333333333333333
"P21" "Late" "High" 0.888888888888889 0.333333333333333 0.111111111111111
"P21" "Late" "Low" 0.833333333333333 0.5 0.166666666666667
"P21" "Early" "Low" 1 0.833333333333333 0.166666666666667
"P22" "Early" "High" 0.833333333333333 0.166666666666667 0
"P22" "Late" "High" 0.666666666666667 0.666666666666667 0.333333333333333
"P22" "Late" "Low" 0.833333333333333 0.5 0.166666666666667
"P22" "Early" "Low" 0.5 0.166666666666667 0
"P23" "Late" "High" 0.666666666666667 0.583333333333333 0.25
"P23" "Early" "High" 0.75 0.666666666666667 0.0833333333333333
"P24" "Late" "High" 0.888888888888889 0.333333333333333 0.222222222222222
"P24" "Early" "High" 0.444444444444444 0.333333333333333 0.222222222222222
"P24" "Early" "Low" 0.833333333333333 0.333333333333333 0.5
"P24" "Late" "Low" 0.666666666666667 0.333333333333333 0.333333333333333
"P26" "Late" "High" 0.888888888888889 0.777777777777778 0.555555555555556
"P26" "Early" "High" 0.777777777777778 0.555555555555556 0.333333333333333
"P26" "Late" "Low" 0.777777777777778 0.555555555555556 0.444444444444444
"P26" "Early" "Low" 0.333333333333333 0.333333333333333 0.111111111111111
"P27" "Late" "High" 1 0.888888888888889 0.444444444444444
"P27" "Early" "High" 1 1 0.555555555555556
"P27" "Late" "Low" 0.833333333333333 0.666666666666667 0.166666666666667
"P27" "Early" "Low" 1 1 0.166666666666667
"P28" "Early" "High" 0.444444444444444 0.444444444444444 0.222222222222222
"P28" "Late" "High" 0.666666666666667 0.666666666666667 0.111111111111111
"P28" "Late" "Low" 0.666666666666667 0.555555555555556 0.222222222222222
"P28" "Early" "Low" 0.333333333333333 0.333333333333333 0.222222222222222
"P29" "Early" "High" 1 0.333333333333333 0.333333333333333
"P29" "Late" "High" 1 0.333333333333333 0.333333333333333
"P29" "Late" "Low" 1 0.555555555555556 0.333333333333333
"P29" "Early" "Low" 0.777777777777778 0.666666666666667 0.555555555555556
"P30" "Late" "High" 0.666666666666667 0.555555555555556 0.222222222222222
"P30" "Early" "High" 0.454545454545455 0.363636363636364 0.181818181818182
"P31" "Early" "High" 0.777777777777778 0.555555555555556 0.333333333333333
"P31" "Late" "High" 0.888888888888889 0.333333333333333 0.333333333333333
"P31" "Early" "Low" 0.666666666666667 0.333333333333333 0.444444444444444
"P31" "Late" "Low" 0.777777777777778 0.333333333333333 0.111111111111111
"P32" "Late" "High" 0.777777777777778 0.666666666666667 0.111111111111111
"P32" "Early" "High" 0.777777777777778 0.444444444444444 0.111111111111111
"P32" "Early" "Low" 0.777777777777778 0.666666666666667 0.222222222222222
"P32" "Late" "Low" 0.777777777777778 0.777777777777778 0.444444444444444
"P33" "Late" "Low" 0.555555555555556 0.333333333333333 0.222222222222222
"P33" "Early" "Low" 0.666666666666667 0.555555555555556 0.333333333333333
"P33" "Early" "High" 0.666666666666667 0.444444444444444 0.222222222222222
"P33" "Late" "High" 0.888888888888889 0.555555555555556 0.111111111111111
"P34" "Early" "Low" 0.666666666666667 0.444444444444444 0.111111111111111
"P34" "Late" "Low" 0.777777777777778 0.444444444444444 0.222222222222222
"P34" "Late" "High" 0.888888888888889 0.666666666666667 0.333333333333333
"P34" "Early" "High" 1 0.777777777777778 0.666666666666667
"P35" "Late" "High" 0.777777777777778 0.444444444444444 0.444444444444444
"P35" "Early" "High" 0.888888888888889 0.222222222222222 0.444444444444444
"P35" "Early" "Low" 0.5 0.166666666666667 0.333333333333333
"P35" "Late" "Low" 0.833333333333333 0.5 0.333333333333333
"P36" "Early" "High" 0.833333333333333 0.583333333333333 0.416666666666667
"P36" "Late" "High" 0.75 0.5 0.166666666666667
"P36" "Late" "Low" 1 0.666666666666667 0.333333333333333
"P36" "Early" "Low" 1 0.333333333333333 0.333333333333333
"P37" "Late" "Low" 0.888888888888889 0.222222222222222 0.666666666666667
"P37" "Early" "Low" 0.777777777777778 0.444444444444444 0.222222222222222
