"SubjectNo","Context","Group","CurRating","RoomOrder","Duration","SFHit","SHit","SrcHit","SFFalse","SFalse","SrcFalse","SFAcc","SAcc","SrcAcc"
"P13","Bedroom","Familiar",4,"First",NA,1,0.666666666666667,0.5,0.222222222222222,0.0555555555555556,0.037037037037037,0.777777777777778,0.611111111111111,0.462962962962963
"P13","Classroom","Familiar",4,"Second",NA,1,0.833333333333333,0.333333333333333,0.222222222222222,0.0555555555555556,0.037037037037037,0.777777777777778,0.777777777777778,0.296296296296296
"P13","Gym","Familiar",3,"Second",NA,1,1,0.666666666666667,0.222222222222222,0.0555555555555556,0.037037037037037,0.777777777777778,0.944444444444444,0.62962962962963
"P13","Library","Novel",6,"First",NA,0.833333333333333,0.666666666666667,0,0.222222222222222,0.0555555555555556,0.037037037037037,0.611111111111111,0.611111111111111,-0.037037037037037
"P13","LivingRoom","Novel",7,"Second",NA,1,0.833333333333333,0.333333333333333,0.222222222222222,0.0555555555555556,0.037037037037037,0.777777777777778,0.777777777777778,0.296296296296296
"P13","StorageRoom","Novel",7,"First",NA,1,0.833333333333333,0.166666666666667,0.222222222222222,0.0555555555555556,0.037037037037037,0.777777777777778,0.777777777777778,0.12962962962963
"P14","Bedroom","Familiar",5,"Second",NA,1,0.666666666666667,0.333333333333333,0.0555555555555556,0,0.0185185185185185,0.944444444444444,0.666666666666667,0.314814814814815
"P14","Classroom","Familiar",3,"Second",NA,1,0.833333333333333,0.5,0.0555555555555556,0,0.0185185185185185,0.944444444444444,0.833333333333333,0.481481481481482
"P14","Gym","Familiar",4,"Second",NA,1,0.5,0.5,0.0555555555555556,0,0.0185185185185185,0.944444444444444,0.5,0.481481481481482
"P14","Library","Novel",7,"First",NA,0.666666666666667,0.5,0.333333333333333,0.0555555555555556,0,0.0185185185185185,0.611111111111111,0.5,0.314814814814815
"P14","LivingRoom","Novel",7,"First",NA,0.833333333333333,0.333333333333333,0.333333333333333,0.0555555555555556,0,0.0185185185185185,0.777777777777778,0.333333333333333,0.314814814814815
"P14","StorageRoom","Novel",6,"First",NA,0.833333333333333,0.5,0.333333333333333,0.0555555555555556,0,0.0185185185185185,0.777777777777778,0.5,0.314814814814815
"P15","Bedroom","Familiar",4,"First",NA,0.666666666666667,0.666666666666667,0,0.0555555555555556,0,0.0185185185185185,0.611111111111111,0.666666666666667,-0.0185185185185185
"P15","Classroom","Familiar",1,"Second",NA,0.666666666666667,0.333333333333333,0.333333333333333,0.0555555555555556,0,0.0185185185185185,0.611111111111111,0.333333333333333,0.314814814814815
"P15","Gym","Familiar",4,"Second",NA,0.833333333333333,0.333333333333333,0.166666666666667,0.0555555555555556,0,0.0185185185185185,0.777777777777778,0.333333333333333,0.148148148148148
