"SubjectNo","High_Early","High_Later","Low_Early","Low_Later","NA_Early","NA_Later"
"P13",0.0555555555555556,0.166666666666667,0.611111111111111,0.277777777777778,0.111111111111111,0.444444444444444
"P14",0.259259259259259,0.0925925925925926,0,0.259259259259259,0,0.259259259259259
"P15",0.0555555555555556,0.0555555555555556,0.5,0.5,0,0.166666666666667
"P16",0.12962962962963,0.37962962962963,0.62962962962963,0.62962962962963,0.296296296296296,0.296296296296296
"P18",0,0,0,0.37037037037037,0.203703703703704,0
"P19",0.203703703703704,0.037037037037037,0.037037037037037,0.037037037037037,NA,NA
"P20",0.185185185185185,0.185185185185185,0,0.296296296296296,0,0
"P22",0,0.0740740740740741,0.240740740740741,0,NA,NA
"P23",0.0833333333333333,0,NA,NA,0,0
"P24",0,0.037037037037037,0,0.0925925925925926,0.259259259259259,0.259259259259259
"P26",0.296296296296296,0.0740740740740741,0,0,NA,NA
"P27",0.203703703703704,0.0925925925925926,0.037037037037037,0.203703703703704,0.537037037037037,0.537037037037037
"P28",0.37037037037037,0,0.259259259259259,0.037037037037037,NA,NA
"P29",0.444444444444444,0.277777777777778,0.0555555555555556,0.5,0.277777777777778,0.277777777777778
"P30",0,0.0740740740740741,NA,NA,0,0.0740740740740741
"P31",0,0,0.259259259259259,0.148148148148148,NA,NA
"P32",0.166666666666667,0,0.277777777777778,0.0555555555555556,NA,NA
"P33",0.333333333333333,0.222222222222222,0.111111111111111,0.222222222222222,NA,NA
"P34",0.388888888888889,0.166666666666667,0,0,NA,NA
"P35",0,0.0555555555555556,0,0.166666666666667,0,0
"P36",0,0,0,0.166666666666667,0.166666666666667,0.166666666666667
"P37",0.388888888888889,0,0.0555555555555556,0.277777777777778,NA,NA
"P38",0.174074074074074,0.174074074074074,0.240740740740741,0,NA,NA
"P39",0.157407407407407,0.0740740740740741,0,0.240740740740741,0.240740740740741,0.240740740740741
"P40",0.0740740740740741,0.0740740740740741,0,0.185185185185185,NA,NA
"P42",0,0,0.166666666666667,0.166666666666667,0.166666666666667,0
"P43",0.174074074074074,0.0407407407407407,NA,NA,0,0.240740740740741
"P44",0.0555555555555556,0.166666666666667,0,0,0.166666666666667,0.5
"P45",0.12037037037037,0.12037037037037,NA,NA,0,0
"P46",0,0,0,0.148148148148148,0.481481481481481,0
"P47",0.314814814814815,0.0925925925925926,0,0.203703703703704,NA,NA
"P48",0,0.0555555555555556,0,0,0.5,0.833333333333333
"P49",0.0555555555555556,0,0,0,0,0.222222222222222
"P50",0.240740740740741,0.0185185185185185,0.0185185185185185,0.0185185185185185,NA,NA
"P52",0,0.0222222222222222,0,0.0222222222222222,NA,NA
"P53",0,0,0.037037037037037,0.259259259259259,NA,NA
"P55",0.0925925925925926,0.0925925925925926,0,0,0.203703703703704,0.203703703703704
"P56",0.0925925925925926,0.425925925925926,0.148148148148148,0.037037037037037,0.592592592592593,0
"P57",0.037037037037037,0.037037037037037,0,0.148148148148148,NA,NA
"P58",0.277777777777778,0,0.111111111111111,0.111111111111111,0.277777777777778,0
