TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.01905517,6.63722,12.01949,42.15553,18.00002,32.5,4.488554E-07
0.03958362,6.683458,12.00204,42.2436,18.00002,32.5,4.488554E-07
0.05918634,6.728328,11.98222,42.33427,18.10002,32,4.491108E-07
0.07862791,6.771855,11.97098,42.42611,18.30001,31.00001,4.496265E-07
0.0982101,6.813438,11.97289,42.51857,18.40002,30.1,4.498869E-07
0.1184404,6.853786,11.98695,42.61126,18.50002,29.3,0
0.1374802,6.89352,12.00834,42.70367,18.50002,29.2,0
0.1571953,6.934489,12.03214,42.79533,18.50002,29.2,0
0.1765794,6.977407,12.05342,42.88591,18.50002,29.2,0
0.196297,7.022812,12.06729,42.97509,18.50002,29.2,0
0.2164976,7.070742,12.07109,43.06286,18.50002,29.2,0
0.2351802,7.11679,12.08256,43.15167,18.60002,29.1,0
0.2556296,7.160043,12.10258,43.24197,18.80002,28.7,-4.509451E-07
0.2743964,7.200391,12.12623,43.33335,19.50002,27.2,-4.528624E-07
0.294893,7.236585,12.1486,43.42618,20.10003,25.4,4.545729E-07
0.3148883,7.268284,12.16479,43.51938,21.10002,22.2,0
0.3347691,7.294064,12.16986,43.61395,21.70002,19.2,2.297234E-07
0.3547546,7.314479,12.1613,43.70816,22.00002,15.3,2.302062E-07
0.3751923,7.329149,12.14296,43.80363,22.00002,12.2,2.302062E-07
0.395147,7.33964,12.11974,43.8978,21.60002,8.299997,0
0.4160983,7.345716,12.09645,43.99357,21.20002,5.599998,1.144685E-07
0.4375397,7.349716,12.07814,44.08749,21.10002,1.999997,0
0.4595665,7.351003,12.06989,44.18018,21.10002,357.8,0
0.4815093,7.351357,12.06979,44.17478,21.10002,354.7,0
0.5049699,7.352388,12.06979,44.167,21.10002,350.2,1.143912E-07
0.5284157,7.353899,12.06979,44.15983,21.10002,346,-2.287825E-07
0.551491,7.356207,12.06979,44.15196,21.10002,341.3,0
0.5751348,7.358674,12.06979,44.14544,21.10002,337.3,0
