TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03362789,6.217101,12.05918,42.34142,14.90001,18.70001,0
0.04897394,6.217101,12.05918,42.34142,14.90001,18.70001,0
0.06574965,6.254713,12.03992,42.43443,15.00001,18.80001,2.209729E-07
0.08270086,6.294761,12.01643,42.52643,15.00001,18.80001,2.209729E-07
0.09926824,6.33654,11.99367,42.61784,15.00001,18.80001,2.209729E-07
0.1326431,6.33654,12.07,42.61784,15.00001,18.80001,2.209729E-07
0.1495471,6.336499,12.07,42.61772,15.10001,18.70001,2.210766E-07
0.1662248,6.336338,12.07,42.61724,15.20001,18.30001,2.211811E-07
0.1829174,6.336179,12.07,42.61676,15.20001,17.90001,2.211811E-07
0.1998743,6.336024,12.07,42.61627,15.20001,17.50001,4.423622E-07
0.2334888,6.335652,12.07,42.61505,15.20001,16.50001,0
0.2496611,6.335404,12.07,42.6142,15.20001,15.80001,2.211811E-07
0.266035,6.335004,12.07,42.61272,15.20001,14.60001,0
0.2831868,6.33449,12.07,42.61062,15.20001,12.90001,0
0.2999666,6.333917,12.07,42.60788,14.90001,10.70001,0
0.3341123,6.332864,12.07,42.59994,14.30001,4.400011,0
0.3501804,6.332656,12.07,42.59536,14.30001,0.8000098,6.883383E-09
0.3675652,6.332763,12.07,42.59027,14.30001,356.8,0
0.384481,6.33329,12.07,42.5847,14.30001,352.4,0
0.4180971,6.336218,12.07,42.57181,14.30001,342,-2.202683E-07
0.4351027,6.33777,12.07,42.5675,14.30001,338.4,0
0.4702429,6.340482,12.07,42.56146,14.30001,333.2,0
0.4870432,6.341609,12.07,42.55932,14.20001,331.3,0
0.5043767,6.342356,12.07,42.55799,14.00001,330.1,-4.399554E-07
0.5377665,6.34274,12.07,42.55733,13.80001,329.5,-2.197877E-07
0.5533116,6.34274,12.07,42.55733,13.80001,329.5,-2.197877E-07
0.587912,6.342869,12.07,42.55711,13.80001,329.3,2.197878E-07
0.6041453,6.343197,12.07,42.55656,13.60001,328.8,0
0.638176,6.344553,12.07,42.55441,12.10001,326.8,-2.182932E-07
0.6540871,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.6873947,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.7038518,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.7379045,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.7540311,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.7876867,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.8036542,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.8370265,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.8540573,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.8704641,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.9039026,6.344623,12.07,42.55431,12.10001,326.7,2.182932E-07
0.9202729,6.344553,12.07,42.55441,12.20001,326.8,2.183752E-07
0.9546546,6.344002,12.07,42.55527,13.00001,327.6,0
0.9706128,6.343663,12.07,42.55581,13.30001,328.1,0
1.003936,6.342041,12.07,42.55854,13.60001,330.6,0
1.02067,6.341305,12.07,42.55988,13.90001,331.8,0
1.054065,6.34003,12.07,42.56237,14.20001,334,0
1.070007,6.339321,12.07,42.56387,14.40001,335.3,-2.203666E-07
1.103925,6.338103,12.07,42.56667,14.70001,337.7,-2.206663E-07
1.119521,6.337677,12.07,42.56773,14.70001,338.6,0
1.152477,6.286124,11.97001,42.7629,14.70001,339.2,2.206663E-07
1.167941,6.286124,11.97001,42.7629,14.70001,339.2,2.206663E-07
1.184914,6.261728,11.97717,42.86061,14.70001,339.2,2.206663E-07
1.218459,6.210599,12.01757,43.05513,14.70001,339.2,2.206663E-07
1.234341,6.182716,12.04098,43.1515,14.70001,339.2,2.206663E-07
1.267831,6.152522,12.05996,43.24701,14.70001,339.2,2.206663E-07
1.284142,6.119443,12.06962,43.34142,14.70001,339.2,2.206663E-07
1.301245,6.085053,12.07392,43.43533,14.70001,339.2,2.206663E-07
1.334728,6.024714,12.11161,43.62632,14.70001,339.2,2.206663E-07
1.350931,5.997853,12.13535,43.72308,14.70001,339.2,2.206663E-07
1.367514,5.997853,12.13535,43.72308,14.70001,339.2,2.206663E-07
1.400949,5.947824,12.16835,43.91802,14.70001,339.2,2.206663E-07
1.417288,5.923508,12.16801,44.01575,14.70001,339.2,2.206663E-07
1.451394,5.873397,12.13425,44.21066,14.70001,339.2,2.206663E-07
1.467111,5.873397,12.13425,44.21066,14.70001,339.2,2.206663E-07
1.484375,5.873397,12.07,44.21066,14.70001,339.2,2.206663E-07
1.517905,5.873446,12.07,44.21054,14.80001,339.3,0
1.534665,5.873397,12.07,44.21066,14.90001,339.2,2.208699E-07
1.568156,5.873101,12.07,44.21143,15.10001,338.6,0
1.584321,5.872899,12.07,44.21194,15.20001,338.2,-4.423622E-07
1.60106,5.872536,12.07,44.21283,15.30001,337.5,0
1.634385,5.871945,12.07,44.21422,15.70001,336.4,0
1.650841,5.871835,12.07,44.21447,15.70001,336.2,0
1.667599,5.871779,12.07,44.2146,15.80001,336.1,2.218244E-07
1.701541,5.871779,12.07,44.2146,15.80001,336.1,2.218244E-07
1.717539,5.871779,12.07,44.2146,15.80001,336.1,2.218244E-07
1.751554,5.871779,12.07,44.2146,15.80001,336.1,2.218244E-07
1.767366,5.871779,12.07,44.2146,15.80001,336.1,2.218244E-07
1.801164,5.871779,12.07,44.2146,15.80001,336.1,2.218244E-07
1.817342,5.871724,12.07,44.21473,15.9,336,2.219344E-07
1.834283,5.871724,12.07,44.21473,15.9,336,2.219344E-07
1.867731,5.871668,12.07,44.21485,16.00001,335.9,-4.440901E-07
1.884244,5.871668,12.07,44.21485,16.00001,335.9,-4.440901E-07
1.900777,5.871668,12.07,44.21485,16.00001,335.9,-4.440901E-07
1.934418,5.871668,12.07,44.21485,16.00001,335.9,-4.440901E-07
1.950343,5.871668,12.07,44.21485,16.00001,335.9,-4.440901E-07
