"Item" "Order" "SubjectNo" "Room"
"Jug" 1 "P45" "Bedroom"
"BallonDog" 2 "P45" "Bedroom"
"RockingHorse" 3 "P45" "Bedroom"
"CoffeeMachine" 4 "P45" "Bedroom"
"UGGboot" 5 "P45" "Bedroom"
"CokeCan" 6 "P45" "Bedroom"
"NailScissors" 1 "P45" "Classroom"
"Pumpkin" 2 "P45" "Classroom"
"HTCVive" 3 "P45" "Classroom"
"Toothpaste" 4 "P45" "Classroom"
"Chaynik" 5 "P45" "Classroom"
"Canister" 6 "P45" "Classroom"
"DeskLight" 1 "P45" "Gym"
"FirstAidKit" 2 "P45" "Gym"
"Recorder" 3 "P45" "Gym"
"Pinza" 4 "P45" "Gym"
"ShowerHead" 5 "P45" "Gym"
"TennisBall" 6 "P45" "Gym"
"Clamps" 1 "P45" "Library"
"Matrioshka" 2 "P45" "Library"
"Microphone" 3 "P45" "Library"
"CinRoll" 4 "P45" "Library"
"Basket" 5 "P45" "Library"
"Bread" 6 "P45" "Library"
"PaperCoffeeCup" 1 "P45" "LivingRoom"
"Router" 2 "P45" "LivingRoom"
"StrawberryDonut" 3 "P45" "LivingRoom"
"MosquitoRacket" 4 "P45" "LivingRoom"
"Laptop" 5 "P45" "LivingRoom"
"WineBottle" 6 "P45" "LivingRoom"
"Glasses" 1 "P45" "StorageRoom"
"Official hat" 2 "P45" "StorageRoom"
"FireExtinguisher" 3 "P45" "StorageRoom"
"OldRadio" 4 "P45" "StorageRoom"
"MobilePhone" 5 "P45" "StorageRoom"
"Hammer" 6 "P45" "StorageRoom"
