TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.06857203,0,4.42152,-39,0,0,0
0.1527523,0,4.217472,-39,0,0,0
0.2161763,0,3.982032,-39,0,0,0
0.3028942,0,3.55824,-39,0,0,0
0.3676293,0,3.105,-39,0,0,0
0.4641984,0,3.052632,-39,0,0,0
0.5388688,0,3.012632,-39,0.1,0,0
0.5987571,0,3.025,-39,0.3,0,0
0.6909674,0,3.075,-39,0.8000001,359.9,0
0.7496318,0,3.105,-39,0.8000001,359.9,0
0.8425251,0,3.105,-39,0.8000001,359.9,0
0.9057423,0,3.105,-39,0.8000001,359.9,0
1.001502,0,3.105,-39,0.8000001,359.9,0
1.080128,0,3.105,-39,0.8000001,359.9,0
1.138468,0,3.105,-39,0.8000001,359.9,0
1.232331,0,3.105,-39,0.8000001,359.9,0
1.294071,0,3.105,-39,0.8000001,359.9,0
1.386639,0,3.105,-39,0.7000001,359.9,5.211409E-11
1.469907,0,3.105,-39,0.6000002,359.9,5.211307E-11
1.52945,0.0119903,3.146398,-38.69998,0.6000002,359.9,5.211307E-11
1.621754,0.05494369,3.203075,-38.2999,0.6000002,359.9,5.211307E-11
1.682903,0.08598708,3.145689,-37.99985,0.6000002,359.9,5.211307E-11
1.775836,0.08872201,3.07512,-37.49984,0.6000002,359.9,5.211307E-11
1.858714,0.04650438,3.005002,-37.09991,0.6000002,359.9,5.211307E-11
1.917302,0.01278701,3.052361,-36.79997,0.6000002,359.9,5.211307E-11
2.011054,-0.01013032,3.12442,-36.30001,0.6000002,359.9,5.211307E-11
2.072762,-0.03775074,3.190746,-36.00006,0.6000002,359.9,5.211307E-11
2.161628,-0.08448464,3.169455,-35.60014,0.6000002,359.9,5.211307E-11
2.223094,-0.1054609,3.108824,-35.30018,0.6000002,359.9,5.211307E-11
2.313948,-0.0803498,3.028854,-34.80013,0.6000002,359.9,5.211307E-11
2.398183,-0.03468679,3.02948,-34.40005,0.6000002,359.9,5.211307E-11
2.4555,-0.01128788,3.094829,-34.10001,0.6000002,359.9,5.211307E-11
2.551073,0.01232609,3.170145,-33.59997,0.6000002,359.9,5.211307E-11
2.612229,0.04621698,3.203075,-33.29991,0.6000002,359.9,5.211307E-11
2.7019,0.08410832,3.123841,-32.89985,0.6000002,359.9,5.211307E-11
2.763518,0.08596478,3.094369,-32.59984,0.6000002,359.9,5.211307E-11
2.8548,0.03777781,3.005002,-32.09992,0.6000002,359.9,5.211307E-11
2.937724,-0.004292989,3.075782,-31.7,0.6000002,359.9,5.211307E-11
2.999835,-0.01434216,3.109128,-31.40001,0.6000002,359.9,5.211307E-11
3.089988,-0.05832824,3.203287,-30.90009,0.6000002,359.9,5.211307E-11
3.148416,-0.09321119,3.169455,-30.60015,0.6000002,359.9,5.211307E-11
3.24219,-0.1152222,3.104476,-30.20089,0.3000002,359.5,0
3.30392,-0.101049,3.051643,-29.90205,0.1000002,358.6,1.042206E-10
3.394791,-0.05683163,3.02948,-29.4012,359.9,357.8,-2.084411E-10
3.477878,-0.04565258,3.104586,-29.00048,359.4,356.2,1.667618E-09
3.534747,-0.0529517,3.146398,-28.70019,359.3,355.7,3.335302E-09
3.628653,-0.03536484,3.191212,-28.19651,359.1,354.9,0
3.67756,-0.03359686,3.176229,-27.99684,358.9,354.3,0
3.770993,-0.08044653,3.179459,-27.50245,358.6,353,0
3.837841,-0.146875,3.160174,-27.21111,358.5,352.5,1.334479E-08
3.892526,-0.2212876,3.221968,-26.92198,358.4,352.2,6.672708E-09
3.974341,-0.302503,3.355898,-26.53375,358.3,352,0
4.048894,-0.3805224,3.480194,-26.14502,358.3,352,0
4.101345,-0.4309366,3.546211,-25.95261,358.3,352,0
4.186139,-0.5515624,3.549149,-25.47155,358.3,352,0
4.258856,-0.5962549,3.569079,-25.17903,358.3,352,0
4.31126,-0.6146693,3.547787,-24.88238,358.3,352,0
4.395345,-0.6250389,3.607057,-24.48429,358.3,352,0
4.46309,-0.6435429,3.716354,-24.18723,358.3,352,0
4.531192,-0.6847963,3.826683,-23.79383,358.3,352,0
4.582633,-0.6931429,3.900433,-23.59523,358.3,352,0
4.659196,-0.7038296,3.938065,-23.19719,358.3,352,0
4.713246,-0.725965,3.921484,-22.90033,358.3,352,0
4.800031,-0.7979598,3.923073,-22.51089,358.3,352,0
4.851377,-0.8731147,3.920428,-22.2218,358.3,352,0
4.933553,-1.079265,4.029151,-21.94597,358.3,352,0
4.980933,-1.200255,4.076602,-21.83525,358.3,352,0
5.067313,-1.503444,4.188783,-21.55857,358.3,352,0
5.119474,-1.634515,4.23654,-21.44417,358.3,352,0
5.202614,-1.79847,4.243083,-21.09144,358.3,352,0
5.249514,-1.855195,4.245444,-20.80061,358.3,352,0
5.315115,-1.785666,4.235293,-20.60501,358.3,352,0
5.399767,-1.585612,4.206676,-20.43371,358.3,352,0
5.4487,-1.433248,4.254214,-20.30479,358.3,352,0
5.533774,-1.242787,4.34717,-20.13449,358.3,352,0
5.582326,-1.156585,4.368844,-20.05032,358.2,352,0
5.660847,-0.9669888,4.458367,-19.88039,358.7,354.1,6.671824E-09
5.730923,-0.7546369,4.512095,-19.7009,359.5,356.2,1.66759E-09
5.78281,-0.6455277,4.495925,-19.60819,359.9,357.3,-2.084411E-10
5.863469,-0.4369649,4.460859,-19.42068,0.3000002,358.6,4.168874E-10
5.908977,-0.3006968,4.455056,-19.27595,0.4000002,359.2,0
5.990421,-0.1400841,4.414822,-19.08227,0.6000003,359.9,5.211307E-11
6.061037,-0.02284138,4.452633,-18.93493,0.7000003,0.6,0
6.110002,0.1030703,4.533029,-18.78491,0.8000003,0.8,0
6.192216,0.2924004,4.600009,-18.58483,0.8000003,1.1,-8.338445E-10
6.243903,0.3801327,4.652736,-18.48381,0.8000004,1.6,-8.338445E-10
6.326767,0.5845152,4.727801,-18.22832,0.8000003,2.1,0
6.390808,0.7120168,4.694327,-18.07364,0.8000003,2.2,-1.667689E-09
6.439735,0.8055052,4.680066,-17.97057,0.8000003,2.4,0
6.525746,1.022865,4.665723,-17.76461,0.9000005,2.6,0
6.572202,1.204425,4.636116,-17.6114,0.9000005,2.6,0
6.658078,1.450112,4.699537,-17.40719,0.9000005,2.6,0
6.705816,1.567354,4.754991,-17.30482,0.9000005,2.6,0
6.792822,1.84098,4.849327,-17.04801,0.9000005,2.6,0
6.839536,1.95997,4.905187,-16.94572,0.9000005,2.6,0
6.904523,2.144709,4.952769,-16.79256,0.9000005,2.6,0
6.989213,2.442694,4.906325,-16.53649,0.9000004,2.4,1.667732E-09
7.037133,2.548927,4.907883,-16.43373,1,2.2,-1.66778E-09
7.124367,2.73189,4.876645,-16.22668,1,0.7999999,4.169451E-10
7.171493,2.85234,4.867137,-16.07483,0.5000003,357.9,0
7.254061,2.999813,4.961877,-15.85899,358.6,351.1,0
7.319699,3.037103,5.047162,-15.60204,358.1,349.2,0
7.365973,3.076138,5.144388,-15.3213,358.1,349.2,0
7.443501,2.986893,5.23735,-15.03651,357.8,348.4,0
7.499002,2.893318,5.236337,-14.75374,357.6,347.7,0
7.565003,2.812551,5.225358,-14.46842,357.5,347.3,0
7.604012,2.772659,5.236133,-14.27506,357.4,347,0
7.642079,2.742687,5.219766,-14.07916,357.4,346.8,0
7.680432,2.718171,5.213726,-13.88163,357.4,346.8,0
7.715576,2.695087,5.252847,-13.68378,357.4,346.8,0
7.75156,2.66865,5.325504,-13.4867,357.4,346.8,0
7.786769,2.634074,5.392727,-13.29154,357.4,346.8,0
7.821397,2.612325,5.412364,-13.195,357.4,346.8,0
7.856735,2.573788,5.46845,-13.00077,357.4,346.8,0
7.892464,2.545057,5.543677,-12.80423,357.4,346.8,0
7.92751,2.521348,5.598724,-12.60652,357.4,346.8,0
7.962754,2.50988,5.607593,-12.50757,357.4,346.8,0
7.997858,2.460904,5.591089,-12.35266,357.4,346.8,0
8.032947,2.356235,5.562878,-12.28393,357.4,346.8,0
8.067999,2.243537,5.555173,-12.21655,357.2,346.5,-2.671231E-08
8.102758,2.182863,5.555362,-12.18215,357,345.8,0
8.137449,2.054247,5.534235,-12.1155,356.6,344.9,0
8.172862,1.917764,5.505473,-12.04941,356.3,343.7,-5.347231E-08
8.208522,1.775169,5.492274,-11.98334,356,342.7,5.349115E-08
8.244062,1.702521,5.499157,-11.94929,355.7,341.6,0
8.278811,1.555915,5.538085,-11.88213,355.5,341,0
8.313985,1.411736,5.5899,-11.81369,355.4,340.7,0
8.349324,1.274022,5.628309,-11.74291,355.2,340,5.354865E-08
8.383736,1.207836,5.636778,-11.70554,355.1,339.6,5.355658E-08
8.417474,1.068412,5.674279,-11.63348,355,339.2,5.356468E-08
8.452614,0.9208668,5.726743,-11.56376,355,339.2,5.356468E-08
8.487404,0.7689127,5.767045,-11.49602,355,339.2,5.356468E-08
8.521317,0.692357,5.774225,-11.46236,355,339.2,5.356468E-08
8.556231,0.540532,5.760279,-11.39464,355,339.2,5.356468E-08
8.59032,0.3923877,5.730346,-11.32608,355,339.2,5.356468E-08
8.625314,0.3206488,5.717836,-11.29082,355,339.2,5.356468E-08
8.659219,0.1838142,5.71347,-11.21762,355,339.2,5.356468E-08
8.693235,0.05671953,5.701002,-11.14026,355,339.2,5.356468E-08
8.727772,-0.06265767,5.671108,-11.05995,355,339.2,5.356468E-08
8.762205,-0.1202939,5.658374,-11.01909,355,339.2,5.356468E-08
8.796595,-0.2342565,5.65382,-10.93621,355,339.2,5.356468E-08
8.830252,-0.3485136,5.688016,-10.85306,355,339.2,5.356468E-08
8.865351,-0.4067448,5.713646,-10.81175,355,339.2,5.356468E-08
8.899764,-0.5273936,5.764956,-10.7304,355,339.2,5.356468E-08
8.934521,-0.6562198,5.79382,-10.65173,355,339.2,5.356468E-08
8.968408,-0.7836831,5.827331,-10.57208,355,339.2,5.356468E-08
9.002492,-0.8442338,5.852954,-10.53087,355,339.2,5.356468E-08
9.037477,-0.9610024,5.905792,-10.44639,355,339.2,5.356468E-08
9.071345,-1.074495,5.93703,-10.36071,355,339.2,5.356468E-08
9.10533,-1.131098,5.937241,-10.31781,355,339.2,5.356468E-08
9.140192,-1.246019,5.916057,-10.23266,355,339.2,5.356468E-08
9.174661,-1.365896,5.888939,-10.1494,355,339.2,5.356468E-08
9.20956,-1.494507,5.884963,-10.05948,355,339.2,5.356468E-08
9.243484,-1.558736,5.889947,-9.993185,355,339.2,5.356468E-08
9.277756,-1.647882,5.88181,-9.816534,355,339.2,5.356468E-08
9.311684,-1.738894,5.869579,-9.639768,355,339.2,5.356468E-08
9.345168,-1.78577,5.874212,-9.552106,354.9,339.4,0
9.380419,-1.878818,5.919325,-9.376099,354.8,340,5.358137E-08
9.415032,-1.965824,5.992487,-9.197248,354.8,340.6,5.358137E-08
9.448565,-2.042744,6.055137,-9.014392,354.8,341.3,1.071627E-07
9.482759,-2.076038,6.072901,-8.921129,355.2,342.4,0
9.51654,-2.14615,6.133136,-8.735532,355.4,343.1,0
9.550908,-2.223085,6.207455,-8.551442,355.7,344.1,0
9.584559,-2.261975,6.237633,-8.458734,356,345.3,0
9.618343,-2.33666,6.262064,-8.271972,356.4,346.8,-2.673317E-08
9.652539,-2.403534,6.249103,-8.082712,356.8,347.9,0
9.686528,-2.459256,6.237052,-7.889657,357.1,349.4,0
9.720445,-2.480589,6.243687,-7.788918,357.8,351.7,0
9.754873,-2.504053,6.250576,-7.58812,358.7,354.3,0
9.788445,-2.507452,6.233952,-7.38738,359.4,356,3.335236E-09
9.823425,-2.503709,6.229043,-7.285791,1.555367E-06,357.9,0
9.857818,-2.487437,6.250096,-7.085876,0.6000016,359.8,0
9.891591,-2.466089,6.315673,-6.887012,1.300002,2.500001,3.335912E-09
9.925493,-2.452762,6.354285,-6.78816,2.000002,4.800001,0
9.959757,-2.425452,6.418519,-6.591934,2.500001,6.700001,0
9.993555,-2.397727,6.463573,-6.395965,3.000001,8.500002,0
10.02744,-2.353376,6.536801,-6.203369,3.700001,11,2.673615E-08
10.06174,-2.324163,6.573615,-6.109178,4.100002,12.8,0
10.09566,-2.256937,6.623103,-5.923,4.400001,14.4,-5.351858E-08
10.12929,-2.184845,6.624324,-5.738787,4.500001,15.6,5.352586E-08
10.16342,-2.148528,6.615323,-5.647242,4.600001,16.3,5.353328E-08
10.19761,-2.079326,6.606266,-5.462214,4.600001,16.7,5.353328E-08
10.23125,-2.0207,6.624313,-5.274203,4.6,17,-5.353329E-08
10.26472,-1.99582,6.62358,-5.179086,4.600001,17.3,0
10.2989,-1.944929,6.607091,-4.999044,4.6,17.9,1.070666E-07
10.33248,-1.837199,6.590123,-4.918903,4.6,18.5,0
10.36654,-1.728175,6.611124,-4.837409,4.600001,18.9,0
10.40053,-1.672638,6.633966,-4.795627,4.600001,19,0
10.4348,-1.557809,6.687581,-4.715312,4.5,19.2,5.352586E-08
10.4685,-1.435821,6.729763,-4.637202,4.500001,19.4,-5.352586E-08
10.50266,-1.371124,6.738732,-4.599102,4.400001,19.7,5.351858E-08
10.53524,-1.245896,6.773998,-4.520742,4.200001,20.5,0
10.56949,-1.127002,6.826674,-4.437448,4.200001,21.7,5.350454E-08
10.60399,-1.068464,6.851227,-4.392978,4.300001,23.1,-5.351149E-08
10.63717,-0.950184,6.87923,-4.302683,4.600001,24.1,1.070666E-07
10.67145,-0.8295211,6.867481,-4.211679,4.600001,24.8,-1.070666E-07
10.70424,-0.7672055,6.853117,-4.165365,4.800001,25.6,0
10.73807,-0.6365079,6.825285,-4.074651,5.100001,26.8,1.071459E-07
10.77242,-0.4951317,6.821547,-3.986235,5.500001,28.1,0
