TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.03431501,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.04984888,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.06679752,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.1004885,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.1163559,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.1331542,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.1668904,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.1829949,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.2003187,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.2165012,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.2502851,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.2668186,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.2833515,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.3003777,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.3348548,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.3499284,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.3671624,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.3836297,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.4178898,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.4335884,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.4503117,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.4843517,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.5000436,0.09402376,12.04673,42.12629,356,356.9,6.686394E-09
0.5167777,0.09853817,12.14245,42.2237,356,356.9,6.686394E-09
0.5505139,0.1107373,12.17,42.42398,356,356.9,6.686394E-09
0.5666086,0.1172125,12.16326,42.52448,356,356.9,6.686394E-09
0.5835162,0.12308,12.14603,42.62494,356,356.9,6.686394E-09
0.5997377,0.12308,12.14603,42.62494,356,356.9,6.686394E-09
0.6341903,0.130538,12.09976,42.82564,356,356.9,6.686394E-09
0.650168,0.1309015,12.08055,42.9258,356,356.9,6.686394E-09
0.6666209,0.1282034,12.0705,43.02581,356,356.9,6.686394E-09
0.707062,0.1122463,12.05106,43.22523,356,356.9,6.686394E-09
0.7276074,0.0998129,12.02918,43.32471,356,356.9,6.686394E-09
0.7368956,0.0998129,12.02918,43.32471,356,356.9,6.686394E-09
0.7664182,0.06910037,11.98468,43.52334,356,356.9,6.686394E-09
0.7830045,0.05204824,11.97189,43.62256,356,356.9,6.686394E-09
0.799791,0.05204824,11.97189,43.62256,356,356.9,6.686394E-09
0.8331608,0.05204824,12.07,43.62256,356,356.9,6.686394E-09
0.8500007,0.05204824,12.07,43.62256,356,356.9,6.686394E-09
