TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04068076,0,4.476456,-39,0.1,0.1,6.513785E-12
0.06673697,0,4.452912,-39,0.1,0.1,6.513785E-12
0.1152521,0,4.335192,-39,0.1,0.1,6.513785E-12
0.1400824,0,4.280256,-39,0.1,0.1,6.513785E-12
0.1577397,0,4.217472,-39,0.1,0.1,6.513785E-12
0.1883179,0,4.14684,-39,0.1,0.1,6.513785E-12
0.2161348,0,3.982032,-39,0.1,0.1,6.513785E-12
0.2492782,0,3.887856,-39,0.1,0.1,6.513785E-12
0.2848264,0,3.67596,-39,0.1,0.1,6.513785E-12
0.3340641,0,3.299256,-39,0.1,0.1,6.513785E-12
0.3672845,0,3.157992,-39,0.1,0.1,6.513785E-12
0.4010684,0,3.105,-39,-2.41226E-09,0.3,0
0.4339738,0,3.088108,-39,359.9,0.6,5.211029E-11
0.4671218,0,3.078108,-39,359.9,0.6,5.211029E-11
0.5003638,0,3.058108,-39,359.9,0.6,5.211029E-11
0.5332522,0,3.038108,-39,359.9,0.9,0
0.5673076,0,3.028108,-39,359.9,0.9999999,-5.211028E-11
0.6004808,0,3.008108,-39,359.9,0.9999999,-5.211028E-11
0.6341975,0,3.015,-39,359.9,0.9999999,-5.211028E-11
0.6669874,0,3.025,-39,359.9,0.9999999,-5.211028E-11
0.7006425,0,3.045,-39,359.9,0.9999999,-5.211028E-11
0.7342267,0,3.065,-39,359.9,0.9999999,-5.211028E-11
0.7666795,0,3.075,-39,359.8,0.9,0
0.8004408,0,3.095,-39,359.7,0.6,0
0.8342242,0,3.105,-39,359.7,0.6,0
0.8665918,0,3.105,-39,359.7,0.6,0
0.8999538,0,3.105,-39,359.7,0.6,0
0.9335171,0,3.105,-39,359.7,0.6,0
0.9664753,0,3.105,-39,359.7,0.6,0
0.9999944,0,3.105,-39,359.7,0.6,0
1.033257,0,3.105,-39,359.7,0.6,0
1.066646,0,3.105,-39,359.7,0.6,0
1.100125,0,3.105,-39,359.7,0.6,0
1.133873,0,3.105,-39,359.7,0.6,0
1.201792,0,3.105,-39,359.7,0.6,0
1.227969,0,3.105,-39,359.7,0.6,0
1.24789,0,3.105,-39,359.7,0.6,0
1.267227,0,3.105,-39,359.7,0.6,0
1.299975,0,3.105,-39,359.7,0.6,0
1.348844,0,3.105,-39,359.7,0.6,0
1.368564,0,3.105,-39,359.7,0.6,0
1.432023,0,3.105,-39,359.7,0.6,0
1.455771,0,3.105,-39,359.7,0.6,0
1.482366,0,3.105,-39,359.7,0.6,0
1.516926,0,3.105,-39,359.7,0.6,0
1.55043,0,3.105,-39,359.7,0.6,0
1.58334,0,3.105,-39,359.7,0.6,0
1.617275,0,3.105,-39,359.7,0.6,0
1.650426,0,3.105,-39,359.7,0.6,0
1.683307,0,3.105,-39,359.7,0.6,0
1.716717,0,3.105,-39,359.7,0.6,0
1.75029,0,3.105,-39,359.7,0.6,0
1.783702,0,3.105,-39,359.7,0.6,0
1.816805,0,3.105,-39,359.7,0.6,0
1.850336,0,3.105,-39,359.7,0.6,0
1.88349,0,3.105,-39,359.7,0.6,0
1.916382,0,3.105,-39,359.7,0.6,0
1.950635,0,3.105,-39,359.7,0.6,0
1.983519,0,3.105,-39,359.7,0.6,0
2.016348,0,3.105,-39,359.7,0.6,0
2.050368,0,3.105,-39,359.7,0.6,0
2.083789,0,3.105,-39,359.7,0.6,0
2.116852,0,3.105,-39,359.7,0.6,0
2.150217,0,3.105,-39,359.7,0.6,0
2.183988,0.007512033,3.12442,-38.80007,359.7,0.6,0
2.216503,0.02593852,3.170145,-38.60025,359.7,0.6,0
2.24986,0.03774903,3.190746,-38.50037,359.7,0.6,0
2.28332,0.06349277,3.203075,-38.30062,359.7,0.6,0
2.317219,0.08797099,3.169455,-38.10087,359.7,0.6,0
2.349861,0.09819961,3.145689,-38.00097,359.7,0.6,0
2.383497,0.111564,3.108824,-37.8011,359.7,0.6,0
2.416403,0.1117902,3.094369,-37.6011,359.7,0.6,0
2.450679,0.1070429,3.07512,-37.50104,359.7,0.6,0
2.483643,0.09081765,3.028855,-37.30086,359.7,0.6,0
2.516145,0.06971422,3.005002,-37.10063,359.7,0.6,0
2.550253,0.05886911,3.012055,-37.00051,359.7,0.6,0
2.58353,0.0396639,3.05236,-36.8003,359.7,0.6,0
2.617125,0.02786786,3.094829,-36.60016,359.7,0.6,0
2.650158,0.0262842,3.104586,-36.50014,359.7,0.6,0
2.683529,0.02285615,3.12442,-36.30009,359.7,0.6,0
2.717299,0.008618362,3.170144,-36.09993,359.7,0.6,0
2.750254,-0.001097806,3.190746,-35.99982,359.7,0.6,0
2.784245,-0.02265286,3.203075,-35.79959,359.7,0.6,0
2.816978,-0.04294239,3.169455,-35.59936,359.7,0.6,0
2.850486,-0.05107665,3.145689,-35.49927,359.7,0.6,0
2.883209,-0.06025235,3.108824,-35.29916,359.7,0.6,0
2.916438,-0.05628965,3.094369,-35.09919,359.7,0.6,0
2.950334,-0.04944782,3.07512,-34.99926,359.7,0.6,0
2.983816,-0.02903395,3.028855,-34.79947,359.7,0.6,0
3.016413,-0.003741756,3.005002,-34.59972,359.7,0.6,0
3.049668,0.009197731,3.012055,-34.49985,359.7,0.6,0
3.082976,0.03259161,3.05236,-34.30008,359.7,0.6,0
3.115848,0.04857627,3.094829,-34.10024,359.7,0.6,0
3.149548,0.0522542,3.104586,-34.00027,359.7,0.6,0
3.182579,0.05987108,3.123862,-33.80034,359.7,0.6,0
3.216375,0.07829782,3.170145,-33.60052,359.7,0.6,0
3.249622,0.09010838,3.190746,-33.50064,359.7,0.6,0
3.283821,0.1158521,3.203075,-33.3009,359.7,0.6,0
3.316899,0.1403303,3.169455,-33.10115,359.7,0.6,0
3.349555,0.1505588,3.145689,-33.00125,359.7,0.6,0
3.383379,0.1639231,3.108824,-32.80138,359.7,0.6,0
3.416583,0.1641489,3.094369,-32.60137,359.7,0.6,0
3.449655,0.1594014,3.075119,-32.50131,359.7,0.6,0
3.483322,0.1431759,3.028854,-32.30113,359.7,0.6,0
3.516145,0.1220727,3.005002,-32.1009,359.7,0.6,0
3.549362,0.1112276,3.012055,-32.00078,359.7,0.6,0
3.583284,0.09202237,3.052361,-31.80057,359.7,0.6,0
3.615568,0.08022656,3.094829,-31.60043,359.7,0.6,0
3.64975,0.07864306,3.104587,-31.50041,359.7,0.6,0
3.682923,0.07521484,3.12442,-31.30037,359.7,0.6,0
3.7166,0.06097688,3.170145,-31.10021,359.7,0.6,0
3.749875,0.05126067,3.190746,-31.0001,359.7,0.6,0
3.783001,0.02970559,3.203075,-30.79986,359.7,0.6,0
3.816401,0.009416133,3.169455,-30.59964,359.7,0.6,0
3.849896,0.001281947,3.145689,-30.49955,359.7,0.6,0
3.883331,-0.00789354,3.108824,-30.29944,359.7,0.6,0
3.916079,-0.003930621,3.094369,-30.09947,359.7,0.6,0
