TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.1382838,0,4.280256,-39,1.7,359.2,0
0.2530946,0,3.887856,-39,1.8,359.2,0
0.3780008,0,3.105,-39,1.8,359.2,0
0.5023929,0,3.005,-39,1.8,359.2,0
0.6274315,0,3.065,-39,2.5,358.8,-3.338231E-09
0.7623433,0,3.105,-39,2.7,358.7,-3.338759E-09
0.8849013,0,3.105,-39,2.7,358.7,-3.338759E-09
1.009973,0,3.105,-39,2.7,358.7,-3.338759E-09
1.140079,0,3.105,-39,2.7,358.7,-3.338759E-09
1.270557,0,3.105,-39,2.7,358.7,-3.338759E-09
1.393326,0,3.105,-39,2.7,358.7,-3.338759E-09
1.516161,0,3.105,-39,2.7,358.7,-3.338759E-09
1.644361,0,3.105,-39,2.7,358.7,-3.338759E-09
1.770554,0,3.105,-39,2.7,358.7,-3.338759E-09
1.902965,0,3.105,-39,2.7,358.7,-3.338759E-09
2.024752,0.03056737,3.203287,-38.39915,2.7,358.7,-3.338759E-09
2.15588,0.07034787,3.104476,-37.69807,2.7,358.7,-3.338759E-09
2.280008,0.006701671,3.005002,-37.09936,2.7,358.7,-3.338759E-09
2.411427,-0.05661363,3.104586,-36.50064,2.7,358.7,-3.338759E-09
2.534697,-0.1145107,3.203287,-35.9018,2.7,358.7,-3.338759E-09
2.658931,-0.1860533,3.104476,-35.20324,2.7,358.7,-3.338759E-09
2.786273,-0.1496318,3.005002,-34.60226,2.7,358.7,-3.338759E-09
2.919192,-0.1496318,3.105,-34.60226,2.7,358.7,-3.338759E-09
3.043046,-0.1496318,3.105,-34.60226,2.7,358.7,-3.338759E-09
3.166348,-0.1496318,3.105,-34.60226,2.7,358.7,-3.338759E-09
3.296519,-0.1496318,3.105,-34.60226,2.7,358.7,-3.338759E-09
3.415719,-0.1496318,3.105,-34.60226,2.7,358.7,-3.338759E-09
3.551441,-0.1135414,3.104587,-34.00129,2.7,358.7,-3.338759E-09
3.674073,-0.08286875,3.203287,-33.40044,2.7,358.7,-3.338759E-09
3.797811,-0.04308885,3.104476,-32.69936,2.7,358.7,-3.338759E-09
3.924581,-0.1067354,3.005002,-32.10065,2.7,358.7,-3.338759E-09
4.054366,-0.1700504,3.104587,-31.50193,3.2,357.9,0
4.18324,-0.2517663,3.203075,-30.8072,4.5,355.1,-1.338146E-08
4.305867,-0.3453752,3.104476,-30.22211,5.7,349.9,5.3626E-08
4.437792,-0.4063602,3.012055,-29.52558,6.500001,344.5,-5.370608E-08
4.558822,-0.5291409,3.109128,-28.9369,6.5,340.3,0
4.691542,-0.6804847,3.203075,-28.35098,7.100001,337.6,0
4.812701,-0.8709253,3.162298,-27.78252,7.700001,336.5,-2.153855E-07
4.934493,-1.158061,3.144503,-27.25908,7.900001,336.2,-2.154885E-07
5.055754,-1.489756,3.343463,-26.64739,7.900001,336.2,-2.154885E-07
5.178508,-1.784701,3.519243,-26.12735,8.100001,336.6,1.077971E-07
5.306388,-2.054564,3.512064,-25.58815,10.9,345.6,0
5.427938,-2.020089,3.506089,-24.99989,11.9,350.3,1.090656E-07
5.54009,-1.980121,3.690992,-24.41592,12.1,351.5,0
5.658142,-2.026602,3.877348,-23.82208,12.1,352.3,0
5.783089,-2.051691,3.874736,-23.23135,12.5,355.4,0
5.907077,-2.134622,3.866742,-22.64672,13.1,359,0
6.027953,-2.205769,4.033503,-22.05427,13.2,359.9,0
6.147863,-2.24086,4.21714,-21.46097,13.2,359.9,0
6.270908,-2.190776,4.239529,-20.98241,13.4,359.4,0
6.39354,-1.892154,4.215971,-20.6893,14,1.600804E-06,0
6.517188,-1.481273,4.258943,-20.34142,14.9,7.800001,0
6.64159,-1.127653,4.391551,-20.00512,13.3,18.6,0
6.761783,-1.122864,4.372555,-20.00944,12.4,31.50001,2.185415E-07
6.881108,-1.12419,4.372555,-20.0112,13.7,42.5,-4.393877E-07
6.997144,-1.125877,4.372555,-20.01271,16.4,53.8,-4.449917E-07
7.109278,-1.126971,4.372555,-20.01342,17,60.3,-8.927843E-07
7.220536,-1.127093,4.372555,-20.01349,17,61,0
7.331429,-1.127093,4.372555,-20.01349,17,61,0
7.432277,-1.127093,4.372555,-20.01349,17,61,0
7.53683,-1.127093,4.372555,-20.01349,17,61,0
7.636633,-1.126867,4.372555,-20.01336,16.9,59.69999,-8.923092E-07
7.737012,-1.125573,4.372555,-20.01248,16.9,51.89999,-4.461547E-07
7.842916,-1.124989,4.372555,-20.01199,16.9,48.1,0
7.941873,-1.124495,4.372555,-20.01152,16.9,44.7,-4.461546E-07
8.049099,-1.124481,4.372555,-20.01151,16.90001,44.6,8.923092E-07
8.148497,-1.124481,4.372555,-20.01151,16.90001,44.6,8.923092E-07
8.26011,-1.124481,4.372555,-20.01151,16.90001,44.6,8.923092E-07
8.36624,-1.124481,4.372555,-20.01151,16.90001,44.6,8.923092E-07
8.480134,-1.124481,4.372555,-20.01151,16.90001,44.6,8.923092E-07
8.600317,-1.124096,4.372555,-20.0111,15.8,41.8,0
8.71575,-1.12403,4.372555,-20.01102,15.8,41.3,0
8.831992,-1.123732,4.372555,-20.01067,15.7,39,0
8.948218,-1.123732,4.372555,-20.01067,15.7,39,0
9.05126,-1.123732,4.372555,-20.01067,15.7,39,0
9.164905,-1.123732,4.372555,-20.01067,15.7,39,0
9.282753,-1.123732,4.372555,-20.01067,15.7,39,0
9.401881,-0.685846,4.517946,-19.6004,15.7,39,0
9.519481,-0.2480364,4.486049,-19.19554,15.7,39,0
9.62593,0.06302321,4.456153,-18.81459,15.7,39,0
9.748771,0.4473277,4.618255,-18.36596,15.7,39,0
9.857079,0.8298737,4.78094,-17.91601,15.7,39,0
9.97089,1.142178,4.747018,-17.5356,15.7,39,0
10.07245,1.504494,4.725932,-17.1958,15.7,39,0
10.18532,1.975529,4.803004,-16.81783,15.7,39,0
10.29384,2.341703,4.926227,-16.48148,15.7,38.7,4.434305E-07
10.40249,2.81852,5.05092,-16.08914,15.10001,26.1,2.210766E-07
10.51236,3.202777,5.021412,-15.74782,15.5,23.5,2.214992E-07
10.61412,3.368717,5.006082,-15.27273,16.3,16.1,0
10.72726,3.482439,5.182604,-14.68689,16.9,0.9999973,0
10.84153,3.456403,5.368275,-14.10241,18.2,345.9,0
10.94213,3.292044,5.382529,-13.66243,20.1,327.8,-4.54573E-07
11.05563,3.309681,5.349288,-13.68287,22.50001,310.6,9.24118E-07
11.16386,3.313597,5.349288,-13.68604,22.70001,307.4,9.254616E-07
11.23787,3.315748,5.349288,-13.68763,22.00002,305.7,0
11.32145,2.996747,5.36762,-13.4692,19.90001,298.5,0
11.38503,2.749867,5.322184,-13.30877,18.30001,294.1,0
11.42992,2.576715,5.317473,-13.20735,18.20002,293.9,0
11.48539,2.314992,5.389309,-13.05882,18.20002,293.9,0
11.50773,2.226469,5.418087,-13.0119,18.20002,293.9,0
11.52902,2.13682,5.440671,-12.96781,18.10002,294,-8.982214E-07
11.54917,2.045927,5.452515,-12.92655,17.90001,294.2,0
11.56873,1.955419,5.466467,-12.88446,17.80001,294.4,0
11.58992,1.866413,5.490497,-12.83922,17.60001,294.8,0
11.61122,1.778919,5.519737,-12.79108,17.40001,295.5,-8.947156E-07
11.63208,1.693006,5.549344,-12.7402,17.30001,296.3,0
11.65311,1.60899,5.574421,-12.68727,17.20001,297.9,-8.937433E-07
11.67439,1.527479,5.590236,-12.63178,17.20001,300,0
11.69567,1.367191,5.584375,-12.5145,17.20001,301.6,0
11.71935,1.290033,5.569828,-12.45617,17.20001,304,-4.468717E-07
11.74257,1.214717,5.554372,-12.39638,17.20001,306.4,-8.937433E-07
11.76575,1.140665,5.54291,-12.33548,17.40001,308.7,0
11.79108,1.066453,5.539666,-12.27332,17.60001,310.3,-4.478505E-07
11.81727,0.9125593,5.542098,-12.15104,17.80001,311.6,8.966994E-07
11.85226,0.8346152,5.530765,-12.09221,18.00001,313,0
11.88714,0.6763476,5.505544,-11.97428,18.30002,315.3,0
11.93836,0.4402551,5.531122,-11.79064,18.70001,318.2,4.50678E-07
11.96936,0.3650595,5.561812,-11.72461,18.70001,318.3,-4.50678E-07
12.00836,0.2185158,5.630007,-11.58896,18.70001,318.3,-4.50678E-07
12.05759,0.01139524,5.693327,-11.37416,18.70001,318.3,-4.50678E-07
12.10533,-0.1320692,5.756514,-11.23604,18.70001,318.3,-4.50678E-07
12.15448,-0.281547,5.820428,-11.10301,18.70001,318.3,-4.50678E-07
12.21995,-0.5833634,5.830743,-10.83929,18.80002,318.4,0
12.25401,-0.6565741,5.818091,-10.77138,18.80002,318.4,0
12.30199,-0.8894768,5.808928,-10.60129,18.80002,318.4,0
12.36481,-1.121247,5.776206,-10.44647,18.80002,318.4,0
12.39005,-1.195435,5.762742,-10.39218,18.80002,318.4,0
