TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02335289,0.4342166,12.16956,42.23663,11.09998,349.8,0
0.04523454,0.4276867,12.16587,42.33533,11.09998,349.8,0
0.06794906,0.4205155,12.14546,42.43565,11.09998,349.8,0
0.08971371,0.4119228,12.12172,42.53571,11.09998,349.8,0
0.1125781,0.4012311,12.09969,42.63539,11.09998,349.8,0
0.1336571,0.3878355,12.08427,42.73458,11.09998,349.8,0
0.1554018,0.3711949,12.07963,42.83284,11.29998,350,0
0.1778264,0.3513433,12.07004,42.93054,11.49998,350.2,0
0.1995792,0.3288637,12.05108,43.02733,12.09999,350.7,-1.091466E-07
0.2218211,0.3290138,12.08,43.02638,12.69998,351.3,1.093982E-07
0.2437053,0.3290616,12.08,43.02606,13.09998,351.5,-1.095732E-07
0.2657681,0.329154,12.08,43.02543,13.49998,351.9,0
0.28881,0.3292419,12.08,43.0248,14.09998,352.3,-1.100369E-07
0.3107882,0.3293254,12.08,43.02416,14.79998,352.7,-2.207677E-07
0.3332127,0.3293852,12.08,43.02369,15.59998,353,0
0.3564902,0.3294609,12.08,43.02305,16.39998,353.4,0
0.3780434,0.3294972,12.08,43.02273,16.89998,353.6,0
0.4014173,0.3295662,12.08,43.02209,17.69998,354,1.120248E-07
0.4231543,0.3295828,12.08,43.02194,17.99998,354.1,-1.122138E-07
0.4463809,0.3295991,12.08,43.02178,18.29998,354.2,0
0.4678013,0.3295991,12.08,43.02178,18.39998,354.2,0
0.4911331,0.3296151,12.08,43.02162,18.69998,354.3,1.126695E-07
0.5133073,0.3296309,12.08,43.02146,18.99998,354.4,1.128711E-07
0.5362907,0.3296615,12.08,43.02114,19.19999,354.6,5.650378E-08
0.5582154,0.3296765,12.08,43.02098,19.39998,354.7,5.65729E-08
0.5801741,0.3296911,12.08,43.02082,19.49998,354.8,-1.132156E-07
0.6032463,0.3297195,12.08,43.0205,19.69998,355,-5.667819E-08
0.6262723,0.3297731,12.08,43.01987,19.99998,355.4,0
0.6478896,0.3298561,12.08,43.01875,20.29998,356.1,0
0.6713641,0.3299163,12.08,43.01779,20.49999,356.7,0
0.6931288,0.3299509,12.08,43.01715,20.59998,357.1,-5.700583E-08
0.7162625,0.3299589,12.08,43.01699,20.59998,357.2,-5.700582E-08
0.7390114,0.3299811,12.08,43.01651,20.59998,357.5,2.850291E-08
0.7608156,0.3300125,12.08,43.01571,20.59998,358,2.850291E-08
0.7845451,0.3300514,12.08,43.01427,20.69998,358.9,1.426083E-08
0.8060989,0.3300648,12.08,43.01171,20.99998,0.4999932,-7.144649E-09
0.8282017,0.3300125,12.08,43.00932,21.19998,1.999993,5.723424E-08
0.8506802,0.3297982,12.08,43.00549,21.39998,4.399993,5.731218E-08
0.8727809,0.3294972,12.08,43.0023,21.19998,6.399993,0
0.8951311,0.3294236,12.08,43.00166,19.69998,6.799993,1.133564E-07
0.9181643,0.3294792,12.08,43.00214,18.59998,6.499993,0
0.9400198,0.3294792,12.08,43.00214,18.39998,6.499993,0
0.9629334,0.3294792,12.08,43.00214,18.39998,6.499993,0
0.984306,0.3294792,12.08,43.00214,18.39998,6.499993,0
1.008182,0.3294792,12.08,43.00214,18.39998,6.499993,0
1.030214,0.3294792,12.08,43.00214,18.39998,6.499993,0
1.052086,0.3294792,12.08,43.00214,18.39998,6.499993,0
1.073215,0.3294792,12.08,43.00214,18.39998,6.499993,0
1.095153,0.3294792,12.08,43.00214,18.39998,6.499993,0
1.117625,0.3294792,12.08,43.00214,18.39998,6.499993,0
1.139842,0.3294792,12.08,43.00214,18.49998,6.499993,1.125372E-07
1.162764,0.328731,12.08,42.99692,18.99998,9.799993,-1.128711E-07
1.184938,0.327189,12.08,42.98972,18.99998,14.39999,2.257421E-07
1.207024,0.3254833,12.08,42.98389,18.99998,18.19999,0
1.228746,0.3238079,12.08,42.97923,18.99998,21.3,2.257421E-07
1.250636,0.3225307,12.08,42.97612,19.29998,23.39999,0
1.273742,0.3200065,12.08,42.97076,20.09998,27.09999,0
1.294386,0.3173868,12.08,42.966,21.09998,30.49999,4.575649E-07
1.316588,0.3158868,12.08,42.96354,21.59998,32.3,4.591283E-07
1.338643,0.3154565,12.08,42.96287,21.89998,32.8,0
1.360376,0.3150203,12.08,42.9622,22.19998,33.3,4.610653E-07
1.380867,0.3147558,12.08,42.9618,22.49998,33.59999,9.241177E-07
1.402462,0.3144892,12.08,42.9614,22.79998,33.89999,-4.630696E-07
1.422157,0.3142205,12.08,42.961,23.19998,34.2,9.288877E-07
1.442914,0.3142205,12.08,42.961,23.39998,34.2,0
1.463064,0.3140402,12.08,42.96074,23.69998,34.4,4.662053E-07
1.482963,0.3137681,12.08,42.96034,23.99998,34.7,-4.672857E-07
1.501814,0.3131251,12.08,42.95943,24.39999,35.4,9.375083E-07
1.521458,0.312565,12.08,42.95864,24.69998,36,4.698766E-07
1.541235,0.3114206,12.08,42.9571,25.19999,37.2,9.435764E-07
1.561556,0.3105412,12.08,42.95597,25.39998,38.1,0
1.580105,0.3095433,12.08,42.95472,25.59998,39.1,-9.467096E-07
1.600226,0.3080059,12.08,42.95287,25.69998,40.6,9.475035E-07
1.618806,0.3068481,12.08,42.95155,25.69998,41.7,0
1.63793,0.3045681,12.08,42.94908,25.69999,43.8,0
1.656661,0.3026571,12.08,42.94715,25.39998,45.5,0
1.675573,0.3010408,12.08,42.9456,25.29999,46.89999,0
1.694817,0.2987877,12.08,42.94356,24.79998,48.8,-9.405098E-07
1.713848,0.2973303,12.08,42.94231,24.39999,50,0
1.732522,0.295096,12.08,42.94049,23.49999,51.8,0
1.751645,0.2931913,12.08,42.93903,22.79998,53.3,0
1.77024,0.291249,12.08,42.93763,22.19999,54.80001,0
1.787671,0.2892705,12.08,42.93627,21.39998,56.3,-9.169951E-07
1.805817,0.2867145,12.08,42.93462,20.59999,58.2,9.120931E-07
1.822502,0.2852103,12.08,42.93371,20.19998,59.3,-9.097282E-07
1.839318,0.2842441,12.08,42.93315,19.99998,60.00001,9.085669E-07
1.856278,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.87303,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.8892,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.905384,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.921207,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.937273,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.954498,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.970192,0.2838279,12.08,42.93291,19.89998,60.30001,0
1.986112,0.3666534,12.02769,42.98954,19.89998,60.30001,0
2.002088,0.448557,12.00477,43.04778,19.89998,60.30001,0
2.019203,0.448557,12.00477,43.04778,19.89998,60.30001,0
2.035054,0.529843,11.98724,43.1071,19.89998,60.30001,0
