TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02214747,5.502337,12.11666,42.20679,354,23.30001,1.073096E-07
0.04382489,5.533104,12.14586,42.30124,354,23.30001,1.073096E-07
0.06569371,5.562342,12.1631,42.39753,354,23.30001,1.073096E-07
0.08805517,5.59097,12.17,42.49408,354,23.30001,1.073096E-07
0.1099758,5.619596,12.16318,42.59063,354,23.30001,1.073096E-07
0.1320976,5.679101,12.12307,42.78276,354,23.30001,1.073096E-07
0.1536401,5.711046,12.09962,42.87771,353.9,23.20001,-1.073294E-07
0.1746997,5.744945,12.08045,42.97142,354.2,22.90001,0
0.1966788,5.78091,12.07048,43.06346,354.6,22.20001,1.071974E-07
0.2180699,5.819276,12.06606,43.15506,354.8,21.80001,0
0.2401553,5.860088,12.05093,43.24555,355.2,21.30001,-5.354866E-08
0.2621965,5.902819,12.02903,43.33574,355.4,21.00001,0
0.2840751,5.9472,12.00527,43.42566,355.5,20.90001,-5.352585E-08
0.306395,5.992825,11.98457,43.51503,355.6,20.70002,-5.351859E-08
0.3283274,6.03905,11.97184,43.60436,355.7,20.60002,0
0.3503169,6.08539,11.9718,43.69361,355.9,20.40001,0
0.372278,6.176077,12.00514,43.87315,356.1,20.10002,0
0.3943962,6.219045,12.0289,43.96375,356.5,19.40002,0
0.416302,6.258884,12.05082,44.0556,357.1,18.00002,0
0.4381457,6.293871,12.066,44.14935,357.7,16.60002,-2.670194E-08
0.4598621,6.323553,12.07043,44.24485,358.3,14.40001,-1.334609E-08
0.4820953,6.351036,12.08037,44.34118,359,11.70001,0
0.5045137,6.377024,12.0995,44.4384,359.5,8.500014,-3.335181E-09
0.5273046,6.4,12.12294,44.5367,359.8,6.400014,0
0.5494722,6.421267,12.14578,44.63659,-1.189631E-05,2.900013,0
0.5737154,6.454596,12.17001,44.83803,-1.189631E-05,359.6,-3.180555E-15
0.5968332,6.465646,12.16319,44.942,359.3,356,1.667651E-09
0.6196848,6.469207,12.14591,45.04889,359,351,0
0.6417794,6.461725,12.12308,45.1576,359.4,345.1,0
0.6655546,6.440954,12.09963,45.26561,0.2999883,339,0
0.6888618,6.406049,12.08046,45.37093,1.999989,332.6,-5.339338E-08
0.7118349,6.358996,12.07049,45.46702,2.999989,328.6,0
0.7357076,6.354445,12.07001,45.47383,4.299989,323.9,1.07023E-07
0.7587177,6.351255,12.07001,45.47798,5.199989,320.9,-2.143255E-07
0.7818971,6.34878,12.07001,45.48091,5.899989,318.7,0
0.8049195,6.346194,12.07001,45.48374,6.899989,316.5,2.150006E-07
0.8267884,6.344369,12.07001,45.48561,7.59999,315,2.15335E-07
0.8488435,6.343501,12.07001,45.48647,8.099989,314.3,0
0.8716452,6.343251,12.07001,45.48671,8.599991,314.1,-2.158706E-07
0.8947549,6.342623,12.07001,45.48732,10.09999,313.6,0
0.9166145,6.341734,12.07001,45.48815,12.29999,312.9,0
0.9397821,6.340964,12.07001,45.48886,14.79999,312.3,-4.415354E-07
0.9628476,6.340446,12.07001,45.48933,17.19999,311.9,4.468716E-07
