"Item" "Order" "SubjectNo" "Room"
"Canister" 1 "P52" "Bedroom"
"TennisBall" 2 "P52" "Bedroom"
"CinRoll" 3 "P52" "Bedroom"
"MosquitoRacket" 4 "P52" "Bedroom"
"Router" 5 "P52" "Bedroom"
"Chaynik" 6 "P52" "Bedroom"
"PaperCoffeeCup" 1 "P52" "Classroom"
"StrawberryDonut" 2 "P52" "Classroom"
"ShowerHead" 3 "P52" "Classroom"
"HTCVive" 4 "P52" "Classroom"
"RockingHorse" 5 "P52" "Classroom"
"Matrioshka" 6 "P52" "Classroom"
"NailScissors" 1 "P52" "Gym"
"BallonDog" 2 "P52" "Gym"
"CoffeeMachine" 3 "P52" "Gym"
"Official hat" 4 "P52" "Gym"
"Pinza" 5 "P52" "Gym"
"Jug" 6 "P52" "Gym"
"MobilePhone" 1 "P52" "Library"
"OldRadio" 2 "P52" "Library"
"Laptop" 3 "P52" "Library"
"Hammer" 4 "P52" "Library"
"WineBottle" 5 "P52" "Library"
"Microphone" 6 "P52" "Library"
"Glasses" 1 "P52" "LivingRoom"
"FirstAidKit" 2 "P52" "LivingRoom"
"Toothpaste" 3 "P52" "LivingRoom"
"Clamps" 4 "P52" "LivingRoom"
"CokeCan" 5 "P52" "LivingRoom"
"Pumpkin" 6 "P52" "LivingRoom"
"Recorder" 1 "P52" "StorageRoom"
"Basket" 2 "P52" "StorageRoom"
"Bread" 3 "P52" "StorageRoom"
"DeskLight" 4 "P52" "StorageRoom"
"FireExtinguisher" 5 "P52" "StorageRoom"
"UGGboot" 6 "P52" "StorageRoom"
