TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04016534,0,4.476456,-39,0,0,0
0.06767057,0,4.452912,-39,0,0,0
0.1005065,0,4.38228,-39,359.9,359.9,6.513785E-12
0.1327944,0,4.335192,-39,359.9,359.9,6.513785E-12
0.1843492,0,4.14684,-39,359.9,359.9,6.513785E-12
0.2168906,0,3.982032,-39,2.41226E-09,359.9,-1.941257E-19
0.2495664,0,3.887856,-39,0.7,359.9,5.211409E-11
0.2846545,0,3.67596,-39,1.3,359.7,-2.084945E-10
0.3164241,0,3.432672,-39,1.6,359.6,0
0.3675679,0,3.157992,-39,1.8,359.6,0
0.4000349,0,3.105,-39,1.8,359.6,0
0.4345483,0,3.088767,-39,1.8,359.6,0
0.4672451,0,3.078767,-39,1.8,359.6,0
0.5167391,0,3.048767,-39,2.000001,0.09999999,2.085679E-10
0.5513798,0,3.038766,-39,2,0.3,0
0.5827973,0,3.018766,-39,2,0.7,0
0.6179507,0,3.005,-39,2,1.4,0
0.667261,0,3.025,-39,2.000001,1.8,3.337086E-09
0.7012474,0,3.045,-39,2,2,6.674172E-09
0.7345272,0,3.065,-39,1.9,2.2,3.336888E-09
0.7666303,0,3.075,-39,1.9,2.2,3.336888E-09
0.8176289,0,3.105,-39,1.9,2.2,3.336888E-09
0.8502724,0,3.105,-39,1.9,2.2,3.336888E-09
0.8841311,0,3.105,-39,1.9,2.2,3.336888E-09
0.9163266,0,3.105,-39,1.9,2.2,3.336888E-09
0.9668736,0,3.105,-39,1.9,2.2,3.336888E-09
1.000664,0,3.105,-39,1.9,2.2,3.336888E-09
1.033336,0,3.105,-39,1.9,2.2,3.336888E-09
1.066006,0,3.105,-39,1.9,2.2,3.336888E-09
1.115956,0,3.105,-39,1.9,2.2,3.336888E-09
1.149286,0,3.105,-39,1.9,2.2,3.336888E-09
1.183714,0,3.105,-39,1.9,2.2,3.336888E-09
1.216317,0,3.105,-39,1.9,2.2,3.336888E-09
1.250444,0,3.105,-39,1.9,2.2,3.336888E-09
1.312599,0,3.105,-39,1.9,2.2,3.336888E-09
1.340761,0,3.105,-39,1.9,2.2,3.336888E-09
1.365983,0,3.105,-39,1.9,2.2,3.336888E-09
1.399721,0,3.105,-39,1.9,2.2,3.336888E-09
1.44965,0,3.105,-39,1.9,2.2,3.336888E-09
1.483629,0,3.105,-39,1.9,2.2,3.336888E-09
1.517385,0,3.105,-39,1.9,2.2,3.336888E-09
1.549796,0,3.105,-39,1.9,2.2,3.336888E-09
