TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.02923919,-4.323691,12.06507,42.30095,11.10003,330.9,-2.175125E-07
0.05821,-4.370078,12.07463,42.38958,11.20003,332.7,0
0.08560337,-4.456704,12.09466,42.56948,11.20002,336.5,0
0.1147948,-4.489768,12.11668,42.66333,11.20002,339.9,0
0.1437672,-4.538992,12.16095,42.85593,11.20003,343.8,0
0.1733507,-4.555246,12.17337,42.95365,11.20003,345.9,-1.087937E-07
0.2032288,-4.580494,12.16001,43.15095,11.30003,348,-1.088314E-07
0.2362433,-4.590236,12.13918,43.24803,11.70003,350.2,0
0.2716039,-4.589424,12.075,43.24191,12.30002,354.7,0
0.3069723,-4.589091,12.075,43.23532,13.00003,359.5,-6.845558E-09
0.3424833,-4.580362,12.11541,43.22591,13.90003,5.700034,0
0.3788035,-4.581132,12.075,43.22014,14.40003,9.500033,1.101833E-07
0.4155589,-4.582319,12.075,43.21428,15.00003,13.40003,2.209729E-07
0.4521784,-4.583373,12.075,43.21028,15.30003,16.10003,0
0.4909623,-4.584813,12.075,43.20575,15.50003,19.20003,0
0.5291719,-4.586095,12.075,43.2023,15.60003,21.60004,2.216069E-07
0.5669973,-4.586672,12.075,43.20089,15.40002,22.60003,0
0.6049391,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.6423298,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.6796271,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.7183915,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.7570554,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.7950203,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.8320657,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.8701451,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.9085277,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.9454699,-4.586555,12.075,43.20117,15.10003,22.40004,0
0.985763,-4.58709,12.075,43.1999,15.70003,23.30004,-2.217153E-07
1.023151,-4.591848,12.075,43.19046,16.90003,30.20004,4.461546E-07
1.062559,-4.599501,12.075,43.17937,17.80002,39.00003,-4.483496E-07
1.100159,-4.606416,12.075,43.17178,18.70003,45.70004,-4.50678E-07
1.135728,-4.615268,12.075,43.16422,19.80003,53.30004,0
1.173752,-4.62318,12.075,43.15896,20.70002,59.50004,9.126936E-07
1.209552,-4.627883,12.075,43.15638,21.20003,63.00004,-9.15748E-07
1.242609,-4.632314,12.075,43.15428,21.70003,66.20004,-9.188934E-07
1.276555,-4.637718,12.075,43.15211,22.30002,70.00004,-9.227896E-07
1.310106,-4.643843,12.075,43.15013,22.70003,74.20004,0
1.341527,-4.646509,12.075,43.14942,23.00002,76.00004,9.275062E-07
1.373388,-4.646956,12.075,43.14931,23.00002,76.30003,-9.275061E-07
1.406044,-4.647105,12.075,43.14927,23.00003,76.40004,0
1.438569,-4.647105,12.075,43.14927,23.00003,76.40004,0
1.470912,-4.647105,12.075,43.14927,23.00003,76.40004,0
1.502519,-4.647105,12.075,43.14927,23.00003,76.40004,0
1.534372,-4.549014,12.10396,43.16909,23.00003,76.40004,0
1.566709,-4.352677,12.07537,43.20808,23.00003,76.40004,0
1.598525,-4.255719,12.07075,43.23258,23.00003,76.40004,0
1.63054,-4.064031,12.03332,43.29079,23.00003,76.40004,0
1.661868,-3.874351,11.98905,43.35729,23.00003,76.40004,0
1.694002,-3.779902,11.97663,43.39216,23.00003,76.40004,0
1.726293,-3.591065,11.98999,43.46215,23.20003,76.40003,0
1.758124,-3.496315,12.01082,43.49609,23.30003,76.20004,9.295849E-07
1.789423,-3.305924,12.05639,43.55949,23.40003,76.00004,9.302854E-07
1.820072,-3.209908,12.07129,43.58777,23.50004,75.70004,9.3099E-07
1.850317,-3.017079,12.08582,43.64093,23.60003,75.40004,0
1.880941,-2.921851,12.10514,43.67176,23.80003,74.90003,0
1.910789,-2.734132,12.15139,43.74142,23.80003,73.60003,-9.331274E-07
1.941166,-2.642545,12.16848,43.78014,23.80003,71.80003,-9.331272E-07
1.971588,-2.46541,12.16779,43.86649,23.70003,68.00003,0
2.00249,-2.304933,12.12753,43.97809,23.00003,63.70003,0
2.033422,-2.223128,12.10422,44.02745,22.60003,60.70003,0
2.065459,-2.054761,12.07541,44.13147,22.40003,59.40003,0
2.097555,-1.968933,12.07088,44.1811,22.40003,58.90003,0
2.12829,-1.792412,12.03361,44.27419,22.40003,58.40002,9.234519E-07
2.16061,-1.703901,12.00986,44.31777,22.40003,57.10003,-9.234519E-07
2.192738,-1.525004,11.97671,44.40675,22.40003,55.60003,-9.234519E-07
2.223589,-1.346999,11.98977,44.49999,22.40003,54.80003,9.234519E-07
2.254992,-1.259131,12.01054,44.54884,22.40003,54.70003,0
2.287045,-1.086539,12.05616,44.65119,22.40003,54.70003,0
2.317964,-1.002472,12.07117,44.70551,22.40003,54.60003,9.234519E-07
2.349127,-1.001817,12.075,44.70459,22.60003,54.50003,0
2.380365,-1.00182,12.075,44.70459,23.30003,56.10003,0
2.4121,-1.001827,12.075,44.70458,23.80003,59.80002,-9.331274E-07
2.442209,-1.001839,12.075,44.70457,24.60003,65.30003,9.390012E-07
2.474298,-1.001853,12.075,44.70457,25.60003,71.90002,-9.467099E-07
2.504733,-1.001871,12.075,44.70457,26.80003,79.90002,-9.565174E-07
2.536172,-1.001893,12.075,44.70456,28.10003,89.50002,9.678582E-07
2.566108,-1.001916,12.075,44.70457,29.40003,99.40002,0
2.595946,-1.001931,12.075,44.70457,30.20004,106,0
2.625659,-1.001946,12.075,44.70457,31.00003,113.2,-1.992082E-06
2.651774,-1.001956,12.075,44.70458,31.10003,117.8,0
2.675718,-1.001963,12.075,44.70458,31.10003,121.3,0
2.701558,-1.00197,12.075,44.70459,31.10003,125.1,0
2.725486,-1.001975,12.075,44.70459,31.10003,127.8,0
2.749728,-1.001979,12.075,44.70459,31.10003,130.1,-9.970883E-07
2.771824,-1.001982,12.075,44.7046,31.10003,131.7,0
2.791,-1.001986,12.075,44.7046,31.10003,133.9,0
2.809336,-1.001988,12.075,44.7046,31.10003,135.2,0
2.827784,-1.00199,12.075,44.70461,31.10003,136.3,9.970884E-07
2.845135,-1.001991,12.075,44.70461,31.10003,137.2,9.970881E-07
2.864266,-1.001993,12.075,44.70461,31.10003,138.1,9.970883E-07
2.882191,-1.001993,12.075,44.70461,31.10003,138.4,0
2.900482,-1.001993,12.075,44.70461,31.10003,138.5,9.970884E-07
2.918111,-1.001993,12.075,44.70461,31.10003,138.5,9.970884E-07
2.936524,-0.9364387,12.07913,44.62909,31.10003,138.5,9.970884E-07
2.955029,-0.8734269,12.09442,44.55132,31.10003,138.5,9.970884E-07
2.97354,-0.8124791,12.11639,44.47172,31.10003,138.5,9.970884E-07
2.991456,-0.753135,12.14014,44.3907,31.10003,138.5,9.970884E-07
3.008711,-0.6949346,12.16074,44.30867,31.10003,138.5,9.970884E-07
3.0268,-0.6374175,12.17329,44.22604,31.10003,138.5,9.970884E-07
3.044681,-0.5801239,12.17308,44.14321,31.10003,138.5,9.970884E-07
3.063448,-0.5658389,12.16022,44.06059,31.10003,138.5,9.970884E-07
3.081633,-0.5658389,12.16022,44.06059,31.10003,138.5,9.970884E-07
3.099864,-0.5730512,12.14194,43.97932,31.10003,138.5,9.970884E-07
3.117055,-0.5792707,12.12126,43.89892,31.10003,138.5,9.970884E-07
3.134792,-0.5840136,12.10117,43.81918,31.40003,138.2,0
3.153048,-0.5797262,12.08494,43.73607,31.70003,137.6,0
3.169834,-0.553652,12.07577,43.64917,32.20003,136.8,-1.008959E-06
3.185885,-0.5078261,12.07225,43.56432,32.70003,135.9,0
3.201819,-0.4392431,12.05879,43.48968,33.60003,134.7,0
3.217772,-0.4374425,12.05879,43.48795,34.80003,133.2,0
3.234159,-0.3589054,12.03766,43.42211,36.20002,131.7,-1.058012E-06
3.249597,-0.2767323,12.01387,43.36087,37.60003,130.2,-1.077603E-06
3.265274,-0.1920488,11.99237,43.30315,39.00003,128.6,-1.098602E-06
3.281677,-0.190517,11.99237,43.30196,40.40003,127,0
3.297715,-0.1024733,11.97809,43.25011,41.70004,125.5,0
3.313351,-0.0133242,11.97587,43.20124,42.70004,124.3,2.323464E-06
3.329647,0.07705791,11.98686,43.15385,44.00003,122,2.373771E-06
3.345152,0.1685964,12.00661,43.10957,45.10003,119.3,2.419063E-06
3.364504,0.2611054,12.03021,43.06857,45.90004,116.2,0
3.374362,0.2616479,12.03021,43.06831,46.60003,113.7,0
3.390125,0.3564879,12.05274,43.03481,47.10003,110.9,2.508441E-06
3.406229,0.4516747,12.06929,43.00357,47.50003,108.3,-2.527491E-06
3.423384,0.5470942,12.07507,42.97362,47.90003,105.7,0
3.440539,0.5470935,12.07507,42.97362,48.30004,103.2,2.566853E-06
3.457826,0.6448483,12.08302,42.95289,48.70003,100.7,-2.587187E-06
3.474248,0.743839,12.10082,42.93959,48.90003,98.70003,0
3.491157,0.843507,12.12422,42.93229,49.10003,97.30002,2.607976E-06
3.524493,1.043666,12.16598,42.92775,49.30003,95.90003,2.618544E-06
3.541178,1.043477,12.16598,42.92776,49.40003,95.60002,2.623872E-06
3.574093,1.043477,12.075,42.92776,49.40003,95.60002,2.623872E-06
3.591004,1.043477,12.075,42.92776,49.40003,95.60002,2.623872E-06
3.607884,1.043414,12.075,42.92777,49.40003,95.50003,2.623872E-06
3.640688,1.043225,12.075,42.92779,49.50003,95.20002,-2.62923E-06
