TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.07859159,0,4.452912,-39,0,0,0
0.1592748,0,4.217472,-39,0,0,0
0.209769,0,4.06836,-39,0,0,0
0.2801147,0,3.67596,-39,0,0.5,0
0.3689058,0,3.157992,-39,359.9,0.9000002,0
0.4192044,0,3.105,-39,359.9,0.9000002,0
0.4921969,0,3.069851,-39,2.41226E-09,0.8000001,0
0.579365,0,3.019851,-39,1.1,359.8,0
0.6333794,0,3.005,-39,1.1,359.8,0
0.7038939,0,3.045,-39,1.1,359.8,0
0.7931001,0,3.085,-39,1.1,359.8,0
0.8452451,0,3.105,-39,1.1,359.8,0
0.9344031,0,3.105,-39,1.1,359.8,0
0.9843113,0,3.105,-39,1.1,359.8,0
1.057002,0,3.105,-39,1.1,359.8,0
1.128184,0,3.105,-39,1.1,359.8,0
1.220087,0,3.105,-39,1.4,4.002058E-08,-4.971101E-17
1.268317,0,3.105,-39,1.6,4.002058E-08,0
1.357956,0,3.105,-39,1.4,0.2,-2.08503E-10
1.409878,0,3.105,-39,1.4,0.2,-2.08503E-10
1.480734,0.02314715,3.170145,-38.60008,1.4,0.2,-2.08503E-10
1.569715,0.07061597,3.190222,-38.20012,1.8,0.1,0
1.621932,0.09807054,3.123841,-37.90034,2.1,0.2000001,-4.171618E-10
1.692989,0.101497,3.094369,-37.60051,2.2,0.3,4.171892E-10
1.781585,0.05680054,3.005002,-37.10036,2.3,0.4000001,0
1.834048,0.03503504,3.02948,-36.90021,2.3,0.4000001,0
1.922352,0.01079056,3.109127,-36.40002,2.3,0.4000001,0
1.973851,0.0007508658,3.146397,-36.19995,2.3,0.4000001,0
2.04631,-0.04010826,3.203075,-35.79985,2.3,0.2000001,0
2.13506,-0.0770935,3.123841,-35.40633,2.9,356.2,0
2.186246,-0.09890065,3.094369,-35.11204,3.4,353.3,1.336374E-08
2.257185,-0.1098082,3.028854,-34.81242,3.5,352.4,0
2.345101,-0.1200151,3.05236,-34.30952,3.5,351.8,0
2.397549,-0.1347905,3.094829,-34.10959,3.600001,351.6,-2.673318E-08
2.468117,-0.1781377,3.146397,-33.71166,3.600001,351.6,-2.673318E-08
2.558084,-0.1933875,3.203075,-33.30957,3.600001,351.6,-2.673318E-08
2.608535,-0.2059841,3.14569,-33.00817,3.600001,351.6,-2.673318E-08
