TimeStamp,X,Y,Z,Roll,Pitch,Yaw
0.04095868,0,4.476456,-39,0,0,0
0.06939735,0,4.452912,-39,0,0,0
0.1046574,0,4.38228,-39,0,0,0
0.139998,0,4.280256,-39,0.1,0.1,6.513785E-12
0.1752289,0,4.217472,-39,0.3,0.6,0
0.2103109,0,4.06836,-39,0.5000001,0.9,4.168976E-10
0.2454514,0,3.887856,-39,0.5000001,0.9,4.168976E-10
0.2820338,0,3.67596,-39,0.6000001,1.1,4.169045E-10
0.3161475,0,3.55824,-39,0.6000001,1.1,4.169045E-10
0.351133,0,3.299256,-39,0.6,1.2,0
0.3871782,0,3.105,-39,0.6,1.2,0
0.4222233,0,3.086977,-39,0.7000001,1.4,-8.338255E-10
0.4585954,0,3.066978,-39,0.7000002,1.6,0
0.4945298,0,3.056977,-39,0.7000001,2.1,0
0.5291484,0,3.036977,-39,0.6999999,2.4,0
0.5657406,0,3.016977,-39,0.6999999,2.4,0
0.6012409,0,3.005,-39,0.6999999,2.4,0
0.637284,0,3.015,-39,0.6999999,2.4,0
0.6721664,0,3.035,-39,0.6999999,2.4,0
0.7092692,0.0137883,3.07442,-38.8004,0.6999999,2.4,0
0.7445257,0.03848211,3.140144,-38.60126,0.6999999,2.4,0
0.7791874,0.06927784,3.193287,-38.40238,0.6999999,2.4,0
0.8151602,0.08542913,3.203075,-38.30297,0.6999999,2.4,0
0.8503238,0.1161698,3.169455,-38.10408,0.6999999,2.4,0
0.8860411,0.140735,3.123841,-37.90493,0.6999999,2.4,0
0.9216948,0.1542179,3.104476,-37.70532,0.6999999,2.4,0
0.9564919,0.1556758,3.094369,-37.60529,0.6999999,2.4,0
0.9922662,0.150025,3.051643,-37.40488,0.6999999,2.4,0
1.027209,0.1370447,3.011669,-37.20417,0.6999999,2.4,0
1.063675,0.1216456,3.012055,-37.00334,0.6999999,2.4,0
1.098444,0.10874,3.05236,-36.8026,0.7000002,2.3,1.667651E-09
1.133028,0.1045834,3.075782,-36.70228,0.6000001,1.8,0
1.169599,0.1025265,3.104586,-36.50211,0.4000001,1.1,-4.168919E-10
1.204638,0.100844,3.12442,-36.30206,0.3000001,0.9000003,2.084437E-10
1.240128,0.08765244,3.170144,-36.10202,0.2000001,0.4000002,0
1.275386,0.07758674,3.190746,-36.0024,359.9,359.6,2.605514E-11
1.310403,0.0525515,3.203075,-35.80335,359.7,358.8,-2.084437E-10
1.346403,0.02600003,3.169455,-35.60455,359.5,358.3,0
1.381451,0.003880069,3.123841,-35.40545,359.5,358.1,8.33795E-10
1.417535,-0.003662981,3.108824,-35.30616,359.4,357.8,0
1.45267,-0.009460054,3.094369,-35.10658,359.3,357.6,0
1.488534,-0.003809415,3.051644,-34.90617,359.3,357.6,0
1.523241,0.009175561,3.011669,-34.70555,359.3,357.5,0
1.557962,0.02422706,3.012055,-34.50477,359.3,357.4,-1.667651E-09
1.594523,0.03094863,3.02948,-34.40437,359.3,357.4,-1.667651E-09
1.629387,0.0400675,3.075781,-34.20374,359.3,357.4,-1.667651E-09
1.66385,0.03932954,3.104586,-34.00357,359.3,357.4,-1.667651E-09
1.698885,0.03577396,3.12442,-33.80353,359.3,357.4,-1.667651E-09
1.735278,0.03832619,3.146397,-33.70331,359.3,357.4,-1.667651E-09
1.770142,0.04923403,3.190746,-33.50261,359.3,357.4,-1.667651E-09
1.806416,0.06378777,3.203075,-33.30174,359.3,357.4,-1.667651E-09
1.841008,0.07707727,3.169455,-33.10093,359.3,357.4,-1.667651E-09
1.876366,0.0817134,3.14569,-33.00062,359.3,357.4,-1.667651E-09
1.911361,0.0839,3.108824,-32.80031,359.3,357.4,-1.667651E-09
