"Item" "Order" "SubjectNo" "Room"
"MokeExpress" 1 "P13" "Bedroom"
"JBLSpeaker" 2 "P13" "Bedroom"
"Mouse" 3 "P13" "Bedroom"
"NikonCamera" 4 "P13" "Bedroom"
"Spoons" 5 "P13" "Bedroom"
"BaseballBat" 6 "P13" "Bedroom"
"Avocado" 1 "P13" "Classroom"
"MechanicalGloves" 2 "P13" "Classroom"
"Teacup" 3 "P13" "Classroom"
"Paprika" 4 "P13" "Classroom"
"Muffin" 5 "P13" "Classroom"
"Headphones" 6 "P13" "Classroom"
"Toaster" 1 "P13" "Gym"
"MilkCarton" 2 "P13" "Gym"
"Openner" 3 "P13" "Gym"
"Controller" 4 "P13" "Gym"
"Mushroom" 5 "P13" "Gym"
"PencilSharpener" 6 "P13" "Gym"
"Apple" 1 "P13" "Library"
"Padella" 2 "P13" "Library"
"RugbyBall" 3 "P13" "Library"
"Grape" 4 "P13" "Library"
"Squeezer" 5 "P13" "Library"
"CleaningBucket" 6 "P13" "Library"
"PiggyBank" 1 "P13" "LivingRoom"
"OfficeBin" 2 "P13" "LivingRoom"
"EggBeater" 3 "P13" "LivingRoom"
"Cabbaage" 4 "P13" "LivingRoom"
"Kettle" 5 "P13" "LivingRoom"
"Pineapple" 6 "P13" "LivingRoom"
"Calculator" 1 "P13" "StorageRoom"
"SaltSub" 2 "P13" "StorageRoom"
"Typewriter" 3 "P13" "StorageRoom"
"Stapler" 4 "P13" "StorageRoom"
"HTCViveController" 5 "P13" "StorageRoom"
"HandDrill" 6 "P13" "StorageRoom"
"BallonDog" 1 "P14" "Bedroom"
"PaperCoffeeCup" 2 "P14" "Bedroom"
"MosquitoRacket" 3 "P14" "Bedroom"
"Hammer" 4 "P14" "Bedroom"
"RockingHorse" 5 "P14" "Bedroom"
"NailScissors" 6 "P14" "Bedroom"
"Router" 1 "P14" "Classroom"
"DeskLight" 2 "P14" "Classroom"
"OldRadio" 3 "P14" "Classroom"
"ShowerHead" 4 "P14" "Classroom"
"Chaynik" 5 "P14" "Classroom"
"Glasses" 6 "P14" "Classroom"
"Bread" 1 "P14" "Gym"
"Microphone" 2 "P14" "Gym"
"Basket" 3 "P14" "Gym"
"Laptop" 4 "P14" "Gym"
"MobilePhone" 5 "P14" "Gym"
"Clamps" 6 "P14" "Gym"
"CoffeeMachine" 1 "P14" "Library"
"Jug" 2 "P14" "Library"
"WineBottle" 3 "P14" "Library"
"Matrioshka" 4 "P14" "Library"
"Pumpkin" 5 "P14" "Library"
"UGGboot" 6 "P14" "Library"
"FireExtinguisher" 1 "P14" "LivingRoom"
"StrawberryDonut" 2 "P14" "LivingRoom"
"TennisBall" 3 "P14" "LivingRoom"
"FirstAidKit" 4 "P14" "LivingRoom"
"Official hat" 5 "P14" "LivingRoom"
"Pinza" 6 "P14" "LivingRoom"
"HTCVive" 1 "P14" "StorageRoom"
"Canister" 2 "P14" "StorageRoom"
"CinRoll" 3 "P14" "StorageRoom"
"Toothpaste" 4 "P14" "StorageRoom"
"Recorder" 5 "P14" "StorageRoom"
"CokeCan" 6 "P14" "StorageRoom"
"MilkCarton" 1 "P15" "Bedroom"
"HTCViveController" 2 "P15" "Bedroom"
"Padella" 3 "P15" "Bedroom"
"Muffin" 4 "P15" "Bedroom"
"Stapler" 5 "P15" "Bedroom"
"Headphones" 6 "P15" "Bedroom"
"Avocado" 1 "P15" "Classroom"
"Typewriter" 2 "P15" "Classroom"
"Calculator" 3 "P15" "Classroom"
"Kettle" 4 "P15" "Classroom"
"EggBeater" 5 "P15" "Classroom"
"JBLSpeaker" 6 "P15" "Classroom"
"PiggyBank" 1 "P15" "Gym"
"Cabbaage" 2 "P15" "Gym"
"PencilSharpener" 3 "P15" "Gym"
"Paprika" 4 "P15" "Gym"
"MechanicalGloves" 5 "P15" "Gym"
"RugbyBall" 6 "P15" "Gym"
"Spoons" 1 "P15" "Library"
"Openner" 2 "P15" "Library"
"Controller" 3 "P15" "Library"
"Pineapple" 4 "P15" "Library"
"SaltSub" 5 "P15" "Library"
"Mushroom" 6 "P15" "Library"
"Squeezer" 1 "P15" "LivingRoom"
"Grape" 2 "P15" "LivingRoom"
"Apple" 3 "P15" "LivingRoom"
"OfficeBin" 4 "P15" "LivingRoom"
"Mouse" 5 "P15" "LivingRoom"
"NikonCamera" 6 "P15" "LivingRoom"
"MokeExpress" 1 "P15" "StorageRoom"
"CleaningBucket" 2 "P15" "StorageRoom"
"Toaster" 3 "P15" "StorageRoom"
"BaseballBat" 4 "P15" "StorageRoom"
"Teacup" 5 "P15" "StorageRoom"
"HandDrill" 6 "P15" "StorageRoom"
"Canister" 1 "P16" "Bedroom"
"FireExtinguisher" 2 "P16" "Bedroom"
"TennisBall" 3 "P16" "Bedroom"
"UGGboot" 4 "P16" "Bedroom"
"CokeCan" 5 "P16" "Bedroom"
"Glasses" 6 "P16" "Bedroom"
"Pumpkin" 1 "P16" "Classroom"
"Recorder" 2 "P16" "Classroom"
"DeskLight" 3 "P16" "Classroom"
"NailScissors" 4 "P16" "Classroom"
"Matrioshka" 5 "P16" "Classroom"
"Microphone" 6 "P16" "Classroom"
"Official hat" 1 "P16" "Gym"
"Jug" 2 "P16" "Gym"
"Bread" 3 "P16" "Gym"
"WineBottle" 4 "P16" "Gym"
"HTCVive" 5 "P16" "Gym"
"Router" 6 "P16" "Gym"
"Hammer" 1 "P16" "Library"
"Basket" 2 "P16" "Library"
"MosquitoRacket" 3 "P16" "Library"
"CinRoll" 4 "P16" "Library"
"Chaynik" 5 "P16" "Library"
"RockingHorse" 6 "P16" "Library"
"Clamps" 1 "P16" "LivingRoom"
"MobilePhone" 2 "P16" "LivingRoom"
"ShowerHead" 3 "P16" "LivingRoom"
"BallonDog" 4 "P16" "LivingRoom"
"Pinza" 5 "P16" "LivingRoom"
"PaperCoffeeCup" 6 "P16" "LivingRoom"
"Laptop" 1 "P16" "StorageRoom"
"Toothpaste" 2 "P16" "StorageRoom"
"OldRadio" 3 "P16" "StorageRoom"
"FirstAidKit" 4 "P16" "StorageRoom"
"CoffeeMachine" 5 "P16" "StorageRoom"
"StrawberryDonut" 6 "P16" "StorageRoom"
"OfficeBin" 1 "P17" "Bedroom"
"Teacup" 2 "P17" "Bedroom"
"Stapler" 3 "P17" "Bedroom"
"Apple" 4 "P17" "Bedroom"
"PiggyBank" 5 "P17" "Bedroom"
"Mushroom" 6 "P17" "Bedroom"
"Typewriter" 1 "P17" "Classroom"
"Cabbaage" 2 "P17" "Classroom"
"Padella" 3 "P17" "Classroom"
"Openner" 4 "P17" "Classroom"
"HandDrill" 5 "P17" "Classroom"
"Headphones" 6 "P17" "Classroom"
"MokeExpress" 1 "P17" "Gym"
"Toaster" 2 "P17" "Gym"
"Calculator" 3 "P17" "Gym"
"NikonCamera" 4 "P17" "Gym"
"Kettle" 5 "P17" "Gym"
"MilkCarton" 6 "P17" "Gym"
"Spoons" 1 "P17" "Library"
"Paprika" 2 "P17" "Library"
"HTCViveController" 3 "P17" "Library"
"BaseballBat" 4 "P17" "Library"
"Mouse" 5 "P17" "Library"
"Squeezer" 6 "P17" "Library"
"SaltSub" 1 "P17" "LivingRoom"
"MechanicalGloves" 2 "P17" "LivingRoom"
"CleaningBucket" 3 "P17" "LivingRoom"
"RugbyBall" 4 "P17" "LivingRoom"
"Pineapple" 5 "P17" "LivingRoom"
"Grape" 6 "P17" "LivingRoom"
"PencilSharpener" 1 "P17" "StorageRoom"
"Avocado" 2 "P17" "StorageRoom"
"EggBeater" 3 "P17" "StorageRoom"
"Muffin" 4 "P17" "StorageRoom"
"JBLSpeaker" 5 "P17" "StorageRoom"
"Controller" 6 "P17" "StorageRoom"
"MobilePhone" 1 "P18" "Bedroom"
"Basket" 2 "P18" "Bedroom"
"UGGboot" 3 "P18" "Bedroom"
"DeskLight" 4 "P18" "Bedroom"
"Jug" 5 "P18" "Bedroom"
"Hammer" 6 "P18" "Bedroom"
"RockingHorse" 1 "P18" "Classroom"
"TennisBall" 2 "P18" "Classroom"
"Recorder" 3 "P18" "Classroom"
"Toothpaste" 4 "P18" "Classroom"
"Canister" 5 "P18" "Classroom"
"Glasses" 6 "P18" "Classroom"
"OldRadio" 1 "P18" "Gym"
"FirstAidKit" 2 "P18" "Gym"
"Pinza" 3 "P18" "Gym"
"Microphone" 4 "P18" "Gym"
"NailScissors" 5 "P18" "Gym"
"ShowerHead" 6 "P18" "Gym"
"CinRoll" 1 "P18" "Library"
